@relation pacman_info-weka.filters.unsupervised.attribute.Remove-R6-9

@attribute pacmanX numeric
@attribute pacmanY numeric
@attribute livingGhosts numeric
@attribute minGhost numeric
@attribute score numeric
@attribute class {Stop,North,South,East,West}

@data
1,6,4,7,0,Stop
1,5,4,5,-1,South
1,4,4,5,-2,South
1,3,4,5,-3,South
1,4,4,4,-4,North
2,4,4,3,-5,East
3,4,4,3,-6,East
3,3,4,3,-7,South
3,4,4,1,-8,North
4,4,3,2,191,East
4,3,3,2,190,South
5,3,2,7,389,East
5,4,2,7,388,North
5,3,2,5,387,South
6,3,2,5,386,East
7,3,2,5,385,East
8,3,2,4,384,East
9,3,2,4,383,East
10,3,2,3,382,East
11,3,2,3,381,East
12,3,2,2,380,East
13,3,2,2,379,East
14,3,2,2,378,East
14,4,2,1,377,North
15,4,1,3,576,East
14,4,1,2,575,West
13,4,1,2,574,West
12,4,1,2,573,West
11,4,1,2,572,West
10,4,1,2,571,West
10,3,1,2,570,South
9,3,1,2,569,West
8,3,1,1,568,West
1,6,4,7,0,Stop
1,5,4,6,-1,South
1,4,4,6,-2,South
2,4,4,6,-3,East
2,3,4,6,-4,South
2,4,4,4,-5,North
3,4,4,3,-6,East
4,4,4,3,-7,East
4,3,4,1,-8,South
5,3,3,6,191,East
5,4,3,6,190,North
6,4,3,6,189,East
7,4,3,4,188,East
7,5,3,3,187,North
7,6,3,1,186,North
8,6,2,6,385,East
9,6,2,6,384,East
10,6,2,4,383,East
11,6,2,4,382,East
12,6,2,3,381,East
13,6,2,3,380,East
14,6,2,2,379,East
14,5,2,2,378,South
14,4,2,2,377,South
15,4,2,2,376,East
15,3,2,2,375,South
14,3,2,2,374,West
14,4,2,1,373,North
14,5,1,4,572,North
14,4,1,2,571,South
14,3,1,2,570,South
13,3,1,1,569,West
12,10,4,3,0,Stop
12,11,4,2,-1,North
12,12,4,2,-2,North
13,12,4,2,-3,East
13,11,4,2,-4,South
13,10,4,2,-5,South
13,9,4,2,-6,South
14,9,4,2,-7,East
14,8,4,2,-8,South
13,8,4,2,-9,West
13,9,4,2,-10,North
12,9,4,1,-11,West
12,10,3,3,188,North
11,10,3,2,187,West
10,10,3,2,186,West
10,9,3,2,185,South
9,9,2,7,384,West
9,8,2,7,383,South
9,7,2,5,382,South
9,6,2,4,381,South
9,5,2,4,380,South
9,4,2,4,379,South
10,4,2,4,378,East
10,3,2,4,377,South
10,4,2,4,376,North
10,3,2,3,375,South
11,3,2,2,374,East
12,3,2,1,373,East
13,3,1,15,572,East
13,4,1,13,571,North
13,5,1,13,570,North
13,6,1,13,569,North
13,7,1,12,568,North
12,7,1,11,567,West
11,7,1,10,566,West
10,7,1,10,565,West
10,6,1,8,564,South
9,6,1,8,563,West
8,6,1,8,562,West
8,5,1,8,561,South
8,4,1,6,560,South
7,4,1,6,559,West
6,4,1,4,558,West
5,4,1,4,557,West
5,3,1,2,556,South
