@relation pacman_info-weka.filters.unsupervised.attribute.Remove-R6-9-weka.filters.unsupervised.attribute.Remove-R5

@attribute pacmanX numeric
@attribute pacmanY numeric
@attribute livingGhosts numeric
@attribute minGhost numeric
@attribute class {Stop,North,South,East,West}

@data
1,18,4,13,Stop
1,18,4,13,Stop
1,18,4,14,Stop
1,18,4,15,Stop
1,18,4,14,Stop
1,18,4,15,Stop
1,17,4,13,South
1,16,4,12,South
1,15,4,10,South
1,14,4,10,South
1,13,4,8,South
1,12,4,8,South
1,11,4,6,South
1,10,4,5,South
1,9,4,4,South
1,8,4,4,South
1,7,4,3,South
1,6,4,2,South
1,5,4,2,South
2,5,4,2,East
3,5,3,2,East
4,5,3,2,East
5,5,3,2,East
5,5,3,3,East
5,6,3,1,North
4,6,2,5,West
4,5,2,3,South
4,4,2,2,South
4,3,2,1,South
3,3,1,3,West
2,3,1,3,West
3,3,1,1,East
1,18,4,13,Stop
1,18,4,13,Stop
1,17,4,12,South
1,16,4,11,South
1,15,4,10,South
1,14,4,9,South
1,13,4,8,South
1,12,4,7,South
1,11,4,6,South
1,10,4,5,South
1,9,4,4,South
1,8,4,5,South
1,7,4,4,South
1,6,4,3,South
1,5,4,2,South
1,4,4,1,South
2,4,4,1,East
2,3,3,1,South
1,3,2,8,West
1,4,2,7,North
2,4,2,6,East
3,4,2,5,East
4,4,2,4,East
5,4,2,3,East
5,5,2,2,North
5,6,2,1,North
6,6,1,4,East
6,7,1,3,North
6,8,1,2,North
6,9,1,1,North
1,18,4,13,Stop
1,18,4,13,Stop
1,18,4,13,Stop
1,17,4,12,South
1,16,4,11,South
1,15,4,10,South
1,14,4,9,South
1,13,4,8,South
1,12,4,7,South
1,11,4,6,South
1,10,4,5,South
1,9,4,4,South
1,8,4,5,South
1,7,4,6,South
1,6,4,7,South
2,6,4,6,East
3,6,4,5,East
3,7,4,4,North
3,8,4,3,North
3,9,4,2,North
4,9,4,1,East
5,9,3,12,East
6,9,3,11,East
6,8,3,10,South
6,7,3,9,South
6,6,3,8,South
7,6,3,7,East
8,6,3,6,East
9,6,3,5,East
10,6,3,4,East
10,5,3,3,South
10,4,3,2,South
10,3,3,1,South
10,4,3,2,North
11,4,3,1,East
11,3,2,9,South
11,4,2,8,North
11,5,2,7,North
11,6,2,6,North
11,7,2,7,North
11,8,2,8,North
11,9,2,9,North
11,10,2,10,North
11,11,2,11,North
11,12,2,12,North
12,12,2,11,East
13,12,2,10,East
13,11,2,9,South
13,10,2,8,South
13,9,2,7,South
13,8,2,6,South
13,7,2,5,South
13,6,2,4,South
14,6,2,3,East
15,6,2,2,East
16,6,2,1,East
17,6,1,9,East
18,6,1,8,East
19,6,1,7,East
20,6,1,6,East
21,6,1,5,East
22,6,1,4,East
23,6,1,3,East
24,6,1,2,East
25,6,1,1,East
1,18,4,13,Stop
1,18,4,14,Stop
1,17,4,13,South
1,16,4,13,South
1,15,4,12,South
1,14,4,12,South
1,13,4,12,South
1,12,4,12,South
1,11,4,10,South
1,10,4,10,South
1,9,4,8,South
1,8,4,8,South
1,7,4,6,South
1,6,4,6,South
2,6,4,4,East
3,6,4,4,East
4,6,4,2,East
5,6,4,4,East
5,7,4,2,North
4,7,4,2,West
4,8,3,7,North
3,8,3,8,West
3,7,3,8,South
4,7,3,6,East
5,7,3,5,East
5,6,3,4,South
6,6,3,4,East
7,6,3,2,East
8,6,3,2,East
9,6,3,2,East
9,7,3,2,North
9,8,3,4,North
9,7,3,4,South
9,6,3,2,South
9,5,3,3,South
9,6,3,3,North
10,6,3,3,East
11,6,3,3,East
11,7,3,3,North
10,7,3,3,West
10,8,3,1,North
10,9,3,1,North
9,9,3,2,West
9,8,3,2,South
10,8,3,2,East
10,7,3,1,South
10,6,2,12,South
10,7,2,14,North
10,8,2,14,North
10,9,2,14,North
10,10,2,16,North
10,11,2,17,North
10,12,2,18,North
11,12,2,18,East
12,12,2,16,East
13,12,2,14,East
13,11,2,14,South
13,10,2,12,South
13,9,2,11,South
13,8,2,9,South
13,7,2,7,South
13,6,2,6,South
13,5,2,6,South
14,5,2,4,East
14,5,2,3,East
14,4,2,3,South
15,4,2,3,East
16,4,2,1,East
16,3,2,3,South
17,3,2,3,East
17,4,2,3,North
18,4,2,2,East
19,4,2,2,East
20,4,1,6,East
21,4,1,5,East
22,4,1,4,East
23,4,1,2,East
23,5,1,4,North
24,5,1,4,East
25,5,1,4,East
25,4,1,4,South
25,3,1,2,South
26,3,1,2,East
27,3,1,2,East
28,3,1,2,East
28,3,1,1,East
12,10,4,3,Stop
12,10,4,4,Stop
12,10,4,3,Stop
13,10,4,1,East
14,10,4,3,East
14,11,4,3,North
13,11,4,3,West
13,12,4,3,North
13,13,4,2,North
14,13,4,1,East
14,14,3,11,North
14,14,3,10,North
14,13,3,10,South
14,12,3,8,South
14,11,3,7,South
14,10,3,5,South
14,9,3,3,South
13,9,3,3,West
13,8,3,1,South
13,7,3,2,South
12,7,3,2,West
12,8,3,1,North
13,8,2,11,East
12,8,2,9,West
11,8,2,9,West
10,8,2,8,West
9,8,2,7,West
8,8,2,7,West
8,9,2,7,North
8,10,2,7,North
8,11,2,6,North
8,12,2,6,North
7,12,2,5,West
6,12,2,3,West
5,12,2,2,West
4,12,2,1,West
3,12,1,8,West
4,12,1,8,East
5,12,1,10,East
6,12,1,10,East
7,12,1,12,East
7,11,1,10,South
7,10,1,8,South
7,9,1,6,South
7,8,1,5,South
7,7,1,5,South
7,6,1,3,South
6,6,1,2,West
5,6,1,1,West
12,10,4,3,Stop
12,10,4,3,Stop
12,10,4,3,Stop
13,10,4,2,East
14,10,4,3,East
14,11,4,2,North
13,11,4,1,West
13,12,3,6,North
13,11,3,5,South
13,10,3,4,South
13,9,3,3,South
13,8,3,2,South
13,7,3,1,South
13,6,2,8,South
12,6,2,7,West
11,6,2,6,West
10,6,2,5,West
9,6,2,4,West
8,6,2,3,West
7,6,2,2,West
6,6,2,1,West
5,6,1,6,West
5,7,1,5,North
6,7,1,6,East
6,8,1,5,North
6,9,1,4,North
6,10,1,3,North
6,11,1,2,North
6,12,1,1,North
1,11,4,7,Stop
1,11,4,7,Stop
1,11,4,7,Stop
1,11,4,7,Stop
2,11,4,6,East
3,11,4,5,East
4,11,4,4,East
5,11,4,3,East
5,10,4,2,South
5,9,4,1,South
6,9,3,4,East
6,10,3,3,North
6,11,3,2,North
7,11,3,1,East
8,11,2,8,East
9,11,2,9,East
10,11,2,9,East
10,10,2,8,South
10,9,2,7,South
11,9,2,6,East
12,9,2,5,East
13,9,2,4,East
14,9,2,3,East
14,8,2,2,South
14,7,2,1,South
14,6,1,9,South
14,5,1,8,South
13,5,1,7,West
12,5,1,6,West
11,5,1,5,West
10,5,1,4,West
9,5,1,3,West
8,5,1,2,West
7,5,1,1,West
1,11,4,7,Stop
1,11,4,8,Stop
1,11,4,7,Stop
2,11,4,6,East
3,11,4,4,East
4,11,4,2,East
5,11,4,2,East
6,11,4,2,East
7,11,4,1,East
8,11,3,1,East
9,11,2,7,East
10,11,2,7,East
10,10,2,6,South
10,9,2,4,South
10,8,2,4,South
10,7,2,4,South
10,6,2,4,South
10,5,2,2,South
11,5,2,2,East
10,5,2,3,West
9,5,2,3,West
9,4,2,3,South
9,3,2,2,South
9,3,2,1,South
9,3,2,2,South
9,3,2,3,South
9,3,2,2,South
10,3,2,1,East
11,3,1,7,East
11,3,1,8,East
11,4,1,7,North
11,5,1,5,North
12,5,1,3,East
13,5,1,5,East
14,5,1,6,East
14,6,1,4,North
14,7,1,4,North
14,8,1,2,North
1,6,4,7,Stop
1,6,4,6,Stop
1,6,4,5,Stop
2,6,4,4,East
3,6,4,3,East
4,6,4,3,East
5,6,4,2,East
6,6,4,1,East
7,6,3,4,East
8,6,3,4,East
9,6,3,2,East
10,6,3,4,East
11,6,3,4,East
12,6,3,5,East
13,6,3,4,East
14,6,3,4,East
15,6,3,2,East
16,6,3,4,East
16,5,3,2,South
16,4,3,2,South
16,3,3,2,South
15,3,3,2,West
14,3,3,1,West
13,3,3,1,West
12,3,2,3,West
11,3,2,3,West
10,3,2,4,West
9,3,2,6,West
8,3,2,7,West
8,4,2,7,North
8,4,2,7,North
8,4,2,6,North
8,4,2,7,North
8,4,2,7,North
7,4,2,6,West
6,4,2,6,West
5,4,2,4,West
4,4,2,2,West
3,4,2,1,West
2,4,1,13,West
3,4,1,11,East
4,4,1,11,East
5,4,1,10,East
6,4,1,9,East
7,4,1,7,East
8,4,1,7,East
9,4,1,7,East
10,4,1,6,East
11,4,1,4,East
12,4,1,4,East
13,4,1,3,East
14,4,1,3,East
15,4,1,2,East
16,4,1,1,East
17,4,1,2,East
18,4,1,2,East
18,5,1,4,North
18,6,1,6,North
17,6,1,4,West
16,6,1,2,West
15,6,1,2,West
14,6,1,3,West
14,5,1,1,South
1,6,4,7,Stop
1,6,4,7,Stop
1,6,4,7,Stop
1,6,4,7,Stop
2,6,4,6,East
3,6,4,5,East
4,6,4,4,East
5,6,4,3,East
6,6,4,2,East
7,6,4,1,East
8,6,3,4,East
9,6,3,5,East
10,6,3,4,East
11,6,3,3,East
12,6,3,4,East
13,6,3,3,East
14,6,3,2,East
15,6,3,1,East
16,6,2,8,East
16,5,2,7,South
16,4,2,6,South
16,3,2,5,South
15,3,2,4,West
14,3,2,3,West
13,3,2,2,West
12,3,2,1,West
11,3,1,6,West
10,3,1,5,West
9,3,1,4,West
8,3,1,3,West
7,3,1,2,West
6,3,1,1,West
1,6,4,7,Stop
1,6,4,6,Stop
1,6,4,6,Stop
1,6,4,5,Stop
2,6,4,5,East
3,6,4,3,East
4,6,4,3,East
5,6,4,2,East
6,6,4,1,East
7,6,3,3,East
7,5,3,2,South
7,4,3,1,South
7,3,3,1,South
7,3,2,2,South
7,3,2,2,South
6,3,2,2,West
5,3,2,3,West
6,3,2,2,East
6,4,2,2,North
6,4,2,1,North
7,4,1,7,East
7,3,1,7,South
7,3,1,8,South
8,3,1,6,East
9,3,1,5,East
10,3,1,4,East
11,3,1,2,East
12,3,1,1,East
1,11,4,7,Stop
1,11,4,6,Stop
1,11,4,6,Stop
2,11,4,4,East
3,11,4,4,East
