Key_Dataset,Key_Run,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Date_time,Number_of_training_instances,Number_of_testing_instances,Number_correct,Number_incorrect,Number_unclassified,Percent_correct,Percent_incorrect,Percent_unclassified,Kappa_statistic,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,KB_information,KB_mean_information,KB_relative_information,True_positive_rate,Num_true_positives,False_positive_rate,Num_false_positives,True_negative_rate,Num_true_negatives,False_negative_rate,Num_false_negatives,IR_precision,IR_recall,F_measure,Matthews_correlation,Area_under_ROC,Area_under_PRC,Weighted_avg_true_positive_rate,Weighted_avg_false_positive_rate,Weighted_avg_true_negative_rate,Weighted_avg_false_negative_rate,Weighted_avg_IR_precision,Weighted_avg_IR_recall,Weighted_avg_F_measure,Weighted_avg_matthews_correlation,Weighted_avg_area_under_ROC,Weighted_avg_area_under_PRC,Unweighted_macro_avg_F_measure,Unweighted_micro_avg_F_measure,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,UserCPU_Time_millis_training,UserCPU_Time_millis_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Coverage_of_Test_Cases_By_Regions,Size_of_Predicted_Regions,Summary,measureTreeSize,measureNumLeaves,measureNumRules
pacman_info-weka.filters.unsupervised.attribute.Remove-R6-9-weka.filters.supervised.instance.Resample-B1.0-S1-Z100.0,1,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,2.02103291744E7,453.0,232.0,125.0,107.0,0.0,53.87931034482759,46.12068965517241,0.0,0.42363594149059675,0.18649997201074756,0.40921769263636676,58.279047342526624,102.2995968334591,538.7509303001768,91370.916257714,-90832.16532741382,2.3222022857766245,393.84015628325,-391.5179539974734,253.8028711378796,1.093977892835688,47.10950030220231,1.0,46.0,0.021505376344086023,4.0,0.978494623655914,182.0,0.0,0.0,0.92,1.0,0.9583333333333334,0.9487966345658277,0.989247311827957,0.92,0.5387931034482759,0.11540600667408231,0.8845939933259177,0.46120689655172414,0.5302321221451856,0.5387931034482759,0.5253646749075508,0.4185123922282704,0.7304198203317697,0.4695390884571978,0.5264157209326383,0.5387931034482759,0.008,0.001,0.015625,0.0,15.625,0.0,29845.0,36368.0,19351.0,63.36206896551724,28.706896551724178,'Number of leaves: 56\nSize of the tree: 111\n',111.0,56.0,56.0
pacman_info-weka.filters.unsupervised.attribute.Remove-R6-9-weka.filters.supervised.instance.Resample-B1.0-S1-Z100.0-weka.filters.unsupervised.attribute.Remove-R3,1,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,2.02103291744E7,453.0,232.0,125.0,107.0,0.0,53.87931034482759,46.12068965517241,0.0,0.42363594149059675,0.1861777846195947,0.4122273914115214,58.17836757287455,103.05198603077093,538.7509303001768,94586.85291618541,-94048.10198588524,2.3222022857766245,407.7019522249371,-405.3797499391605,254.10753481269285,1.0952910983305726,47.16605030660667,1.0,46.0,0.021505376344086023,4.0,0.978494623655914,182.0,0.0,0.0,0.92,1.0,0.9583333333333334,0.9487966345658277,0.989247311827957,0.92,0.5387931034482759,0.11540600667408231,0.8845939933259177,0.46120689655172414,0.5302321221451856,0.5387931034482759,0.5253646749075508,0.4185123922282704,0.7247671527139656,0.46318161877076786,0.5264157209326383,0.5387931034482759,0.009,0.001,0.015625,0.0,15.625,0.0,30805.0,32736.0,17487.0,62.06896551724138,28.18965517241384,'Number of leaves: 58\nSize of the tree: 115\n',115.0,58.0,58.0
pacman_info-weka.filters.unsupervised.attribute.Remove-R6-9-weka.filters.supervised.instance.Resample-B1.0-S1-Z100.0-weka.filters.unsupervised.attribute.Remove-R4,1,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,2.02103291744E7,453.0,232.0,130.0,102.0,0.0,56.03448275862069,43.96551724137931,0.0,0.4505688414209426,0.1787420977011491,0.40096754676185603,55.85480288129741,100.23715766729714,538.7509303001768,83865.27843257894,-83326.52750227877,2.3222022857766245,361.4882691059437,-359.1660668201671,267.2049908587113,1.151745650253066,49.5971284374084,1.0,46.0,0.021505376344086023,4.0,0.978494623655914,182.0,0.0,0.0,0.92,1.0,0.9583333333333334,0.9487966345658277,0.989247311827957,0.92,0.5603448275862069,0.11007601038190583,0.8899239896180942,0.4396551724137931,0.5529338752602245,0.5603448275862069,0.5478285199826983,0.4457173584096731,0.7416349788815271,0.48125571538407064,0.5490749037910481,0.5603448275862069,0.009,0.0,0.015625,0.0,15.625,0.0,30325.0,32740.0,17491.0,65.51724137931035,28.189655172413826,'Number of leaves: 57\nSize of the tree: 113\n',113.0,57.0,57.0
pacman_info-weka.filters.unsupervised.attribute.Remove-R6-9-weka.filters.supervised.instance.Resample-B1.0-S1-Z100.0-weka.filters.unsupervised.attribute.Remove-R1-2,1,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,2.02103291744E7,453.0,232.0,97.0,135.0,0.0,41.810344827586206,58.189655172413794,0.0,0.27254145956240994,0.2373769365317337,0.4568425201976973,74.1775002591401,114.20524203515964,538.7509303001768,135350.3974946962,-134811.646564396,2.3222022857766245,583.4068857530009,-581.0846834672242,181.12622065831238,0.7807164683547947,33.61965807787913,0.9347826086956522,43.0,0.021505376344086023,4.0,0.978494623655914,182.0,0.06521739130434782,3.0,0.9148936170212766,0.9347826086956522,0.924731182795699,0.905947906551003,0.956638616175783,0.8681576764809085,0.41810344827586204,0.14572149409166385,0.8542785059083363,0.5818965517241379,0.4041135764685309,0.41810344827586204,0.410593413391096,0.26593301751407356,0.6173019840886009,0.3907574644148142,0.4109365385456398,0.41810344827586204,0.007,0.0,0.015625,0.0,15.625,0.0,33183.0,29070.0,15589.0,45.689655172413794,29.224137931034498,'Number of leaves: 63\nSize of the tree: 125\n',125.0,63.0,63.0
pacman_info-weka.filters.unsupervised.attribute.Remove-R6-9-weka.filters.supervised.instance.Resample-B1.0-S1-Z100.0-weka.filters.unsupervised.attribute.Remove-R5,1,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,2.02103291744E7,453.0,232.0,113.0,119.0,0.0,48.706896551724135,51.293103448275865,0.0,0.3585203773409545,0.20751937436014486,0.42551202006659083,64.84736331289872,106.372986515233,538.7509303001768,91406.28481211288,-90867.5338818127,2.3222022857766245,393.9926069487624,-391.6704046629858,226.47103802583416,0.9761682673527334,42.036314981331145,0.6304347826086957,29.0,0.03225806451612903,6.0,0.967741935483871,180.0,0.3695652173913043,17.0,0.8285714285714286,0.6304347826086957,0.7160493827160495,0.6663428750649198,0.7952314165497896,0.562538773071007,0.4870689655172414,0.12878238300204736,0.8712176169979526,0.5129310344827587,0.5084293004766388,0.4870689655172414,0.49245533434820155,0.36775558831089505,0.7094456803856136,0.40611828867303246,0.4927623993673784,0.4870689655172414,0.008,0.0,0.015625,0.0,15.625,0.0,33232.0,32743.0,17494.0,59.91379310344828,30.172413793103516,'Number of leaves: 63\nSize of the tree: 125\n',125.0,63.0,63.0
pacman_info-weka.filters.unsupervised.attribute.Remove-R6-9-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0,1,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,2.02103291744E7,455.0,233.0,126.0,107.0,0.0,54.07725321888412,45.92274678111588,0.0,0.38517879161528984,0.18551960044487129,0.39782301045244267,61.9917904664079,103.03603744377882,494.4126867226477,82783.80318503284,-82289.3904983102,2.121942861470591,355.2952926396259,-353.17334977815534,230.1361772659977,0.9877089153047112,46.54738509877639,1.0,14.0,0.0091324200913242,2.0,0.9908675799086758,217.0,0.0,0.0,0.875,1.0,0.9333333333333333,0.931133251699289,0.9954337899543378,0.875,0.5407725321888412,0.15793019054603874,0.8420698094539613,0.4592274678111588,0.5497068060673798,0.5407725321888412,0.534752354259245,0.37674872113124575,0.7252460775175538,0.49173207547126896,0.5721868986143523,0.5407725321888412,0.01,0.0,0.015625,0.0,15.625,0.0,36620.0,36521.0,19427.0,66.09442060085837,28.927038626609555,'Number of leaves: 70\nSize of the tree: 139\n',139.0,70.0,70.0
pacman_info-weka.filters.unsupervised.attribute.Remove-R6-9-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0,1,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,2.02103291744E7,455.0,233.0,125.0,108.0,0.0,53.648068669527895,46.351931330472105,0.0,0.37669672049935593,0.18716480788407014,0.4008829195889584,62.541540221150925,103.82855296973099,494.4126867226477,83858.90272070639,-83364.49003398375,2.121942861470591,359.9094537369373,-357.78751087546675,226.13283802579653,0.9705272018274529,45.737668975442574,1.0,14.0,0.0091324200913242,2.0,0.9908675799086758,217.0,0.0,0.0,0.875,1.0,0.9333333333333333,0.931133251699289,0.9954337899543378,0.875,0.5364806866952789,0.16310072588672536,0.8368992741132746,0.463519313304721,0.5403048381469358,0.5364806866952789,0.5287032776905098,0.3670795795373874,0.7211026937255135,0.4851181387767305,0.5647189289529058,0.5364806866952789,0.009,0.0,0.015625,0.0,15.625,0.0,37096.0,32873.0,17555.0,65.66523605150215,28.841201716738308,'Number of leaves: 71\nSize of the tree: 141\n',141.0,71.0,71.0
pacman_info-weka.filters.unsupervised.attribute.Remove-R6-9-weka.filters.unsupervised.attribute.Remove-R4-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0,1,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,2.02103291744E7,455.0,233.0,139.0,94.0,0.0,59.65665236051502,40.34334763948498,0.0,0.462448458668761,0.16997231865655435,0.36908085505700133,56.79663139624839,95.59182802971924,494.4126867226477,58131.93672091132,-57637.524034188675,2.121942861470591,249.49329064768807,-247.37134778621748,254.62002121213544,1.0927897906100235,51.49949183140005,1.0,14.0,0.0136986301369863,3.0,0.9863013698630136,216.0,0.0,0.0,0.8235294117647058,1.0,0.9032258064516129,0.9012481272912645,0.9931506849315068,0.8235294117647058,0.5965665236051502,0.12732029830906474,0.8726797016909352,0.4034334763948498,0.6038720236288136,0.5965665236051502,0.5925656041656584,0.4599860454988155,0.7756837062744275,0.5426829041712841,0.6103362000625904,0.5965665236051502,0.007,0.0,0.0,0.0,0.0,0.0,36616.0,32877.0,17559.0,75.9656652360515,34.420600858369184,'Number of leaves: 70\nSize of the tree: 139\n',139.0,70.0,70.0
pacman_info-weka.filters.unsupervised.attribute.Remove-R6-9-weka.filters.unsupervised.attribute.Remove-R1-2-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0,1,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,2.02103291744E7,455.0,233.0,113.0,120.0,0.0,48.497854077253216,51.502145922746784,0.0,0.2885134103516718,0.23048300935033506,0.4019569388304761,77.01641437050701,104.10672362320452,494.4126867226477,64637.925877168025,-64143.51319044538,2.121942861470591,277.4159908891331,-275.2940480276626,164.684203162447,0.7067991552036352,33.30905690428418,0.9285714285714286,13.0,0.0091324200913242,2.0,0.9908675799086758,217.0,0.07142857142857142,1.0,0.8666666666666667,0.9285714285714286,0.896551724137931,0.8902974393718733,0.9597195042400521,0.809053750255467,0.48497854077253216,0.19688081520900222,0.8031191847909976,0.5150214592274678,0.46291744930339307,0.48497854077253216,0.46950659693427343,0.283147643961165,0.6654126624314456,0.42210006999307464,0.4745471087625853,0.48497854077253216,0.006,0.001,0.0,0.0,0.0,0.0,31246.0,29191.0,15649.0,72.1030042918455,44.80686695278977,'Number of leaves: 59\nSize of the tree: 117\n',117.0,59.0,59.0
pacman_info-weka.filters.unsupervised.attribute.Remove-R6-9-weka.filters.unsupervised.attribute.Remove-R5-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0,1,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,2.02103291744E7,455.0,233.0,131.0,102.0,0.0,56.223175965665234,43.776824034334766,0.0,0.40995084165052886,0.18822451975367438,0.3802506498558729,62.89564531849773,98.48480144980108,494.4126867226477,57094.336964276874,-56599.92427755423,2.121942861470591,245.04007280805524,-242.91812994658468,219.5746332224715,0.9423804000964442,44.41120527832389,0.6428571428571429,9.0,0.0182648401826484,4.0,0.9817351598173516,215.0,0.35714285714285715,5.0,0.6923076923076923,0.6428571428571429,0.6666666666666666,0.6466952729775349,0.9840182648401826,0.665001665001665,0.5622317596566524,0.14759255046291203,0.8524074495370879,0.43776824034334766,0.5733867839099347,0.5622317596566524,0.5649586471521619,0.413714953889242,0.7437803425448575,0.5141607368251085,0.5543408648218086,0.5622317596566524,0.012,0.001,0.015625,0.0,15.625,0.0,35651.0,32880.0,17562.0,76.39484978540773,37.939914163090236,'Number of leaves: 68\nSize of the tree: 135\n',135.0,68.0,68.0
