@relation 'pacman_info-weka.filters.unsupervised.attribute.Remove-R6-8-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,7,6-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Remove-R4'

@attribute pacmanX numeric
@attribute pacmanY numeric
@attribute livingGhosts numeric
@attribute score numeric
@attribute class {Stop,North,South,East,West}
@attribute score2 numeric

@data
0,0.2,1,0.031405,Stop,-1
0,0.133333,1,0.029752,South,-2
0,0.066667,1,0.028099,South,-3
0,0,1,0.026446,South,-4
0,0.066667,1,0.024793,North,-5
0.0625,0.066667,1,0.02314,East,-6
0.125,0.066667,1,0.021488,East,-7
0.125,0,1,0.019835,South,-8
0.125,0.066667,1,0.018182,North,191
0.1875,0.066667,0.666667,0.347107,East,190
0.1875,0,0.666667,0.345455,South,189
0.25,0,0.333333,0.67438,East,388
0.25,0.066667,0.333333,0.672727,North,387
0.25,0,0.333333,0.671074,South,386
0.3125,0,0.333333,0.669421,East,385
0.375,0,0.333333,0.667769,East,384
0.4375,0,0.333333,0.666116,East,383
0.5,0,0.333333,0.664463,East,382
0.5625,0,0.333333,0.66281,East,381
0.625,0,0.333333,0.661157,East,380
0.6875,0,0.333333,0.659504,East,379
0.75,0,0.333333,0.657851,East,378
0.8125,0,0.333333,0.656198,East,377
0.8125,0.066667,0.333333,0.654545,North,576
0.875,0.066667,0,0.983471,East,575
0.8125,0.066667,0,0.981818,West,574
0.75,0.066667,0,0.980165,West,573
0.6875,0.066667,0,0.978512,West,572
0.625,0.066667,0,0.97686,West,571
0.5625,0.066667,0,0.975207,West,570
0.5625,0,0,0.973554,South,569
0.5,0,0,0.971901,West,568
0.4375,0,0,0.970248,West,767
0,0.2,1,0.031405,Stop,-1
0,0.133333,1,0.029752,South,-2
0,0.066667,1,0.028099,South,-3
0.0625,0.066667,1,0.026446,East,-4
0.0625,0,1,0.024793,South,-5
0.0625,0.066667,1,0.02314,North,-6
0.125,0.066667,1,0.021488,East,-7
0.1875,0.066667,1,0.019835,East,-8
0.1875,0,1,0.018182,South,191
0.25,0,0.666667,0.347107,East,190
0.25,0.066667,0.666667,0.345455,North,189
0.3125,0.066667,0.666667,0.343802,East,188
0.375,0.066667,0.666667,0.342149,East,187
0.375,0.133333,0.666667,0.340496,North,186
0.375,0.2,0.666667,0.338843,North,385
0.4375,0.2,0.333333,0.667769,East,384
0.5,0.2,0.333333,0.666116,East,383
0.5625,0.2,0.333333,0.664463,East,382
0.625,0.2,0.333333,0.66281,East,381
0.6875,0.2,0.333333,0.661157,East,380
0.75,0.2,0.333333,0.659504,East,379
0.8125,0.2,0.333333,0.657851,East,378
0.8125,0.133333,0.333333,0.656198,South,377
0.8125,0.066667,0.333333,0.654545,South,376
0.875,0.066667,0.333333,0.652893,East,375
0.875,0,0.333333,0.65124,South,374
0.8125,0,0.333333,0.649587,West,373
0.8125,0.066667,0.333333,0.647934,North,572
0.8125,0.133333,0,0.97686,North,571
0.8125,0.066667,0,0.975207,South,570
0.8125,0,0,0.973554,South,569
0.75,0,0,0.971901,West,768
0.6875,0.466667,1,0.031405,Stop,-1
0.6875,0.533333,1,0.029752,North,-2
0.6875,0.6,1,0.028099,North,-3
0.75,0.6,1,0.026446,East,-4
0.75,0.533333,1,0.024793,South,-5
0.75,0.466667,1,0.02314,South,-6
0.75,0.4,1,0.021488,South,-7
0.8125,0.4,1,0.019835,East,-8
0.8125,0.333333,1,0.018182,South,-9
0.75,0.333333,1,0.016529,West,-10
0.75,0.4,1,0.014876,North,-11
0.6875,0.4,1,0.013223,West,188
0.6875,0.466667,0.666667,0.342149,North,187
0.625,0.466667,0.666667,0.340496,West,186
0.5625,0.466667,0.666667,0.338843,West,185
0.5625,0.4,0.666667,0.33719,South,184
0.5,0.4,0.333333,0.666116,West,383
0.5,0.333333,0.333333,0.664463,South,382
0.5,0.266667,0.333333,0.66281,South,381
0.5,0.2,0.333333,0.661157,South,380
0.5,0.133333,0.333333,0.659504,South,379
0.5,0.066667,0.333333,0.657851,South,378
0.5625,0.066667,0.333333,0.656198,East,377
0.5625,0,0.333333,0.654545,South,376
0.5625,0.066667,0.333333,0.652893,North,375
0.5625,0,0.333333,0.65124,South,374
0.625,0,0.333333,0.649587,East,373
0.6875,0,0.333333,0.647934,East,572
0.75,0,0,0.97686,East,571
0.75,0.066667,0,0.975207,North,570
0.75,0.133333,0,0.973554,North,569
0.75,0.2,0,0.971901,North,568
0.75,0.266667,0,0.970248,North,567
0.6875,0.266667,0,0.968595,West,566
0.625,0.266667,0,0.966942,West,565
0.5625,0.266667,0,0.965289,West,564
0.5625,0.2,0,0.963636,South,563
0.5,0.2,0,0.961983,West,562
0.4375,0.2,0,0.960331,West,561
0.4375,0.133333,0,0.958678,South,560
0.4375,0.066667,0,0.957025,South,559
0.375,0.066667,0,0.955372,West,558
0.3125,0.066667,0,0.953719,West,557
0.25,0.066667,0,0.952066,West,556
0.25,0,0,0.950413,South,555
0.1875,0,0,0.94876,West,754
0.6875,0.466667,1,0.031405,Stop,-1
0.6875,0.533333,1,0.029752,North,-2
0.6875,0.6,1,0.028099,North,197
0.75,0.6,0.666667,0.357025,East,196
0.75,0.533333,0.666667,0.355372,South,195
0.75,0.466667,0.666667,0.353719,South,194
0.75,0.4,0.666667,0.352066,South,193
0.75,0.333333,0.666667,0.350413,South,192
0.75,0.266667,0.666667,0.34876,South,391
0.75,0.2,0.333333,0.677686,South,390
0.6875,0.2,0.333333,0.676033,West,389
0.625,0.2,0.333333,0.67438,West,388
0.5625,0.2,0.333333,0.672727,West,387
0.5,0.2,0.333333,0.671074,West,386
0.4375,0.2,0.333333,0.669421,West,385
0.375,0.2,0.333333,0.667769,West,384
0.3125,0.2,0.333333,0.666116,West,583
0.25,0.2,0,0.995041,West,582
0.25,0.266667,0,0.993388,North,581
0.25,0.333333,0,0.991736,North,580
0.25,0.4,0,0.990083,North,579
0.3125,0.4,0,0.98843,East,578
0.3125,0.466667,0,0.986777,North,577
0.3125,0.533333,0,0.985124,North,576
0.3125,0.6,0,0.983471,North,775
0,0.533333,1,0.031405,Stop,-1
0,0.466667,1,0.029752,South,-2
0,0.4,1,0.028099,South,-3
0.0625,0.4,1,0.026446,East,-4
0.0625,0.333333,1,0.024793,South,-5
0.125,0.333333,1,0.02314,East,-6
0.125,0.266667,1,0.021488,South,-7
0.1875,0.266667,1,0.019835,East,-8
0.1875,0.333333,1,0.018182,North,191
0.25,0.333333,0.666667,0.347107,East,190
0.25,0.4,0.666667,0.345455,North,189
0.25,0.466667,0.666667,0.343802,North,188
0.25,0.533333,0.666667,0.342149,North,187
0.3125,0.533333,0.666667,0.340496,East,186
0.375,0.533333,0.666667,0.338843,East,385
0.4375,0.533333,0.333333,0.667769,East,384
0.5,0.533333,0.333333,0.666116,East,383
0.5625,0.533333,0.333333,0.664463,East,382
0.625,0.533333,0.333333,0.66281,East,381
0.6875,0.533333,0.333333,0.661157,East,380
0.75,0.533333,0.333333,0.659504,East,379
0.8125,0.533333,0.333333,0.657851,East,578
