@relation 'pacman_info-weka.filters.unsupervised.attribute.Remove-R6-8-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,7,6-weka.filters.unsupervised.attribute.Remove-R6'

@attribute pacmanX numeric
@attribute pacmanY numeric
@attribute livingGhosts numeric
@attribute minGhost numeric
@attribute score numeric
@attribute score2 numeric

@data
1,18,4,13,0,-1
1,18,4,13,-1,-2
1,18,4,14,-2,-3
1,18,4,15,-3,-4
1,18,4,14,-4,-5
1,18,4,15,-5,-6
1,17,4,13,-6,-7
1,16,4,12,-7,-8
1,15,4,10,-8,-9
1,14,4,10,-9,-10
1,13,4,8,-10,-11
1,12,4,8,-11,-12
1,11,4,6,-12,-13
1,10,4,5,-13,-14
1,9,4,4,-14,-15
1,8,4,4,-15,-16
1,7,4,3,-16,-17
1,6,4,2,-17,-18
1,5,4,2,-18,-19
2,5,4,2,-19,-20
3,5,3,2,180,179
4,5,3,2,179,178
5,5,3,2,178,177
5,5,3,3,177,176
5,6,3,1,176,375
4,6,2,5,375,374
4,5,2,3,374,373
4,4,2,2,373,372
4,3,2,1,372,571
3,3,1,3,571,570
2,3,1,3,570,569
3,3,1,1,569,768
1,18,4,13,0,-1
1,18,4,13,-1,-2
1,17,4,12,-2,-3
1,16,4,11,-3,-4
1,15,4,10,-4,-5
1,14,4,9,-5,-6
1,13,4,8,-6,-7
1,12,4,7,-7,-8
1,11,4,6,-8,-9
1,10,4,5,-9,-10
1,9,4,4,-10,-11
1,8,4,5,-11,-12
1,7,4,4,-12,-13
1,6,4,3,-13,-14
1,5,4,2,-14,-15
1,4,4,1,-15,-16
2,4,4,1,-16,183
2,3,3,1,183,382
1,3,2,8,382,381
1,4,2,7,381,380
2,4,2,6,380,379
3,4,2,5,379,378
4,4,2,4,378,377
5,4,2,3,377,376
5,5,2,2,376,375
5,6,2,1,375,574
6,6,1,4,574,573
6,7,1,3,573,572
6,8,1,2,572,571
6,9,1,1,571,770
1,18,4,13,0,-1
1,18,4,13,-1,-2
1,18,4,13,-2,-3
1,17,4,12,-3,-4
1,16,4,11,-4,-5
1,15,4,10,-5,-6
1,14,4,9,-6,-7
1,13,4,8,-7,-8
1,12,4,7,-8,-9
1,11,4,6,-9,-10
1,10,4,5,-10,-11
1,9,4,4,-11,-12
1,8,4,5,-12,-13
1,7,4,6,-13,-14
1,6,4,7,-14,-15
2,6,4,6,-15,-16
3,6,4,5,-16,-17
3,7,4,4,-17,-18
3,8,4,3,-18,-19
3,9,4,2,-19,-20
4,9,4,1,-20,179
5,9,3,12,179,178
6,9,3,11,178,177
6,8,3,10,177,176
6,7,3,9,176,175
6,6,3,8,175,174
7,6,3,7,174,173
8,6,3,6,173,172
9,6,3,5,172,171
10,6,3,4,171,170
10,5,3,3,170,169
10,4,3,2,169,168
10,3,3,1,168,167
10,4,3,2,167,166
11,4,3,1,166,365
11,3,2,9,365,364
11,4,2,8,364,363
11,5,2,7,363,362
11,6,2,6,362,361
11,7,2,7,361,360
11,8,2,8,360,359
11,9,2,9,359,358
11,10,2,10,358,357
11,11,2,11,357,356
11,12,2,12,356,355
12,12,2,11,355,354
13,12,2,10,354,353
13,11,2,9,353,352
13,10,2,8,352,351
13,9,2,7,351,350
13,8,2,6,350,349
13,7,2,5,349,348
13,6,2,4,348,347
14,6,2,3,347,346
15,6,2,2,346,345
16,6,2,1,345,544
17,6,1,9,544,543
18,6,1,8,543,542
19,6,1,7,542,541
20,6,1,6,541,540
21,6,1,5,540,539
22,6,1,4,539,538
23,6,1,3,538,537
24,6,1,2,537,536
25,6,1,1,536,735
1,18,4,13,0,-1
1,18,4,14,-1,-2
1,17,4,13,-2,-3
1,16,4,13,-3,-4
1,15,4,12,-4,-5
1,14,4,12,-5,-6
1,13,4,12,-6,-7
1,12,4,12,-7,-8
1,11,4,10,-8,-9
1,10,4,10,-9,-10
1,9,4,8,-10,-11
1,8,4,8,-11,-12
1,7,4,6,-12,-13
1,6,4,6,-13,-14
2,6,4,4,-14,-15
3,6,4,4,-15,-16
4,6,4,2,-16,-17
5,6,4,4,-17,-18
5,7,4,2,-18,-19
4,7,4,2,-19,-20
4,8,3,7,180,179
3,8,3,8,179,178
3,7,3,8,178,177
4,7,3,6,177,176
5,7,3,5,176,175
5,6,3,4,175,174
6,6,3,4,174,173
7,6,3,2,173,172
8,6,3,2,172,171
9,6,3,2,171,170
9,7,3,2,170,169
9,8,3,4,169,168
9,7,3,4,168,167
9,6,3,2,167,166
9,5,3,3,166,165
9,6,3,3,165,164
10,6,3,3,164,163
11,6,3,3,163,162
11,7,3,3,162,161
10,7,3,3,161,160
10,8,3,1,160,159
10,9,3,1,159,158
9,9,3,2,158,157
9,8,3,2,157,156
10,8,3,2,156,155
10,7,3,1,155,354
10,6,2,12,354,353
10,7,2,14,353,352
10,8,2,14,352,351
10,9,2,14,351,350
10,10,2,16,350,349
10,11,2,17,349,348
10,12,2,18,348,347
11,12,2,18,347,346
12,12,2,16,346,345
13,12,2,14,345,344
13,11,2,14,344,343
13,10,2,12,343,342
13,9,2,11,342,341
13,8,2,9,341,340
13,7,2,7,340,339
13,6,2,6,339,338
13,5,2,6,338,337
14,5,2,4,337,336
14,5,2,3,336,335
14,4,2,3,335,334
15,4,2,3,334,333
16,4,2,1,333,332
16,3,2,3,332,331
17,3,2,3,331,330
17,4,2,3,330,329
18,4,2,2,329,328
19,4,2,2,328,327
20,4,1,6,527,526
21,4,1,5,526,525
22,4,1,4,525,524
23,4,1,2,524,523
23,5,1,4,523,522
24,5,1,4,522,521
25,5,1,4,521,520
25,4,1,4,520,519
25,3,1,2,519,518
26,3,1,2,518,517
27,3,1,2,517,516
28,3,1,2,516,515
28,3,1,1,515,714
12,10,4,3,0,-1
12,10,4,4,-1,-2
12,10,4,3,-2,-3
13,10,4,1,-3,-4
14,10,4,3,-4,-5
14,11,4,3,-5,-6
13,11,4,3,-6,-7
13,12,4,3,-7,-8
13,13,4,2,-8,-9
14,13,4,1,-9,190
14,14,3,11,190,189
14,14,3,10,189,188
14,13,3,10,188,187
14,12,3,8,187,186
