@RELATION pacman_info

@ATTRIBUTE pacmanX NUMERIC
@ATTRIBUTE pacmanY NUMERIC
@ATTRIBUTE width NUMERIC
@ATTRIBUTE height NUMERIC
@ATTRIBUTE g1Living {True, False}
@ATTRIBUTE g2Living {True, False}
@ATTRIBUTE g3Living {True, False}
@ATTRIBUTE g4Living {True, False}
@ATTRIBUTE livingGhosts NUMERIC
@ATTRIBUTE g1X NUMERIC
@ATTRIBUTE g1Y NUMERIC
@ATTRIBUTE g2X NUMERIC
@ATTRIBUTE g2Y NUMERIC
@ATTRIBUTE g3X NUMERIC
@ATTRIBUTE g3Y NUMERIC
@ATTRIBUTE g4X NUMERIC
@ATTRIBUTE g4Y NUMERIC
@ATTRIBUTE g1D NUMERIC
@ATTRIBUTE g2D NUMERIC
@ATTRIBUTE g3D NUMERIC
@ATTRIBUTE g4D NUMERIC
@ATTRIBUTE minGhost NUMERIC
@ATTRIBUTE score NUMERIC
@ATTRIBUTE score2 NUMERIC
@ATTRIBUTE class {Stop, North, South, East, West}

@data
1,18,30,20,True,True,True,True,4,1,3,2,3,5,9,6,6,15,16,13,17,13,0,-1,Stop
1,18,30,20,True,True,True,True,4,2,3,1,3,6,9,6,7,16,15,14,16,14,-1,-2,Stop
1,18,30,20,True,True,True,True,4,2,4,1,4,6,9,6,7,15,14,14,16,14,-2,-3,Stop
1,18,30,20,True,True,True,True,4,2,3,2,4,6,8,6,8,16,15,15,15,15,-3,-4,Stop
1,17,30,20,True,True,True,True,4,3,3,3,4,5,8,6,7,16,15,13,15,13,-4,-5,South
1,16,30,20,True,True,True,True,4,4,3,3,5,4,8,6,6,16,13,11,15,11,-5,-6,South
1,15,30,20,True,True,True,True,4,3,3,2,5,3,8,5,6,14,11,9,13,9,-6,-7,South
1,14,30,20,True,True,True,True,4,3,3,2,6,3,7,6,6,13,9,9,13,9,-7,-8,South
1,13,30,20,True,True,True,True,4,4,3,2,5,4,7,5,6,13,9,9,11,9,-8,-9,South
1,12,30,20,True,True,True,True,4,3,3,2,5,4,6,5,5,11,8,9,11,8,-9,-10,South
