@relation InstanceResultListener

@attribute Key_Dataset {pacman_info-weka.filters.unsupervised.attribute.Remove-R6-9-weka.filters.supervised.instance.Resample-B1.0-S1-Z100.0,pacman_info-weka.filters.unsupervised.attribute.Remove-R6-9-weka.filters.supervised.instance.Resample-B1.0-S1-Z100.0-weka.filters.unsupervised.attribute.Remove-R3,pacman_info-weka.filters.unsupervised.attribute.Remove-R6-9-weka.filters.supervised.instance.Resample-B1.0-S1-Z100.0-weka.filters.unsupervised.attribute.Remove-R4,pacman_info-weka.filters.unsupervised.attribute.Remove-R6-9-weka.filters.supervised.instance.Resample-B1.0-S1-Z100.0-weka.filters.unsupervised.attribute.Remove-R1-2,pacman_info-weka.filters.unsupervised.attribute.Remove-R6-9-weka.filters.supervised.instance.Resample-B1.0-S1-Z100.0-weka.filters.unsupervised.attribute.Remove-R5,pacman_info-weka.filters.unsupervised.attribute.Remove-R6-9-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0,pacman_info-weka.filters.unsupervised.attribute.Remove-R6-9-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Remove-R3,pacman_info-weka.filters.unsupervised.attribute.Remove-R6-9-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Remove-R4,pacman_info-weka.filters.unsupervised.attribute.Remove-R6-9-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Remove-R1-2,pacman_info-weka.filters.unsupervised.attribute.Remove-R6-9-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Remove-R5,pacman_info-weka.filters.unsupervised.attribute.Remove-R6-9,pacman_info-weka.filters.unsupervised.attribute.Remove-R6-9-weka.filters.unsupervised.attribute.Remove-R3,pacman_info-weka.filters.unsupervised.attribute.Remove-R6-9-weka.filters.unsupervised.attribute.Remove-R4,pacman_info-weka.filters.unsupervised.attribute.Remove-R6-9-weka.filters.unsupervised.attribute.Remove-R1-2,pacman_info-weka.filters.unsupervised.attribute.Remove-R6-9-weka.filters.unsupervised.attribute.Remove-R5}
@attribute Key_Run {1}
@attribute Key_Scheme {weka.classifiers.trees.J48,weka.classifiers.lazy.IBk,weka.classifiers.rules.PART,weka.classifiers.rules.ZeroR,weka.classifiers.bayes.NaiveBayes}
@attribute Key_Scheme_options {'-C 0.25 -M 2','-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','-K 3 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','-K 5 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','-K 7 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',''}
@attribute Key_Scheme_version_ID {-217733168393644444,-3080186098777067172,8121455039782598361,48055541465867954,5995231201785697655}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary {'Number of leaves: 56\nSize of the tree: 111\n','Number of leaves: 53\nSize of the tree: 105\n','Number of leaves: 52\nSize of the tree: 103\n','Number of leaves: 49\nSize of the tree: 97\n','Number of leaves: 50\nSize of the tree: 99\n','Number of leaves: 61\nSize of the tree: 121\n','Number of leaves: 48\nSize of the tree: 95\n','Number of leaves: 41\nSize of the tree: 81\n','Number of rules: 32\n','Number of rules: 41\n','Number of rules: 36\n','Number of rules: 44\n','Number of rules: 52\n','Number of rules: 53\n','Number of rules: 54\n','Number of rules: 23\n','Number of rules: 48\n'}
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumRules numeric

@data

pacman_info-weka.filters.unsupervised.attribute.Remove-R6-9-weka.filters.supervised.instance.Resample-B1.0-S1-Z100.0,1,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20210312.1817,367,143,62,81,0,43.356643,56.643357,0,0.293849,0.230154,0.454064,71.911023,113.493044,332.204342,78425.189934,-78092.985592,2.323107,548.427902,-546.104794,117.515092,0.821784,35.37434,1,28,0.017391,2,0.982609,113,0,0,0.933333,1,0.965517,0.957654,0.991304,0.933333,0.433566,0.139778,0.860222,0.566434,0.477338,0.433566,0.434523,0.310503,0.630233,0.388579,0.43812,0.433566,0.003,0,0,0,0,0,29845,29746,12498,48.951049,28.251748,'Number of leaves: 56\nSize of the tree: 111\n',111,56,56
pacman_info-weka.filters.unsupervised.attribute.Remove-R6-9-weka.filters.supervised.instance.Resample-B1.0-S1-Z100.0-weka.filters.unsupervised.attribute.Remove-R3,1,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20210312.1817,367,143,70,73,0,48.951049,51.048951,0,0.362075,0.214464,0.442529,67.008638,110.609979,332.204342,73055.172558,-72722.968216,2.323107,510.875333,-508.552225,131.55803,0.919986,39.601538,1,28,0.017391,2,0.982609,113,0,0,0.933333,1,0.965517,0.957654,0.991304,0.933333,0.48951,0.127787,0.872213,0.51049,0.496986,0.48951,0.483611,0.363525,0.671004,0.420827,0.485107,0.48951,0.001,0.001,0,0,0,0,28385,26802,11346,52.447552,26.713287,'Number of leaves: 53\nSize of the tree: 105\n',105,53,53
pacman_info-weka.filters.unsupervised.attribute.Remove-R6-9-weka.filters.supervised.instance.Resample-B1.0-S1-Z100.0-weka.filters.unsupervised.attribute.Remove-R4,1,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20210312.1817,367,143,66,77,0,46.153846,53.846154,0,0.328598,0.220603,0.444123,68.926665,111.00847,332.204342,74127.806624,-73795.602283,2.323107,518.37627,-516.053163,127.722331,0.893163,38.446918,1,28,0,0,1,115,0,0,1,1,1,1,1,1,0.461538,0.133433,0.866567,0.538462,0.453871,0.461538,0.4411,0.322304,0.649176,0.430076,0.445893,0.461538,0.002,0,0.015625,0,15.625,0,27905,26806,11350,51.748252,28.251748,'Number of leaves: 52\nSize of the tree: 103\n',103,52,52
pacman_info-weka.filters.unsupervised.attribute.Remove-R6-9-weka.filters.supervised.instance.Resample-B1.0-S1-Z100.0-weka.filters.unsupervised.attribute.Remove-R1-2,1,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20210312.1817,367,143,56,87,0,39.160839,60.839161,0,0.241125,0.245947,0.441509,76.845557,110.355022,332.204342,68799.293469,-68467.089127,2.323107,481.11394,-478.790833,104.765275,0.732624,31.536395,1,28,0,0,1,115,0,0,1,1,1,1,1,1,0.391608,0.150459,0.849541,0.608392,0.411448,0.391608,0.394063,0.248599,0.619372,0.378974,0.396258,0.391608,0.001,0.001,0,0,0,0,26407,23824,10160,53.146853,34.685315,'Number of leaves: 49\nSize of the tree: 97\n',97,49,49
pacman_info-weka.filters.unsupervised.attribute.Remove-R6-9-weka.filters.supervised.instance.Resample-B1.0-S1-Z100.0-weka.filters.unsupervised.attribute.Remove-R5,1,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20210312.1817,367,143,67,76,0,46.853147,53.146853,0,0.338165,0.224983,0.439638,70.295381,109.887274,332.204342,64494.919542,-64162.715201,2.323107,451.013423,-448.690316,125.595079,0.878287,37.806574,1,28,0.017391,2,0.982609,113,0,0,0.933333,1,0.965517,0.957654,0.991304,0.933333,0.468531,0.1301,0.8699,0.531469,0.495564,0.468531,0.445617,0.341461,0.663112,0.415064,0.449671,0.468531,0.003,0,0,0,0,0,28392,26809,11353,58.041958,32.447552,'Number of leaves: 53\nSize of the tree: 105\n',105,53,53
pacman_info-weka.filters.unsupervised.attribute.Remove-R6-9-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0,1,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20210312.1817,369,144,58,86,0,40.277778,59.722222,0,0.216797,0.244876,0.438604,80.603666,111.128345,313.410458,55955.647634,-55642.237176,2.176462,388.580886,-386.404425,94.062044,0.653209,30.012414,1,4,0,0,1,140,0,0,1,1,1,1,1,1,0.402778,0.18567,0.81433,0.597222,0.423909,0.402778,0.409111,0.224304,0.628395,0.433496,0.500306,0.402778,0.002,0,0,0,0,0,26940,29899,12574,61.805556,37.916667,'Number of leaves: 50\nSize of the tree: 99\n',99,50,50
pacman_info-weka.filters.unsupervised.attribute.Remove-R6-9-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Remove-R3,1,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20210312.1817,369,144,56,88,0,38.888889,61.111111,0,0.20417,0.252334,0.449401,83.058476,113.863952,313.410458,60250.461094,-59937.050637,2.176462,418.40598,-416.229518,86.38552,0.599899,27.563062,1,4,0.021429,3,0.978571,137,0,0,0.571429,1,0.727273,0.747786,0.989286,0.571429,0.388889,0.184419,0.815581,0.611111,0.406898,0.388889,0.392154,0.206463,0.612842,0.396834,0.441047,0.388889,0.002,0,0.015625,0,15.625,0,32256,26939,11414,58.333333,37.083333,'Number of leaves: 61\nSize of the tree: 121\n',121,61,61
pacman_info-weka.filters.unsupervised.attribute.Remove-R6-9-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Remove-R4,1,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20210312.1817,369,144,47,97,0,32.638889,67.361111,0,0.115726,0.278448,0.471158,91.654325,119.376415,313.410458,72053.938032,-71740.527575,2.176462,500.37457,-498.198108,66.387051,0.461021,21.182143,1,4,0,0,1,140,0,0,1,1,1,1,1,1,0.326389,0.210369,0.789631,0.673611,0.348262,0.326389,0.329445,0.123927,0.546305,0.379989,0.432358,0.326389,0.002,0,0,0,0,0,25968,26943,11418,51.388889,39.444444,'Number of leaves: 48\nSize of the tree: 95\n',95,48,48
pacman_info-weka.filters.unsupervised.attribute.Remove-R6-9-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Remove-R1-2,1,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20210312.1817,369,144,33,111,0,22.916667,77.083333,0,-0.002886,0.300702,0.462155,98.979449,117.095217,313.410458,68856.680721,-68543.270263,2.176462,478.171394,-475.994932,41.17181,0.285915,13.136706,1,4,0,0,1,140,0,0,1,1,1,1,1,1,0.229167,0.235883,0.764117,0.770833,0.262236,0.229167,0.238992,0.003649,0.477343,0.30599,0.365879,0.229167,0.001,0,0,0,0,0,22534,23945,10220,54.861111,48.194444,'Number of leaves: 41\nSize of the tree: 81\n',81,41,41
