@relation pacman_info-weka.filters.unsupervised.attribute.Remove-R6-9-weka.filters.supervised.instance.Resample-B1.0-S1-Z100.0-weka.filters.unsupervised.attribute.Remove-R4

@attribute pacmanX numeric
@attribute pacmanY numeric
@attribute livingGhosts numeric
@attribute score numeric
@attribute class {Stop,North,South,East,West}

@data
1,11,4,0,Stop
1,6,4,0,Stop
1,18,4,0,Stop
12,10,4,0,Stop
1,11,4,0,Stop
1,11,4,0,Stop
1,11,4,0,Stop
1,18,4,0,Stop
1,6,4,0,Stop
1,6,4,0,Stop
1,6,4,0,Stop
12,10,4,0,Stop
1,18,4,0,Stop
12,10,4,0,Stop
12,10,4,0,Stop
1,11,4,0,Stop
12,10,4,0,Stop
12,10,4,0,Stop
1,18,4,0,Stop
1,6,4,0,Stop
1,18,4,0,Stop
12,10,4,0,Stop
1,6,4,0,Stop
1,6,4,0,Stop
1,11,4,0,Stop
1,6,4,0,Stop
1,6,4,0,Stop
12,10,4,0,Stop
1,18,4,0,Stop
12,10,4,0,Stop
1,11,4,0,Stop
1,11,4,0,Stop
1,6,4,0,Stop
1,18,4,0,Stop
12,10,4,0,Stop
1,11,4,0,Stop
1,6,4,0,Stop
1,6,4,0,Stop
1,11,4,0,Stop
1,11,4,0,Stop
1,11,4,0,Stop
1,6,4,0,Stop
1,18,4,0,Stop
1,18,4,0,Stop
1,18,4,0,Stop
12,10,4,0,Stop
1,6,4,0,Stop
1,6,4,0,Stop
1,6,4,0,Stop
1,18,4,0,Stop
12,10,4,0,Stop
12,10,4,0,Stop
1,18,4,0,Stop
1,11,4,0,Stop
1,18,4,0,Stop
1,11,4,0,Stop
1,6,4,0,Stop
1,6,4,0,Stop
1,11,4,0,Stop
1,11,4,0,Stop
1,6,4,0,Stop
1,6,4,0,Stop
1,18,4,0,Stop
12,10,4,0,Stop
1,6,4,0,Stop
1,18,4,0,Stop
1,6,4,0,Stop
1,11,4,0,Stop
1,11,4,0,Stop
1,6,4,0,Stop
1,6,4,0,Stop
1,18,4,0,Stop
1,11,4,0,Stop
1,6,4,0,Stop
13,7,1,568,North
3,7,1,578,North
5,9,3,190,North
12,6,1,579,North
1,6,4,-17,North
7,5,1,550,North
13,5,1,570,North
6,12,1,576,North
5,10,3,189,North
3,8,1,577,North
13,5,1,565,North
10,10,1,550,North
6,5,3,192,North
13,4,1,571,North
14,4,2,377,North
7,5,3,187,North
12,10,3,188,North
8,7,2,355,North
1,7,4,-18,North
3,8,1,577,North
14,5,1,572,North
6,11,1,577,North
8,6,2,356,North
2,5,1,581,North
13,4,1,566,North
13,7,1,568,North
11,4,1,536,North
11,5,1,534,North
1,7,4,-18,North
11,4,1,535,North
12,5,1,580,North
13,9,4,-10,North
6,6,3,191,North
11,4,1,535,North
14,4,2,377,North
2,4,4,-5,North
4,8,4,-8,North
6,10,1,578,North
13,4,1,567,North
1,6,4,-17,North
10,4,2,383,North
10,4,2,376,North
14,5,1,572,North
5,4,3,190,North
3,10,1,575,North
5,4,3,190,North
7,5,1,552,North
12,12,4,-2,North
12,5,1,580,North
2,4,4,-5,North
11,5,1,534,North
13,4,1,566,North
10,4,2,383,North
13,5,1,560,North
10,4,2,376,North
11,4,1,535,North
11,5,1,534,North
8,8,2,354,North
2,6,1,580,North
13,5,1,565,North
13,4,1,567,North
3,8,1,577,North
6,6,3,191,North
6,5,3,192,North
12,12,4,-2,North
8,9,2,353,North
2,6,2,384,North
14,4,2,373,North
13,4,1,571,North
3,10,1,575,North
2,4,4,-5,North
5,8,1,581,North
13,4,1,571,North
4,8,4,-8,North
13,3,1,562,South
1,8,4,-11,South
1,17,4,-1,South
1,9,4,-9,South
9,6,2,381,South
13,10,4,-5,South
9,8,2,383,South
1,16,4,-2,South
13,6,2,391,South
1,7,4,-12,South
2,5,2,383,South
13,6,2,391,South
1,5,4,-16,South
1,15,4,-3,South
10,5,2,386,South
1,5,4,-1,South
1,9,4,-10,South
10,3,1,570,South
13,4,1,563,South
10,9,1,549,South
1,4,4,-2,South
1,15,4,-3,South
1,13,4,-5,South
10,6,1,564,South
9,7,2,382,South
1,5,4,-1,South
1,14,4,-4,South
13,4,1,564,South
4,3,4,-8,South
10,6,1,546,South
1,15,4,-3,South
2,4,1,582,South
1,5,4,-1,South
10,9,3,185,South
1,15,4,-3,South
10,3,1,570,South
10,4,2,385,South
2,5,2,383,South
1,6,4,-15,South
10,6,1,546,South
1,9,4,-10,South
1,9,4,-2,South
3,5,3,178,South
10,9,3,185,South
1,13,4,-5,South
6,3,2,388,South
5,3,2,387,South
11,3,1,538,South
5,7,3,192,South
13,8,3,193,South
8,5,1,561,South
1,5,3,186,South
13,7,3,192,South
1,5,4,-1,South
3,3,4,-7,South
13,9,4,-6,South
9,7,2,382,South
10,8,1,548,South
13,3,1,562,South
4,3,1,543,South
1,10,4,-1,South
7,4,2,359,South
1,16,4,-2,South
1,3,4,-3,South
13,7,3,192,South
1,11,4,-7,South
10,6,1,564,South
1,12,4,-6,South
1,9,4,-10,South
1,9,4,-10,South
1,16,4,-2,South
1,5,4,-1,South
1,17,4,-1,South
2,3,4,-4,South
8,3,2,386,East
2,6,3,180,East
3,4,4,-6,East
11,4,1,582,East
17,5,1,528,East
9,3,2,385,East
12,4,1,581,East
12,11,2,381,East
6,3,2,386,East
4,4,3,191,East
3,6,1,579,East
9,6,2,388,East
6,11,3,187,East
15,11,1,578,East
11,6,2,382,East
3,4,4,-6,East
10,6,2,387,East
9,6,2,384,East
8,11,2,385,East
2,4,4,-3,East
3,8,4,-5,East
3,7,3,182,East
3,8,4,-5,East
11,4,1,541,East
4,10,1,574,East
15,5,1,530,East
9,6,2,384,East
12,6,2,381,East
9,3,2,383,East
6,5,2,361,East
9,6,2,388,East
4,9,4,-5,East
5,8,3,193,East
14,5,1,531,East
15,4,2,376,East
3,4,2,365,East
7,11,3,186,East
4,10,1,574,East
8,11,2,385,East
17,5,1,528,East
9,6,2,388,East
3,8,4,-5,East
8,5,2,357,East
7,4,3,188,East
11,6,2,382,East
8,3,2,384,East
3,4,4,-6,East
8,3,2,386,East
3,8,4,-5,East
14,9,4,-7,East
11,4,1,541,East
14,4,1,577,East
15,11,1,578,East
11,11,2,382,East
11,4,1,541,East
4,4,3,191,East
5,4,1,575,East
11,4,1,543,East
3,4,4,-6,East
3,7,3,174,East
13,5,1,532,East
5,3,3,191,East
8,3,2,386,East
4,7,4,-7,East
2,4,4,-3,East
4,4,2,364,East
11,4,1,543,East
6,11,3,187,East
6,9,1,579,East
3,7,3,182,East
11,3,1,583,East
3,4,2,365,East
4,4,3,191,East
4,4,4,-5,East
11,10,3,187,West
11,5,1,558,West
13,3,1,569,West
11,10,3,187,West
1,7,3,170,West
14,4,1,575,West
5,5,1,546,West
6,6,2,384,West
14,3,2,374,West
10,5,1,557,West
8,3,1,568,West
5,6,1,583,West
2,7,3,179,West
8,6,1,562,West
5,5,1,546,West
11,5,1,558,West
6,6,2,384,West
3,7,3,190,West
9,9,2,384,West
7,5,1,554,West
14,11,1,577,West
11,10,3,187,West
9,9,2,384,West
8,3,1,568,West
4,4,1,544,West
7,6,2,385,West
12,5,1,559,West
2,7,3,175,West
7,5,1,554,West
2,7,3,181,West
11,5,1,558,West
7,4,1,559,West
6,6,2,384,West
13,8,4,-9,West
12,4,1,573,West
8,6,2,386,West
9,9,2,384,West
3,7,3,188,West
12,7,1,567,West
2,7,3,179,West
9,5,1,556,West
12,4,1,573,West
2,7,3,177,West
12,7,1,567,West
6,4,1,558,West
2,7,3,173,West
12,5,1,559,West
13,3,1,569,West
6,4,1,558,West
11,5,1,558,West
10,7,1,565,West
6,6,2,384,West
11,4,1,572,West
13,3,1,568,West
2,7,3,171,West
8,6,2,386,West
7,6,2,385,West
10,5,1,557,West
13,8,4,-9,West
6,5,1,549,West
6,4,1,558,West
4,7,3,191,West
6,5,1,549,West
7,4,1,559,West
10,6,2,388,West
3,7,3,190,West
2,7,3,173,West
5,4,1,557,West
8,5,1,555,West
2,7,3,173,West
12,5,1,559,West
9,3,1,569,West
2,7,3,177,West
6,5,1,549,West
1,11,4,0,Stop
1,6,4,0,Stop
1,6,4,0,Stop
1,6,4,0,Stop
1,6,4,0,Stop
1,6,4,0,Stop
1,6,4,0,Stop
1,11,4,0,Stop
12,10,4,0,Stop
1,11,4,0,Stop
1,6,4,0,Stop
1,6,4,0,Stop
12,10,4,0,Stop
1,6,4,0,Stop
