Key_Dataset,Key_Run,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Date_time,Number_of_training_instances,Number_of_testing_instances,Number_correct,Number_incorrect,Number_unclassified,Percent_correct,Percent_incorrect,Percent_unclassified,Kappa_statistic,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,KB_information,KB_mean_information,KB_relative_information,True_positive_rate,Num_true_positives,False_positive_rate,Num_false_positives,True_negative_rate,Num_true_negatives,False_negative_rate,Num_false_negatives,IR_precision,IR_recall,F_measure,Matthews_correlation,Area_under_ROC,Area_under_PRC,Weighted_avg_true_positive_rate,Weighted_avg_false_positive_rate,Weighted_avg_true_negative_rate,Weighted_avg_false_negative_rate,Weighted_avg_IR_precision,Weighted_avg_IR_recall,Weighted_avg_F_measure,Weighted_avg_matthews_correlation,Weighted_avg_area_under_ROC,Weighted_avg_area_under_PRC,Unweighted_macro_avg_F_measure,Unweighted_micro_avg_F_measure,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,UserCPU_Time_millis_training,UserCPU_Time_millis_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Coverage_of_Test_Cases_By_Regions,Size_of_Predicted_Regions,Summary,measureTreeSize,measureNumLeaves,measureNumRules
pacman_info-weka.filters.unsupervised.attribute.Remove-R6-9-weka.filters.supervised.instance.Resample-B1.0-S1-Z100.0,1,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,2.02103291759E7,368.0,237.0,121.0,116.0,0.0,51.0548523206751,48.9451476793249,0.0,0.3887950200088928,0.1900422971309045,0.41244453421163785,59.385530755716104,103.10498625548544,550.3792242021473,92429.72180259175,-91879.34257838961,2.322275207603997,389.9988261712732,-387.67655096366923,260.88948640343466,1.1007995206895977,47.4017686226494,1.0,47.0,0.0,0.0,1.0,190.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.510548523206751,0.12197069565915868,0.8780293043408413,0.48945147679324896,0.4958244089346738,0.510548523206751,0.4922599019980315,0.38016076432616336,0.7362488837229081,0.4596966928892439,0.4943791927108383,0.510548523206751,0.007,0.0,0.0,0.0,0.0,0.0,29845.0,29823.0,19736.0,63.71308016877637,25.907172995780602,'Number of leaves: 56\nSize of the tree: 111\n',111.0,56.0,56.0
pacman_info-weka.filters.unsupervised.attribute.Remove-R6-9-weka.filters.supervised.instance.Resample-B1.0-S1-Z100.0-weka.filters.unsupervised.attribute.Remove-R3,1,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,2.02103291759E7,368.0,237.0,130.0,107.0,0.0,54.85232067510549,45.14767932489451,0.0,0.4359653024911031,0.1842212967529421,0.4023244296372532,57.56655044347326,100.57511094742623,550.3792242021473,83864.83138487315,-83314.452160671,2.322275207603997,353.86004803743947,-351.53777282983543,265.82722777308504,1.1216338724602744,48.298921195370205,1.0,47.0,0.0,0.0,1.0,190.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5485232067510548,0.11274493127513101,0.887255068724869,0.45147679324894513,0.5433688624388606,0.5485232067510548,0.5395953144902121,0.43249706557143214,0.7511804187279403,0.4932766275947441,0.540945467116066,0.5485232067510548,0.006,0.0,0.0,0.0,0.0,0.0,27417.0,26871.0,17832.0,67.0886075949367,28.776371308016888,'Number of leaves: 51\nSize of the tree: 101\n',101.0,51.0,51.0
pacman_info-weka.filters.unsupervised.attribute.Remove-R6-9-weka.filters.supervised.instance.Resample-B1.0-S1-Z100.0-weka.filters.unsupervised.attribute.Remove-R4,1,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,2.02103291759E7,368.0,237.0,134.0,103.0,0.0,56.540084388185655,43.459915611814345,0.0,0.4570265581209128,0.17757695656429826,0.40233529576568633,55.49028808198244,100.57782731757985,550.3792242021473,87065.985948418,-86515.60672421586,2.322275207603997,367.3670293182194,-365.04475411061543,277.2858170284163,1.1699823503308706,50.38086556235501,1.0,47.0,0.0,0.0,1.0,190.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5654008438818565,0.10834597266125184,0.8916540273387481,0.4345991561181435,0.5698741579687615,0.5654008438818565,0.5640407796843228,0.4583828899489995,0.7473325111863959,0.4741247834156802,0.5646358701747525,0.5654008438818565,0.006,0.001,0.015625,0.0,15.625,0.0,27905.0,26875.0,17836.0,65.82278481012658,27.341772151898766,'Number of leaves: 52\nSize of the tree: 103\n',103.0,52.0,52.0
pacman_info-weka.filters.unsupervised.attribute.Remove-R6-9-weka.filters.supervised.instance.Resample-B1.0-S1-Z100.0-weka.filters.unsupervised.attribute.Remove-R1-2,1,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,2.02103291759E7,368.0,237.0,103.0,134.0,0.0,43.459915611814345,56.540084388185655,0.0,0.29373304274340617,0.2318460067827153,0.4367442948881512,72.44859893953532,109.1795642477783,550.3792242021473,110704.92331547025,-110154.54409126811,2.322275207603997,467.10938107793356,-464.7871058703296,196.56922024395794,0.8294059925905398,35.715232625089165,1.0,47.0,0.0,0.0,1.0,190.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4345991561181435,0.1409821348415477,0.8590178651584524,0.5654008438818565,0.4495404384644891,0.4345991561181435,0.42749102061000843,0.2992101638169749,0.6512260148080947,0.39343452807102314,0.42860757145523154,0.4345991561181435,0.004,0.001,0.015625,0.0,15.625,0.0,26891.0,23885.0,15894.0,56.540084388185655,33.586497890295426,'Number of leaves: 50\nSize of the tree: 99\n',99.0,50.0,50.0
pacman_info-weka.filters.unsupervised.attribute.Remove-R6-9-weka.filters.supervised.instance.Resample-B1.0-S1-Z100.0-weka.filters.unsupervised.attribute.Remove-R5,1,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,2.02103291759E7,368.0,237.0,131.0,106.0,0.0,55.27426160337553,44.72573839662447,0.0,0.4413609072715144,0.19194424175769897,0.3859229160699549,59.97986155909705,96.474977012671,550.3792242021473,69943.59230630966,-69393.21308210751,2.322275207603997,295.1206426426568,-292.7983674350528,260.0422875798113,1.0972248421089084,47.247838607421905,1.0,47.0,0.010526315789473684,2.0,0.9894736842105263,188.0,0.0,0.0,0.9591836734693877,1.0,0.9791666666666666,0.9742109644334442,0.9947368421052631,0.9591836734693877,0.5527426160337553,0.11119726329019425,0.8888027367098057,0.4472573839662447,0.5689909602717851,0.5527426160337553,0.5531631535806119,0.44743501353995013,0.7553978198931208,0.49637966822667945,0.5535617411521571,0.5527426160337553,0.008,0.001,0.0,0.0,0.0,0.0,28392.0,26878.0,17839.0,72.57383966244726,36.79324894514776,'Number of leaves: 53\nSize of the tree: 105\n',105.0,53.0,53.0
pacman_info-weka.filters.unsupervised.attribute.Remove-R6-9-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0,1,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,2.02103291759E7,370.0,238.0,124.0,114.0,0.0,52.10084033613445,47.89915966386555,0.0,0.3520871143375681,0.21095007314371214,0.3901267504922738,70.50787205673032,100.3245622939876,497.006932579775,60326.10975363285,-59829.10282105308,2.0882644226040967,253.47104938501198,-251.3827849624079,191.83943321226852,0.8060480387070106,38.59894513271728,1.0,4.0,0.004273504273504274,1.0,0.9957264957264957,233.0,0.0,0.0,0.8,1.0,0.888888888888889,0.8925139755663194,0.9978632478632479,0.8,0.5210084033613446,0.16953295691639897,0.830467043083601,0.4789915966386555,0.5031166903283397,0.5210084033613446,0.5012191457456597,0.3471459799965574,0.7203525283871115,0.4468545178949081,0.5494862877774936,0.5210084033613446,0.011,0.0,0.0,0.0,0.0,0.0,33288.0,30032.0,19868.0,76.47058823529412,40.336134453781625,'Number of leaves: 63\nSize of the tree: 125\n',125.0,63.0,63.0
pacman_info-weka.filters.unsupervised.attribute.Remove-R6-9-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Remove-R3,1,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,2.02103291759E7,370.0,238.0,132.0,106.0,0.0,55.46218487394958,44.53781512605042,0.0,0.39446017954010854,0.1962325194555703,0.3767715440265134,65.5886825207086,96.89015221743536,497.006932579775,57082.872641552734,-56585.86570897296,2.0882644226040967,239.84400269559973,-237.75573827299564,210.71906421356644,0.8853742193847329,42.3976106570191,1.0,4.0,0.004273504273504274,1.0,0.9957264957264957,233.0,0.0,0.0,0.8,1.0,0.888888888888889,0.8925139755663194,0.9978632478632479,0.8,0.5546218487394958,0.16280309178065705,0.8371969082193429,0.44537815126050423,0.5885153718434202,0.5546218487394958,0.5203081201096613,0.40370746696343374,0.7521484766603302,0.5009230912335175,0.5619664742106378,0.5546218487394958,0.007,0.001,0.015625,0.0,15.625,0.0,31344.0,27064.0,17956.0,77.73109243697479,37.39495798319338,'Number of leaves: 59\nSize of the tree: 117\n',117.0,59.0,59.0
pacman_info-weka.filters.unsupervised.attribute.Remove-R6-9-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Remove-R4,1,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,2.02103291759E7,370.0,238.0,105.0,133.0,0.0,44.11764705882353,55.88235294117647,0.0,0.24279973208305425,0.24785287855492072,0.42473010996856747,82.84225167410695,109.22312382297822,497.006932579775,88226.3956437,-87729.38871112022,2.0882644226040967,370.699141360084,-368.61087693747993,134.15851903687218,0.5636912564574461,26.993289276772465,1.0,4.0,0.0,0.0,1.0,234.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4411764705882353,0.19718055742941346,0.8028194425705866,0.5588235294117647,0.4232429381357725,0.4411764705882353,0.41941233971594505,0.2411164876921023,0.6172463303112784,0.3622568537229232,0.5032649071358749,0.4411764705882353,0.006,0.0,0.015625,0.0,15.625,0.0,26024.0,27068.0,17960.0,65.54621848739495,40.50420168067241,'Number of leaves: 48\nSize of the tree: 95\n',95.0,48.0,48.0
pacman_info-weka.filters.unsupervised.attribute.Remove-R6-9-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Remove-R1-2,1,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,2.02103291759E7,370.0,238.0,66.0,172.0,0.0,27.73109243697479,72.26890756302521,0.0,0.039624633431085056,0.28946453435175196,0.46220407055702306,96.75051564988141,118.85988594891553,497.006932579775,87240.58832089591,-86743.58138831613,2.0882644226040967,366.55709378527695,-364.4688293626728,71.1310736159132,0.2988700572097193,14.311887612250938,1.0,4.0,0.0,0.0,1.0,234.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2773109243697479,0.24208191274039045,0.7579180872596096,0.7226890756302521,0.29294902209790086,0.2773109243697479,0.2609337019593344,0.03996196900737205,0.5347845960958633,0.29187565342330885,0.39362739965053495,0.2773109243697479,0.005,0.001,0.0,0.0,0.0,0.0,22590.0,24062.0,16010.0,64.70588235294117,46.80672268907563,'Number of leaves: 41\nSize of the tree: 81\n',81.0,41.0,41.0
pacman_info-weka.filters.unsupervised.attribute.Remove-R6-9-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Remove-R5,1,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,2.02103291759E7,370.0,238.0,134.0,104.0,0.0,56.30252100840336,43.69747899159664,0.0,0.41208047314790625,0.21745121060813402,0.3738504374653137,72.68080976532451,96.13896369525209,497.006932579775,49615.99323479478,-49118.98630221501,2.0882644226040967,208.47055981006213,-206.38229538745802,182.42876979631788,0.7665074361189826,36.70547789935225,1.0,4.0,0.01282051282051282,3.0,0.9871794871794872,231.0,0.0,0.0,0.5714285714285714,1.0,0.7272727272727273,0.7510676161988107,0.9951923076923077,0.6785714285714286,0.5630252100840336,0.14816680527393505,0.851833194726065,0.4369747899159664,0.548453227444824,0.5630252100840336,0.5405293394622431,0.41021369722562806,0.7241166075821188,0.4616713033873951,0.5504576038657143,0.5630252100840336,0.008,0.001,0.0,0.0,0.0,0.0,26511.0,27071.0,17963.0,80.67226890756302,49.159663865546285,'Number of leaves: 49\nSize of the tree: 97\n',97.0,49.0,49.0
pacman_info-weka.filters.unsupervised.attribute.Remove-R6-9,1,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,2.02103291759E7,370.0,238.0,124.0,114.0,0.0,52.10084033613445,47.89915966386555,0.0,0.3520871143375681,0.21095007314371214,0.3901267504922738,70.50787205673032,100.3245622939876,497.006932579775,60326.10975363285,-59829.10282105308,2.0882644226040967,253.47104938501198,-251.3827849624079,191.83943321226852,0.8060480387070106,38.59894513271728,1.0,4.0,0.004273504273504274,1.0,0.9957264957264957,233.0,0.0,0.0,0.8,1.0,0.888888888888889,0.8925139755663194,0.9978632478632479,0.8,0.5210084033613446,0.16953295691639897,0.830467043083601,0.4789915966386555,0.5031166903283397,0.5210084033613446,0.5012191457456597,0.3471459799965574,0.7203525283871115,0.4468545178949081,0.5494862877774936,0.5210084033613446,0.014,0.001,0.015625,0.0,15.625,0.0,33176.0,29920.0,19756.0,76.47058823529412,40.336134453781625,'Number of leaves: 63\nSize of the tree: 125\n',125.0,63.0,63.0
pacman_info-weka.filters.unsupervised.attribute.Remove-R6-9-weka.filters.unsupervised.attribute.Remove-R3,1,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,2.02103291759E7,370.0,238.0,132.0,106.0,0.0,55.46218487394958,44.53781512605042,0.0,0.39446017954010854,0.1962325194555703,0.3767715440265134,65.5886825207086,96.89015221743536,497.006932579775,57082.872641552734,-56585.86570897296,2.0882644226040967,239.84400269559973,-237.75573827299564,210.71906421356644,0.8853742193847329,42.3976106570191,1.0,4.0,0.004273504273504274,1.0,0.9957264957264957,233.0,0.0,0.0,0.8,1.0,0.888888888888889,0.8925139755663194,0.9978632478632479,0.8,0.5546218487394958,0.16280309178065705,0.8371969082193429,0.44537815126050423,0.5885153718434202,0.5546218487394958,0.5203081201096613,0.40370746696343374,0.7521484766603302,0.5009230912335175,0.5619664742106378,0.5546218487394958,0.009,0.001,0.0,0.0,0.0,0.0,31232.0,26952.0,17844.0,77.73109243697479,37.39495798319338,'Number of leaves: 59\nSize of the tree: 117\n',117.0,59.0,59.0
