@relation pacman_info-weka.filters.unsupervised.attribute.Remove-R6-9-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Remove-R3

@attribute pacmanX numeric
@attribute pacmanY numeric
@attribute minGhost numeric
@attribute score numeric
@attribute class {Stop,North,South,East,West}

@data
0,0.2,0.4,0.031405,Stop
0,0.133333,0.266667,0.029752,South
0,0.066667,0.266667,0.028099,South
0,0,0.266667,0.026446,South
0,0.066667,0.2,0.024793,North
0.0625,0.066667,0.133333,0.02314,East
0.125,0.066667,0.133333,0.021488,East
0.125,0,0.133333,0.019835,South
0.125,0.066667,0,0.018182,North
0.1875,0.066667,0.066667,0.347107,East
0.1875,0,0.066667,0.345455,South
0.25,0,0.4,0.67438,East
0.25,0.066667,0.4,0.672727,North
0.25,0,0.266667,0.671074,South
0.3125,0,0.266667,0.669421,East
0.375,0,0.266667,0.667769,East
0.4375,0,0.2,0.666116,East
0.5,0,0.2,0.664463,East
0.5625,0,0.133333,0.66281,East
0.625,0,0.133333,0.661157,East
0.6875,0,0.066667,0.659504,East
0.75,0,0.066667,0.657851,East
0.8125,0,0.066667,0.656198,East
0.8125,0.066667,0,0.654545,North
0.875,0.066667,0.133333,0.983471,East
0.8125,0.066667,0.066667,0.981818,West
0.75,0.066667,0.066667,0.980165,West
0.6875,0.066667,0.066667,0.978512,West
0.625,0.066667,0.066667,0.97686,West
0.5625,0.066667,0.066667,0.975207,West
0.5625,0,0.066667,0.973554,South
0.5,0,0.066667,0.971901,West
0.4375,0,0,0.970248,West
0,0.2,0.4,0.031405,Stop
0,0.133333,0.333333,0.029752,South
0,0.066667,0.333333,0.028099,South
0.0625,0.066667,0.333333,0.026446,East
0.0625,0,0.333333,0.024793,South
0.0625,0.066667,0.2,0.02314,North
0.125,0.066667,0.133333,0.021488,East
0.1875,0.066667,0.133333,0.019835,East
0.1875,0,0,0.018182,South
0.25,0,0.333333,0.347107,East
0.25,0.066667,0.333333,0.345455,North
0.3125,0.066667,0.333333,0.343802,East
0.375,0.066667,0.2,0.342149,East
0.375,0.133333,0.133333,0.340496,North
0.375,0.2,0,0.338843,North
0.4375,0.2,0.333333,0.667769,East
