@relation pacman_info-weka.filters.unsupervised.attribute.Remove-R6-9

@attribute pacmanX numeric
@attribute pacmanY numeric
@attribute livingGhosts numeric
@attribute minGhost numeric
@attribute score numeric
@attribute class {Stop,North,South,East,West}

@data
1,18,4,13,0,Stop
1,18,4,13,-1,Stop
1,18,4,14,-2,Stop
1,18,4,15,-3,Stop
1,18,4,14,-4,Stop
1,18,4,15,-5,Stop
1,17,4,13,-6,South
1,16,4,12,-7,South
1,15,4,10,-8,South
1,14,4,10,-9,South
1,13,4,8,-10,South
1,12,4,8,-11,South
1,11,4,6,-12,South
1,10,4,5,-13,South
1,9,4,4,-14,South
1,8,4,4,-15,South
1,7,4,3,-16,South
1,6,4,2,-17,South
1,5,4,2,-18,South
2,5,4,2,-19,East
3,5,3,2,180,East
4,5,3,2,179,East
5,5,3,2,178,East
5,5,3,3,177,East
5,6,3,1,176,North
4,6,2,5,375,West
4,5,2,3,374,South
4,4,2,2,373,South
4,3,2,1,372,South
3,3,1,3,571,West
2,3,1,3,570,West
3,3,1,1,569,East
1,18,4,13,0,Stop
1,18,4,13,-1,Stop
1,17,4,12,-2,South
1,16,4,11,-3,South
1,15,4,10,-4,South
1,14,4,9,-5,South
1,13,4,8,-6,South
1,12,4,7,-7,South
1,11,4,6,-8,South
1,10,4,5,-9,South
1,9,4,4,-10,South
1,8,4,5,-11,South
1,7,4,4,-12,South
1,6,4,3,-13,South
1,5,4,2,-14,South
1,4,4,1,-15,South
2,4,4,1,-16,East
2,3,3,1,183,South
1,3,2,8,382,West
1,4,2,7,381,North
2,4,2,6,380,East
3,4,2,5,379,East
4,4,2,4,378,East
5,4,2,3,377,East
5,5,2,2,376,North
5,6,2,1,375,North
6,6,1,4,574,East
6,7,1,3,573,North
6,8,1,2,572,North
6,9,1,1,571,North
1,18,4,13,0,Stop
1,18,4,13,-1,Stop
1,18,4,13,-2,Stop
1,17,4,12,-3,South
1,16,4,11,-4,South
1,15,4,10,-5,South
1,14,4,9,-6,South
1,13,4,8,-7,South
1,12,4,7,-8,South
1,11,4,6,-9,South
1,10,4,5,-10,South
1,9,4,4,-11,South
1,8,4,5,-12,South
1,7,4,6,-13,South
1,6,4,7,-14,South
2,6,4,6,-15,East
3,6,4,5,-16,East
3,7,4,4,-17,North
3,8,4,3,-18,North
3,9,4,2,-19,North
4,9,4,1,-20,East
5,9,3,12,179,East
6,9,3,11,178,East
6,8,3,10,177,South
6,7,3,9,176,South
6,6,3,8,175,South
7,6,3,7,174,East
8,6,3,6,173,East
9,6,3,5,172,East
10,6,3,4,171,East
10,5,3,3,170,South
10,4,3,2,169,South
10,3,3,1,168,South
10,4,3,2,167,North
11,4,3,1,166,East
11,3,2,9,365,South
11,4,2,8,364,North
11,5,2,7,363,North
11,6,2,6,362,North
11,7,2,7,361,North
11,8,2,8,360,North
11,9,2,9,359,North
11,10,2,10,358,North
11,11,2,11,357,North
11,12,2,12,356,North
12,12,2,11,355,East
13,12,2,10,354,East
13,11,2,9,353,South
13,10,2,8,352,South
13,9,2,7,351,South
13,8,2,6,350,South
13,7,2,5,349,South
13,6,2,4,348,South
14,6,2,3,347,East
15,6,2,2,346,East
16,6,2,1,345,East
17,6,1,9,544,East
18,6,1,8,543,East
19,6,1,7,542,East
20,6,1,6,541,East
21,6,1,5,540,East
22,6,1,4,539,East
23,6,1,3,538,East
24,6,1,2,537,East
25,6,1,1,536,East
1,18,4,13,0,Stop
1,18,4,14,-1,Stop
1,17,4,13,-2,South
1,16,4,13,-3,South
1,15,4,12,-4,South
1,14,4,12,-5,South
1,13,4,12,-6,South
1,12,4,12,-7,South
1,11,4,10,-8,South
1,10,4,10,-9,South
1,9,4,8,-10,South
1,8,4,8,-11,South
1,7,4,6,-12,South
1,6,4,6,-13,South
2,6,4,4,-14,East
3,6,4,4,-15,East
4,6,4,2,-16,East
5,6,4,4,-17,East
5,7,4,2,-18,North
4,7,4,2,-19,West
4,8,3,7,180,North
3,8,3,8,179,West
3,7,3,8,178,South
4,7,3,6,177,East
5,7,3,5,176,East
5,6,3,4,175,South
6,6,3,4,174,East
7,6,3,2,173,East
8,6,3,2,172,East
9,6,3,2,171,East
9,7,3,2,170,North
9,8,3,4,169,North
9,7,3,4,168,South
9,6,3,2,167,South
9,5,3,3,166,South
9,6,3,3,165,North
10,6,3,3,164,East
11,6,3,3,163,East
11,7,3,3,162,North
10,7,3,3,161,West
10,8,3,1,160,North
10,9,3,1,159,North
9,9,3,2,158,West
9,8,3,2,157,South
10,8,3,2,156,East
10,7,3,1,155,South
