@relation 'pacman_info-weka.filters.unsupervised.attribute.Remove-R6-8-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,7,6-weka.filters.unsupervised.attribute.Remove-R4'

@attribute pacmanX numeric
@attribute pacmanY numeric
@attribute livingGhosts numeric
@attribute score numeric
@attribute class {Stop,North,South,East,West}
@attribute score2 numeric

@data
1,6,4,0,Stop,-1
1,5,4,-1,South,-2
1,4,4,-2,South,-3
1,3,4,-3,South,-4
1,4,4,-4,North,-5
2,4,4,-5,East,-6
3,4,4,-6,East,-7
3,3,4,-7,South,-8
3,4,4,-8,North,191
4,4,3,191,East,190
4,3,3,190,South,189
5,3,2,389,East,388
5,4,2,388,North,387
5,3,2,387,South,386
6,3,2,386,East,385
7,3,2,385,East,384
8,3,2,384,East,383
9,3,2,383,East,382
10,3,2,382,East,381
11,3,2,381,East,380
12,3,2,380,East,379
13,3,2,379,East,378
14,3,2,378,East,377
14,4,2,377,North,576
15,4,1,576,East,575
14,4,1,575,West,574
13,4,1,574,West,573
12,4,1,573,West,572
11,4,1,572,West,571
10,4,1,571,West,570
10,3,1,570,South,569
9,3,1,569,West,568
8,3,1,568,West,767
1,6,4,0,Stop,-1
1,5,4,-1,South,-2
1,4,4,-2,South,-3
2,4,4,-3,East,-4
2,3,4,-4,South,-5
2,4,4,-5,North,-6
3,4,4,-6,East,-7
4,4,4,-7,East,-8
4,3,4,-8,South,191
5,3,3,191,East,190
5,4,3,190,North,189
6,4,3,189,East,188
7,4,3,188,East,187
7,5,3,187,North,186
7,6,3,186,North,385
8,6,2,385,East,384
9,6,2,384,East,383
10,6,2,383,East,382
11,6,2,382,East,381
12,6,2,381,East,380
13,6,2,380,East,379
14,6,2,379,East,378
14,5,2,378,South,377
14,4,2,377,South,376
15,4,2,376,East,375
15,3,2,375,South,374
14,3,2,374,West,373
14,4,2,373,North,572
14,5,1,572,North,571
14,4,1,571,South,570
14,3,1,570,South,569
13,3,1,569,West,768
12,10,4,0,Stop,-1
12,11,4,-1,North,-2
12,12,4,-2,North,-3
13,12,4,-3,East,-4
13,11,4,-4,South,-5
13,10,4,-5,South,-6
13,9,4,-6,South,-7
14,9,4,-7,East,-8
14,8,4,-8,South,-9
13,8,4,-9,West,-10
13,9,4,-10,North,-11
12,9,4,-11,West,188
12,10,3,188,North,187
11,10,3,187,West,186
10,10,3,186,West,185
10,9,3,185,South,184
9,9,2,384,West,383
9,8,2,383,South,382
9,7,2,382,South,381
9,6,2,381,South,380
9,5,2,380,South,379
9,4,2,379,South,378
10,4,2,378,East,377
10,3,2,377,South,376
10,4,2,376,North,375
10,3,2,375,South,374
11,3,2,374,East,373
12,3,2,373,East,572
13,3,1,572,East,571
13,4,1,571,North,570
13,5,1,570,North,569
13,6,1,569,North,568
13,7,1,568,North,567
12,7,1,567,West,566
11,7,1,566,West,565
10,7,1,565,West,564
10,6,1,564,South,563
9,6,1,563,West,562
8,6,1,562,West,561
8,5,1,561,South,560
8,4,1,560,South,559
7,4,1,559,West,558
6,4,1,558,West,557
5,4,1,557,West,556
5,3,1,556,South,555
4,3,1,555,West,754
12,10,4,0,Stop,-1
12,11,4,-1,North,-2
12,12,4,-2,North,197
13,12,3,197,East,196
13,11,3,196,South,195
13,10,3,195,South,194
13,9,3,194,South,193
13,8,3,193,South,192
13,7,3,192,South,391
13,6,2,391,South,390
12,6,2,390,West,389
11,6,2,389,West,388
10,6,2,388,West,387
9,6,2,387,West,386
8,6,2,386,West,385
7,6,2,385,West,384
6,6,2,384,West,583
5,6,1,583,West,582
5,7,1,582,North,581
5,8,1,581,North,580
5,9,1,580,North,579
6,9,1,579,East,578
6,10,1,578,North,577
6,11,1,577,North,576
6,12,1,576,North,775
1,11,4,0,Stop,-1
1,10,4,-1,South,-2
1,9,4,-2,South,-3
2,9,4,-3,East,-4
2,8,4,-4,South,-5
3,8,4,-5,East,-6
3,7,4,-6,South,-7
4,7,4,-7,East,-8
4,8,4,-8,North,191
5,8,3,191,East,190
5,9,3,190,North,189
5,10,3,189,North,188
