@relation 'pacman_info-weka.filters.unsupervised.attribute.Remove-R6-8-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,7,6-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Remove-R1-2'

@attribute livingGhosts numeric
@attribute minGhost numeric
@attribute score numeric
@attribute class {Stop,North,South,East,West}
@attribute score2 numeric

@data
1,0.3,0.018519,Stop,-1
1,0.2,0.016835,South,-2
1,0.2,0.015152,East,-3
1,0.15,0.013468,North,-4
1,0.15,0.011785,East,-5
1,0.05,0.010101,South,-6
1,0.05,0.008418,East,-7
1,0.05,0.006734,South,-8
1,0.05,0.005051,South,-9
0.666667,0.1,0.340067,North,190
0.666667,0.1,0.338384,South,189
0.666667,0.1,0.3367,East,188
0.666667,0.1,0.335017,North,187
0.666667,0.1,0.333333,South,186
0.666667,0.1,0.33165,East,185
0.666667,0.1,0.329966,North,184
0.666667,0.1,0.328283,East,183
0.666667,0.05,0.326599,South,182
0.333333,0.15,0.661616,East,381
0.333333,0.15,0.659933,East,380
0.333333,0.05,0.658249,East,379
0,0.35,0.993266,East,578
0,0.25,0.991582,North,577
0,0.25,0.989899,East,576
0,0.15,0.988215,North,575
0,0.2,0.986532,North,574
0,0.2,0.984848,South,573
0,0.15,0.983165,South,572
0,0.15,0.981481,North,571
0,0.1,0.979798,East,570
0,0.1,0.978114,East,569
0,0.1,0.976431,East,568
0,0.1,0.974747,East,567
0,0.1,0.973064,East,566
0,0.05,0.97138,East,565
0,0.05,0.969697,South,564
0,0.05,0.968013,South,563
0,0.05,0.96633,South,562
0,0.05,0.964646,West,561
0,0,0.962963,North,760
1,0.3,0.018519,Stop,-1
1,0.25,0.016835,South,-2
1,0.2,0.015152,South,-3
1,0.15,0.013468,East,-4
1,0.1,0.011785,East,-5
1,0.05,0.010101,East,-6
1,0,0.008418,East,193
0.666667,0.15,0.343434,East,192
0.666667,0.1,0.341751,North,191
0.666667,0.05,0.340067,North,190
0.666667,0,0.338384,East,389
0.333333,0.25,0.673401,East,388
0.333333,0.2,0.671717,East,387
0.333333,0.15,0.670034,East,386
0.333333,0.1,0.66835,South,385
0.333333,0.05,0.666667,South,384
0.333333,0,0.664983,South,583
0,0.35,1,East,582
0,0.3,0.998316,North,581
0,0.25,0.996633,East,580
0,0.2,0.994949,North,579
0,0.15,0.993266,North,578
0,0.1,0.991582,East,577
0,0.05,0.989899,East,576
0,0,0.988215,East,775
1,0.3,0.018519,Stop,-1
1,0.3,0.016835,South,-2
1,0.3,0.015152,South,-3
1,0.3,0.013468,South,-4
1,0.2,0.011785,East,-5
1,0.15,0.010101,East,-6
1,0.15,0.008418,East,-7
1,0.1,0.006734,South,-8
1,0.1,0.005051,East,-9
1,0.1,0.003367,East,-10
1,0.1,0.001684,North,-11
1,0,0,North,188
0.666667,0.15,0.335017,East,187
0.666667,0.05,0.333333,East,186
0.666667,0.15,0.33165,East,185
0.666667,0.1,0.329966,West,184
0.666667,0.1,0.328283,West,183
0.666667,0.1,0.326599,East,182
0.666667,0.1,0.324916,West,181
0.666667,0.1,0.323232,West,180
0.666667,0.1,0.321549,North,179
0.666667,0.1,0.319865,North,178
0.666667,0.1,0.318182,East,177
0.666667,0,0.316498,East,376
0.333333,0.5,0.651515,East,375
0.333333,0.5,0.649832,East,374
0.333333,0.45,0.648148,South,373
0.333333,0.45,0.646465,South,372
0.333333,0.35,0.644781,South,371
0.333333,0.35,0.643098,South,370
0.333333,0.3,0.641414,South,369
0.333333,0.4,0.639731,North,368
0.333333,0.4,0.638047,South,367
0.333333,0.35,0.636364,South,366
0.333333,0.25,0.63468,North,365
0.333333,0.3,0.632997,North,364
0.333333,0.25,0.631313,North,363
0.333333,0.2,0.62963,North,362
0.333333,0.25,0.627946,North,361
0.333333,0.3,0.626263,North,360
0.333333,0.3,0.624579,North,359
0.333333,0.25,0.622896,East,358
0.333333,0.15,0.621212,East,357
0.333333,0.1,0.619529,East,356
0.333333,0.1,0.617845,East,355
0.333333,0.1,0.616162,East,354
0.333333,0,0.614478,East,553
0,0.7,0.949495,South,552
0,0.6,0.947811,South,551
0,0.5,0.946128,West,550
0,0.45,0.944444,West,549
0,0.4,0.942761,South,548
0,0.4,0.941077,South,547
0,0.35,0.939394,South,546
0,0.35,0.93771,West,545
0,0.4,0.936027,West,544
0,0.35,0.934343,South,543
0,0.4,0.93266,South,542
0,0.4,0.930976,North,541
0,0.4,0.929293,South,540
0,0.35,0.927609,North,539
0,0.35,0.925926,North,538
0,0.3,0.924242,North,537
0,0.35,0.922559,North,536
0,0.3,0.920875,South,535
0,0.35,0.919192,South,534
0,0.4,0.917508,South,533
0,0.4,0.915825,South,532
0,0.35,0.914141,South,531
0,0.4,0.912458,South,530
0,0.4,0.910774,South,529
