@relation 'pacman_info-weka.filters.unsupervised.attribute.Remove-R6-8-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,7,6-weka.filters.unsupervised.attribute.Remove-R1-2'

@attribute livingGhosts numeric
@attribute minGhost numeric
@attribute score numeric
@attribute class {Stop,North,South,East,West}
@attribute score2 numeric

@data
4,7,0,Stop,-1
4,5,-1,South,-2
4,5,-2,East,-3
4,4,-3,North,-4
4,4,-4,East,-5
4,2,-5,South,-6
4,2,-6,East,-7
4,2,-7,South,-8
4,2,-8,South,-9
3,3,191,North,190
3,3,190,South,189
3,3,189,East,188
3,3,188,North,187
3,3,187,South,186
3,3,186,East,185
3,3,185,North,184
3,3,184,East,183
3,2,183,South,182
2,4,382,East,381
2,4,381,East,380
2,2,380,East,379
1,8,579,East,578
1,6,578,North,577
1,6,577,East,576
1,4,576,North,575
1,5,575,North,574
1,5,574,South,573
1,4,573,South,572
1,4,572,North,571
1,3,571,East,570
1,3,570,East,569
1,3,569,East,568
1,3,568,East,567
1,3,567,East,566
1,2,566,East,565
1,2,565,South,564
1,2,564,South,563
1,2,563,South,562
1,2,562,West,561
1,1,561,North,760
4,7,0,Stop,-1
4,6,-1,South,-2
4,5,-2,South,-3
4,4,-3,East,-4
4,3,-4,East,-5
4,2,-5,East,-6
4,1,-6,East,193
3,4,193,East,192
3,3,192,North,191
3,2,191,North,190
3,1,190,East,389
2,6,389,East,388
2,5,388,East,387
2,4,387,East,386
2,3,386,South,385
2,2,385,South,384
2,1,384,South,583
1,8,583,East,582
1,7,582,North,581
1,6,581,East,580
1,5,580,North,579
1,4,579,North,578
1,3,578,East,577
1,2,577,East,576
1,1,576,East,775
4,7,0,Stop,-1
4,7,-1,South,-2
4,7,-2,South,-3
4,7,-3,South,-4
4,5,-4,East,-5
4,4,-5,East,-6
4,4,-6,East,-7
4,3,-7,South,-8
4,3,-8,East,-9
4,3,-9,East,-10
4,3,-10,North,-11
4,1,-11,North,188
3,4,188,East,187
3,2,187,East,186
3,4,186,East,185
3,3,185,West,184
3,3,184,West,183
3,3,183,East,182
3,3,182,West,181
3,3,181,West,180
3,3,180,North,179
3,3,179,North,178
3,3,178,East,177
3,1,177,East,376
2,11,376,East,375
2,11,375,East,374
2,10,374,South,373
2,10,373,South,372
2,8,372,South,371
2,8,371,South,370
2,7,370,South,369
2,9,369,North,368
2,9,368,South,367
2,8,367,South,366
2,6,366,North,365
2,7,365,North,364
2,6,364,North,363
2,5,363,North,362
2,6,362,North,361
2,7,361,North,360
2,7,360,North,359
2,6,359,East,358
2,4,358,East,357
2,3,357,East,356
2,3,356,East,355
2,3,355,East,354
2,1,354,East,553
1,15,553,South,552
1,13,552,South,551
1,11,551,West,550
1,10,550,West,549
1,9,549,South,548
1,9,548,South,547
1,8,547,South,546
1,8,546,West,545
1,9,545,West,544
1,8,544,South,543
1,9,543,South,542
1,9,542,North,541
1,9,541,South,540
1,8,540,North,539
1,8,539,North,538
1,7,538,North,537
1,8,537,North,536
1,7,536,South,535
1,8,535,South,534
1,9,534,South,533
1,9,533,South,532
1,8,532,South,531
1,9,531,South,530
1,9,530,South,529
1,8,529,South,528
1,9,528,South,527
1,7,527,North,526
1,6,526,North,525
1,7,525,North,524
1,8,524,North,523
1,9,523,North,522
1,9,522,South,521
1,10,521,South,520
1,11,520,South,519
1,11,519,South,518
1,12,518,South,517
1,11,517,North,516
1,12,516,North,515
1,10,515,South,514
1,11,514,South,513
1,12,513,South,512
1,13,512,South,511
1,13,511,North,510
1,13,510,North,509
1,11,509,West,508
1,9,508,West,507
1,9,507,West,506
1,8,506,West,505
1,8,505,West,504
1,7,504,North,503
1,8,503,North,502
1,6,502,North,501
1,6,501,West,500
1,5,500,West,499
1,5,499,West,498
1,5,498,West,497
1,3,497,West,496
1,1,496,West,695
4,3,0,Stop,-1
4,1,-1,North,-2
4,1,-2,North,-3
4,1,-3,South,-4
4,2,-4,North,-5
3,8,195,South,194
3,7,194,North,193
3,6,193,North,192
3,6,192,West,191
3,5,191,South,190
3,3,190,West,189
3,3,189,West,188
3,3,188,South,187
3,2,187,North,186
3,2,186,West,185
3,1,185,West,384
2,8,384,West,383
2,8,383,South,382
2,7,382,South,381
2,6,381,South,380
2,6,380,East,379
2,6,379,East,378
2,5,378,South,377
2,4,377,East,376
2,4,376,East,375
2,4,375,East,374
2,4,374,North,373
2,4,373,East,372
2,4,372,South,371
2,3,371,East,370
2,3,370,East,369
2,3,369,North,368
2,3,368,East,367
2,3,367,South,366
2,1,366,East,565
1,21,565,East,564
1,20,564,South,563
1,18,563,South,562
1,16,562,South,561
1,16,561,South,560
1,16,560,West,559
1,14,559,South,558
1,14,558,West,557
1,14,557,North,556
1,14,556,West,555
1,13,555,South,554
1,11,554,West,553
1,11,553,West,552
1,10,552,North,551
1,10,551,West,550
1,8,550,South,549
1,8,549,West,548
1,8,548,West,547
1,8,547,North,546
1,6,546,North,545
1,5,545,West,544
1,5,544,West,543
1,5,543,West,542
1,5,542,North,541
1,5,541,West,540
1,5,540,North,539
1,5,539,North,538
1,5,538,South,537
1,3,537,South,536
1,3,536,West,535
1,3,535,South,534
1,2,534,West,533
1,1,533,West,732
4,7,0,Stop,-1
4,5,-1,South,-2
4,5,-2,East,-3
4,4,-3,North,-4
4,4,-4,East,-5
4,2,-5,South,-6
4,2,-6,East,-7
4,2,-7,South,-8
4,2,-8,South,-9
3,3,191,North,190
3,3,190,South,189
3,3,189,East,188
3,3,188,North,187
3,3,187,South,186
3,3,186,East,185
3,3,185,North,184
3,3,184,East,183
3,2,183,South,182
2,4,382,East,381
2,4,381,East,380
2,2,380,East,379
1,8,579,East,578
1,6,578,North,577
1,6,577,East,576
1,4,576,North,575
1,5,575,North,574
1,5,574,South,573
1,4,573,South,572
1,4,572,North,571
1,3,571,East,570
1,3,570,East,569
1,3,569,East,568
1,3,568,East,567
1,3,567,East,566
1,2,566,East,565
1,2,565,South,564
1,2,564,South,563
1,2,563,South,562
1,2,562,West,561
1,1,561,North,760
4,7,0,Stop,-1
4,6,-1,South,-2
4,5,-2,South,-3
4,4,-3,East,-4
4,3,-4,East,-5
4,2,-5,East,-6
4,1,-6,East,193
3,4,193,East,192
3,3,192,North,191
3,2,191,North,190
3,1,190,East,389
2,6,389,East,388
2,5,388,East,387
2,4,387,East,386
2,3,386,South,385
2,2,385,South,384
2,1,384,South,583
1,8,583,East,582
1,7,582,North,581
1,6,581,East,580
1,5,580,North,579
1,4,579,North,578
1,3,578,East,577
1,2,577,East,576
1,1,576,East,775
4,7,0,Stop,-1
4,7,-1,South,-2
4,7,-2,South,-3
4,7,-3,South,-4
4,5,-4,East,-5
4,4,-5,East,-6
4,4,-6,East,-7
4,3,-7,South,-8
4,3,-8,East,-9
4,3,-9,East,-10
4,3,-10,North,-11
4,1,-11,North,188
3,4,188,East,187
3,2,187,East,186
3,4,186,East,185
3,3,185,West,184
3,3,184,West,183
3,3,183,East,182
3,3,182,West,181
3,3,181,West,180
3,3,180,North,179
3,3,179,North,178
3,3,178,East,177
3,1,177,East,376
2,11,376,East,375
2,11,375,East,374
2,10,374,South,373
2,10,373,South,372
2,8,372,South,371
2,8,371,South,370
2,7,370,South,369
2,9,369,North,368
2,9,368,South,367
2,8,367,South,366
2,6,366,North,365
2,7,365,North,364
2,6,364,North,363
2,5,363,North,362
2,6,362,North,361
2,7,361,North,360
