@relation 'pacman_info-weka.filters.unsupervised.attribute.Remove-R6-8-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,7,6-weka.filters.unsupervised.attribute.Remove-R3'

@attribute pacmanX numeric
@attribute pacmanY numeric
@attribute minGhost numeric
@attribute score numeric
@attribute class {Stop,North,South,East,West}
@attribute score2 numeric

@data
1,18,13,0,Stop,-1
1,18,13,-1,Stop,-2
1,18,14,-2,Stop,-3
1,18,15,-3,Stop,-4
1,18,14,-4,Stop,-5
1,18,15,-5,Stop,-6
1,17,13,-6,South,-7
1,16,12,-7,South,-8
1,15,10,-8,South,-9
1,14,10,-9,South,-10
1,13,8,-10,South,-11
1,12,8,-11,South,-12
1,11,6,-12,South,-13
1,10,5,-13,South,-14
1,9,4,-14,South,-15
1,8,4,-15,South,-16
1,7,3,-16,South,-17
1,6,2,-17,South,-18
1,5,2,-18,South,-19
2,5,2,-19,East,-20
3,5,2,180,East,179
4,5,2,179,East,178
5,5,2,178,East,177
5,5,3,177,East,176
5,6,1,176,North,375
4,6,5,375,West,374
4,5,3,374,South,373
4,4,2,373,South,372
4,3,1,372,South,571
3,3,3,571,West,570
2,3,3,570,West,569
3,3,1,569,East,768
1,18,13,0,Stop,-1
1,18,13,-1,Stop,-2
1,17,12,-2,South,-3
1,16,11,-3,South,-4
1,15,10,-4,South,-5
1,14,9,-5,South,-6
1,13,8,-6,South,-7
1,12,7,-7,South,-8
1,11,6,-8,South,-9
1,10,5,-9,South,-10
1,9,4,-10,South,-11
1,8,5,-11,South,-12
1,7,4,-12,South,-13
1,6,3,-13,South,-14
1,5,2,-14,South,-15
1,4,1,-15,South,-16
2,4,1,-16,East,183
2,3,1,183,South,382
1,3,8,382,West,381
1,4,7,381,North,380
2,4,6,380,East,379
3,4,5,379,East,378
4,4,4,378,East,377
5,4,3,377,East,376
5,5,2,376,North,375
5,6,1,375,North,574
6,6,4,574,East,573
6,7,3,573,North,572
6,8,2,572,North,571
6,9,1,571,North,770
1,18,13,0,Stop,-1
1,18,13,-1,Stop,-2
1,18,13,-2,Stop,-3
1,17,12,-3,South,-4
1,16,11,-4,South,-5
1,15,10,-5,South,-6
1,14,9,-6,South,-7
1,13,8,-7,South,-8
1,12,7,-8,South,-9
1,11,6,-9,South,-10
1,10,5,-10,South,-11
1,9,4,-11,South,-12
1,8,5,-12,South,-13
1,7,6,-13,South,-14
1,6,7,-14,South,-15
2,6,6,-15,East,-16
3,6,5,-16,East,-17
3,7,4,-17,North,-18
3,8,3,-18,North,-19
3,9,2,-19,North,-20
4,9,1,-20,East,179
5,9,12,179,East,178
6,9,11,178,East,177
6,8,10,177,South,176
6,7,9,176,South,175
6,6,8,175,South,174
7,6,7,174,East,173
8,6,6,173,East,172
9,6,5,172,East,171
10,6,4,171,East,170
10,5,3,170,South,169
10,4,2,169,South,168
10,3,1,168,South,167
10,4,2,167,North,166
11,4,1,166,East,365
11,3,9,365,South,364
11,4,8,364,North,363
11,5,7,363,North,362
11,6,6,362,North,361
11,7,7,361,North,360
11,8,8,360,North,359
11,9,9,359,North,358
11,10,10,358,North,357
11,11,11,357,North,356
11,12,12,356,North,355
12,12,11,355,East,354
13,12,10,354,East,353
13,11,9,353,South,352
13,10,8,352,South,351
13,9,7,351,South,350
13,8,6,350,South,349
13,7,5,349,South,348
13,6,4,348,South,347
14,6,3,347,East,346
15,6,2,346,East,345
16,6,1,345,East,544
17,6,9,544,East,543
18,6,8,543,East,542
19,6,7,542,East,541
20,6,6,541,East,540
21,6,5,540,East,539
22,6,4,539,East,538
23,6,3,538,East,537
24,6,2,537,East,536
25,6,1,536,East,735
1,18,13,0,Stop,-1
1,18,14,-1,Stop,-2
1,17,13,-2,South,-3
1,16,13,-3,South,-4
1,15,12,-4,South,-5
1,14,12,-5,South,-6
1,13,12,-6,South,-7
1,12,12,-7,South,-8
1,11,10,-8,South,-9
1,10,10,-9,South,-10
1,9,8,-10,South,-11
1,8,8,-11,South,-12
1,7,6,-12,South,-13
1,6,6,-13,South,-14
2,6,4,-14,East,-15
3,6,4,-15,East,-16
4,6,2,-16,East,-17
5,6,4,-17,East,-18
5,7,2,-18,North,-19
4,7,2,-19,West,-20
4,8,7,180,North,179
3,8,8,179,West,178
3,7,8,178,South,177
4,7,6,177,East,176
5,7,5,176,East,175
5,6,4,175,South,174
6,6,4,174,East,173
7,6,2,173,East,172
8,6,2,172,East,171
9,6,2,171,East,170
9,7,2,170,North,169
9,8,4,169,North,168
9,7,4,168,South,167
9,6,2,167,South,166
9,5,3,166,South,165
9,6,3,165,North,164
10,6,3,164,East,163
11,6,3,163,East,162
11,7,3,162,North,161
10,7,3,161,West,160
10,8,1,160,North,159
10,9,1,159,North,158
9,9,2,158,West,157
9,8,2,157,South,156
10,8,2,156,East,155
10,7,1,155,South,354
10,6,12,354,South,353
10,7,14,353,North,352
10,8,14,352,North,351
10,9,14,351,North,350
10,10,16,350,North,349
10,11,17,349,North,348
10,12,18,348,North,347
11,12,18,347,East,346
12,12,16,346,East,345
13,12,14,345,East,344
13,11,14,344,South,343
13,10,12,343,South,342
13,9,11,342,South,341
13,8,9,341,South,340
13,7,7,340,South,339
13,6,6,339,South,338
13,5,6,338,South,337
14,5,4,337,East,336
14,5,3,336,East,335
14,4,3,335,South,334
15,4,3,334,East,333
16,4,1,333,East,332
16,3,3,332,South,331
17,3,3,331,East,330
17,4,3,330,North,329
18,4,2,329,East,328
19,4,2,328,East,327
20,4,6,527,East,526
21,4,5,526,East,525
22,4,4,525,East,524
23,4,2,524,East,523
23,5,4,523,North,522
24,5,4,522,East,521
25,5,4,521,East,520
25,4,4,520,South,519
25,3,2,519,South,518
26,3,2,518,East,517
27,3,2,517,East,516
28,3,2,516,East,515
28,3,1,515,East,714
12,10,3,0,Stop,-1
12,10,4,-1,Stop,-2
12,10,3,-2,Stop,-3
13,10,1,-3,East,-4
14,10,3,-4,East,-5
14,11,3,-5,North,-6
13,11,3,-6,West,-7
13,12,3,-7,North,-8
13,13,2,-8,North,-9
14,13,1,-9,East,190
14,14,11,190,North,189
14,14,10,189,North,188
14,13,10,188,South,187
14,12,8,187,South,186
14,11,7,186,South,185
14,10,5,185,South,184
14,9,3,184,South,183
13,9,3,183,West,182
13,8,1,182,South,181
13,7,2,181,South,180
12,7,2,180,West,179
12,8,1,179,North,378
13,8,11,378,East,377
12,8,9,377,West,376
11,8,9,376,West,375
10,8,8,375,West,374
9,8,7,374,West,373
8,8,7,373,West,372
8,9,7,372,North,371
8,10,7,371,North,370
8,11,6,370,North,369
8,12,6,369,North,368
7,12,5,368,West,367
6,12,3,367,West,366
5,12,2,366,West,365
4,12,1,365,West,564
3,12,8,564,West,563
4,12,8,563,East,562
5,12,10,562,East,561
6,12,10,561,East,560
7,12,12,560,East,559
7,11,10,559,South,558
7,10,8,558,South,557
7,9,6,557,South,556
7,8,5,556,South,555
7,7,5,555,South,554
7,6,3,554,South,553
6,6,2,553,West,552
5,6,1,552,West,751
12,10,3,0,Stop,-1
12,10,3,-1,Stop,-2
12,10,3,-2,Stop,-3
13,10,2,-3,East,-4
14,10,3,-4,East,-5
14,11,2,-5,North,-6
13,11,1,-6,West,193
13,12,6,193,North,192
13,11,5,192,South,191
13,10,4,191,South,190
13,9,3,190,South,189
13,8,2,189,South,188
13,7,1,188,South,387
13,6,8,387,South,386
12,6,7,386,West,385
11,6,6,385,West,384
10,6,5,384,West,383
9,6,4,383,West,382
8,6,3,382,West,381
7,6,2,381,West,380
6,6,1,380,West,579
5,6,6,579,West,578
5,7,5,578,North,577
6,7,6,577,East,576
6,8,5,576,North,575
6,9,4,575,North,574
6,10,3,574,North,573
6,11,2,573,North,572
6,12,1,572,North,771
1,11,7,0,Stop,-1
1,11,7,-1,Stop,-2
1,11,7,-2,Stop,-3
1,11,7,-3,Stop,-4
2,11,6,-4,East,-5
3,11,5,-5,East,-6
4,11,4,-6,East,-7
5,11,3,-7,East,-8
5,10,2,-8,South,-9
5,9,1,-9,South,190
6,9,4,190,East,189
6,10,3,189,North,188
6,11,2,188,North,187
7,11,1,187,East,386
8,11,8,386,East,385
9,11,9,385,East,384
10,11,9,384,East,383
10,10,8,383,South,382
10,9,7,382,South,381
11,9,6,381,East,380
12,9,5,380,East,379
13,9,4,379,East,378
14,9,3,378,East,377
14,8,2,377,South,376
14,7,1,376,South,575
14,6,9,575,South,574
14,5,8,574,South,573
13,5,7,573,West,572
12,5,6,572,West,571
11,5,5,571,West,570
10,5,4,570,West,569
9,5,3,569,West,568
8,5,2,568,West,567
7,5,1,567,West,766
1,11,7,0,Stop,-1
1,11,8,-1,Stop,-2
1,11,7,-2,Stop,-3
2,11,6,-3,East,-4
3,11,4,-4,East,-5
4,11,2,-5,East,-6
5,11,2,-6,East,-7
6,11,2,-7,East,-8
7,11,1,-8,East,191
8,11,1,191,East,390
9,11,7,390,East,389
10,11,7,389,East,388
10,10,6,388,South,387
10,9,4,387,South,386
10,8,4,386,South,385
10,7,4,385,South,484
10,6,4,384,South,383
10,5,2,383,South,382
11,5,2,382,East,381
10,5,3,381,West,380
9,5,3,380,West,379
9,4,3,379,South,378
9,3,2,378,South,377
9,3,1,377,South,376
9,3,2,376,South,375
9,3,3,375,South,374
9,3,2,374,South,373
10,3,1,373,East,572
11,3,7,572,East,571
11,3,8,571,East,570
11,4,7,570,North,569
11,5,5,569,North,568
12,5,3,568,East,567
13,5,5,567,East,566
14,5,6,566,East,565
14,6,4,565,North,564
14,7,4,564,North,563
14,8,2,563,North,562
1,6,7,0,Stop,-1
1,6,6,-1,Stop,-2
1,6,5,-2,Stop,-3
2,6,4,-3,East,-4
3,6,3,-4,East,-5
4,6,3,-5,East,-6
5,6,2,-6,East,-7
6,6,1,-7,East,192
7,6,4,192,East,191
8,6,4,191,East,190
9,6,2,190,East,189
10,6,4,189,East,188
11,6,4,188,East,187
12,6,5,187,East,186
13,6,4,186,East,185
14,6,4,185,East,184
15,6,2,184,East,183
16,6,4,183,East,182
16,5,2,182,South,181
16,4,2,181,South,180
16,3,2,180,South,179
15,3,2,179,West,178
14,3,1,178,West,177
13,3,1,177,West,376
12,3,3,376,West,375
11,3,3,375,West,374
10,3,4,374,West,373
9,3,6,373,West,372
8,3,7,372,West,371
8,4,7,371,North,370
8,4,7,370,North,369
8,4,6,369,North,368
8,4,7,368,North,367
8,4,7,367,North,366
7,4,6,366,West,365
6,4,6,365,West,364
5,4,4,364,West,363
4,4,2,363,West,362
3,4,1,362,West,561
2,4,13,561,West,560
3,4,11,560,East,559
4,4,11,559,East,558
5,4,10,558,East,557
6,4,9,557,East,556
7,4,7,556,East,555
8,4,7,555,East,554
9,4,7,554,East,553
10,4,6,553,East,552
11,4,4,552,East,551
12,4,4,551,East,550
13,4,3,550,East,549
14,4,3,549,East,548
15,4,2,548,East,547
16,4,1,547,East,546
17,4,2,546,East,545
18,4,2,545,East,544
18,5,4,544,North,543
18,6,6,543,North,542
17,6,4,542,West,541
16,6,2,541,West,540
15,6,2,540,West,539
14,6,3,539,West,538
14,5,1,538,South,737
1,6,7,0,Stop,-1
1,6,7,-1,Stop,-2
1,6,7,-2,Stop,-3
1,6,7,-3,Stop,-4
2,6,6,-4,East,-5
3,6,5,-5,East,-6
4,6,4,-6,East,-7
5,6,3,-7,East,-8
6,6,2,-8,East,-9
7,6,1,-9,East,190
8,6,4,190,East,189
9,6,5,189,East,188
10,6,4,188,East,187
11,6,3,187,East,186
12,6,4,186,East,185
13,6,3,185,East,184
14,6,2,184,East,183
15,6,1,183,East,382
16,6,8,382,East,381
16,5,7,381,South,380
16,4,6,380,South,379
16,3,5,379,South,378
15,3,4,378,West,377
14,3,3,377,West,376
13,3,2,376,West,375
12,3,1,375,West,574
11,3,6,574,West,573
10,3,5,573,West,572
9,3,4,572,West,571
8,3,3,571,West,570
7,3,2,570,West,569
6,3,1,569,West,768
1,6,7,0,Stop,-1
1,6,6,-1,Stop,-2
1,6,6,-2,Stop,-3
1,6,5,-3,Stop,-4
2,6,5,-4,East,-5
3,6,3,-5,East,-6
4,6,3,-6,East,-7
5,6,2,-7,East,-8
6,6,1,-8,East,191
7,6,3,191,East,190
7,5,2,190,South,189
7,4,1,189,South,188
7,3,1,188,South,187
7,3,2,387,South,386
7,3,2,386,South,385
6,3,2,385,West,384
5,3,3,384,West,383
6,3,2,383,East,382
6,4,2,382,North,381
6,4,1,381,North,580
7,4,7,580,East,579
7,3,7,579,South,578
7,3,8,578,South,577
8,3,6,577,East,576
9,3,5,576,East,575
10,3,4,575,East,574
11,3,2,574,East,573
12,3,1,573,East,772
1,11,7,0,Stop,-1
1,11,6,-1,Stop,-2
1,11,6,-2,Stop,-3
2,11,4,-3,East,-4
3,11,4,-4,East,-5
4,11,2,-5,East,-6
5,11,1,-6,East,-7
6,11,2,-7,East,-8
6,10,3,192,South,191
6,9,1,191,South,390
6,8,6,390,South,389
7,8,4,389,East,388
8,8,4,388,East,387
8,7,4,387,South,386
8,6,4,386,South,385
8,5,3,385,South,384
7,5,2,384,West,383
6,5,2,383,West,382
5,5,2,382,West,381
6,5,4,381,East,380
7,5,5,380,East,379
6,5,3,379,West,378
5,5,1,378,West,577
4,5,15,577,West,576
3,5,15,576,West,575
4,5,15,575,East,574
5,5,15,574,East,573
