@relation 'pacman_info-weka.filters.unsupervised.attribute.Remove-R3,6-8'

@attribute pacmanX numeric
@attribute pacmanY numeric
@attribute minGhost numeric
@attribute score numeric
@attribute score2 numeric
@attribute class {Stop,North,South,East,West}

@data
1,18,13,0,-1,Stop
1,18,13,-1,-2,Stop
1,18,14,-2,-3,Stop
1,18,15,-3,-4,Stop
1,18,14,-4,-5,Stop
1,18,15,-5,-6,Stop
1,17,13,-6,-7,South
1,16,12,-7,-8,South
1,15,10,-8,-9,South
1,14,10,-9,-10,South
1,13,8,-10,-11,South
1,12,8,-11,-12,South
1,11,6,-12,-13,South
1,10,5,-13,-14,South
1,9,4,-14,-15,South
1,8,4,-15,-16,South
1,7,3,-16,-17,South
1,6,2,-17,-18,South
1,5,2,-18,-19,South
2,5,2,-19,-20,East
3,5,2,180,179,East
4,5,2,179,178,East
5,5,2,178,177,East
5,5,3,177,176,East
5,6,1,176,375,North
4,6,5,375,374,West
4,5,3,374,373,South
4,4,2,373,372,South
4,3,1,372,571,South
3,3,3,571,570,West
2,3,3,570,569,West
3,3,1,569,768,East
1,18,13,0,-1,Stop
1,18,13,-1,-2,Stop
1,17,12,-2,-3,South
1,16,11,-3,-4,South
1,15,10,-4,-5,South
1,14,9,-5,-6,South
1,13,8,-6,-7,South
1,12,7,-7,-8,South
1,11,6,-8,-9,South
1,10,5,-9,-10,South
1,9,4,-10,-11,South
1,8,5,-11,-12,South
1,7,4,-12,-13,South
1,6,3,-13,-14,South
1,5,2,-14,-15,South
1,4,1,-15,-16,South
2,4,1,-16,183,East
2,3,1,183,382,South
1,3,8,382,381,West
1,4,7,381,380,North
2,4,6,380,379,East
3,4,5,379,378,East
4,4,4,378,377,East
5,4,3,377,376,East
5,5,2,376,375,North
5,6,1,375,574,North
6,6,4,574,573,East
6,7,3,573,572,North
6,8,2,572,571,North
6,9,1,571,770,North
1,18,13,0,-1,Stop
1,18,13,-1,-2,Stop
1,18,13,-2,-3,Stop
1,17,12,-3,-4,South
1,16,11,-4,-5,South
1,15,10,-5,-6,South
1,14,9,-6,-7,South
1,13,8,-7,-8,South
1,12,7,-8,-9,South
1,11,6,-9,-10,South
1,10,5,-10,-11,South
1,9,4,-11,-12,South
1,8,5,-12,-13,South
1,7,6,-13,-14,South
1,6,7,-14,-15,South
2,6,6,-15,-16,East
3,6,5,-16,-17,East
3,7,4,-17,-18,North
3,8,3,-18,-19,North
3,9,2,-19,-20,North
4,9,1,-20,179,East
5,9,12,179,178,East
6,9,11,178,177,East
6,8,10,177,176,South
6,7,9,176,175,South
6,6,8,175,174,South
7,6,7,174,173,East
8,6,6,173,172,East
9,6,5,172,171,East
10,6,4,171,170,East
10,5,3,170,169,South
10,4,2,169,168,South
10,3,1,168,167,South
10,4,2,167,166,North
11,4,1,166,365,East
11,3,9,365,364,South
11,4,8,364,363,North
11,5,7,363,362,North
11,6,6,362,361,North
11,7,7,361,360,North
11,8,8,360,359,North
11,9,9,359,358,North
11,10,10,358,357,North
11,11,11,357,356,North
11,12,12,356,355,North
12,12,11,355,354,East
13,12,10,354,353,East
13,11,9,353,352,South
13,10,8,352,351,South
13,9,7,351,350,South
13,8,6,350,349,South
13,7,5,349,348,South
13,6,4,348,347,South
14,6,3,347,346,East
15,6,2,346,345,East
16,6,1,345,544,East
17,6,9,544,543,East
18,6,8,543,542,East
19,6,7,542,541,East
20,6,6,541,540,East
21,6,5,540,539,East
22,6,4,539,538,East
23,6,3,538,537,East
24,6,2,537,536,East
25,6,1,536,735,East
1,18,13,0,-1,Stop
1,18,14,-1,-2,Stop
1,17,13,-2,-3,South
1,16,13,-3,-4,South
1,15,12,-4,-5,South
1,14,12,-5,-6,South
1,13,12,-6,-7,South
1,12,12,-7,-8,South
1,11,10,-8,-9,South
1,10,10,-9,-10,South
1,9,8,-10,-11,South
1,8,8,-11,-12,South
1,7,6,-12,-13,South
1,6,6,-13,-14,South
2,6,4,-14,-15,East
3,6,4,-15,-16,East
4,6,2,-16,-17,East
5,6,4,-17,-18,East
5,7,2,-18,-19,North
4,7,2,-19,-20,West
4,8,7,180,179,North
3,8,8,179,178,West
3,7,8,178,177,South
4,7,6,177,176,East
5,7,5,176,175,East
5,6,4,175,174,South
6,6,4,174,173,East
7,6,2,173,172,East
8,6,2,172,171,East
9,6,2,171,170,East
9,7,2,170,169,North
9,8,4,169,168,North
9,7,4,168,167,South
9,6,2,167,166,South
9,5,3,166,165,South
9,6,3,165,164,North
10,6,3,164,163,East
11,6,3,163,162,East
11,7,3,162,161,North
10,7,3,161,160,West
10,8,1,160,159,North
10,9,1,159,158,North
9,9,2,158,157,West
9,8,2,157,156,South
10,8,2,156,155,East
10,7,1,155,354,South
10,6,12,354,353,South
10,7,14,353,352,North
10,8,14,352,351,North
10,9,14,351,350,North
10,10,16,350,349,North
10,11,17,349,348,North
10,12,18,348,347,North
