@relation 'pacman_info-weka.filters.unsupervised.attribute.Remove-R4,6-9'

@attribute pacmanX numeric
@attribute pacmanY numeric
@attribute livingGhosts numeric
@attribute score numeric
@attribute class {Stop,North,South,East,West}

@data
1,6,4,0,Stop
1,5,4,-1,South
1,4,4,-2,South
1,3,4,-3,South
1,4,4,-4,North
2,4,4,-5,East
3,4,4,-6,East
3,3,4,-7,South
3,4,4,-8,North
4,4,3,191,East
4,3,3,190,South
5,3,2,389,East
5,4,2,388,North
5,3,2,387,South
6,3,2,386,East
7,3,2,385,East
8,3,2,384,East
9,3,2,383,East
10,3,2,382,East
11,3,2,381,East
12,3,2,380,East
13,3,2,379,East
14,3,2,378,East
14,4,2,377,North
15,4,1,576,East
14,4,1,575,West
13,4,1,574,West
12,4,1,573,West
11,4,1,572,West
10,4,1,571,West
10,3,1,570,South
9,3,1,569,West
8,3,1,568,West
1,6,4,0,Stop
1,5,4,-1,South
1,4,4,-2,South
2,4,4,-3,East
2,3,4,-4,South
2,4,4,-5,North
3,4,4,-6,East
4,4,4,-7,East
4,3,4,-8,South
5,3,3,191,East
5,4,3,190,North
6,4,3,189,East
7,4,3,188,East
7,5,3,187,North
7,6,3,186,North
8,6,2,385,East
9,6,2,384,East
10,6,2,383,East
11,6,2,382,East
12,6,2,381,East
13,6,2,380,East
14,6,2,379,East
14,5,2,378,South
14,4,2,377,South
15,4,2,376,East
15,3,2,375,South
14,3,2,374,West
14,4,2,373,North
14,5,1,572,North
14,4,1,571,South
14,3,1,570,South
13,3,1,569,West
12,10,4,0,Stop
12,11,4,-1,North
12,12,4,-2,North
13,12,4,-3,East
13,11,4,-4,South
13,10,4,-5,South
13,9,4,-6,South
14,9,4,-7,East
14,8,4,-8,South
13,8,4,-9,West
13,9,4,-10,North
12,9,4,-11,West
12,10,3,188,North
11,10,3,187,West
10,10,3,186,West
10,9,3,185,South
9,9,2,384,West
9,8,2,383,South
9,7,2,382,South
9,6,2,381,South
9,5,2,380,South
9,4,2,379,South
10,4,2,378,East
10,3,2,377,South
10,4,2,376,North
10,3,2,375,South
11,3,2,374,East
12,3,2,373,East
13,3,1,572,East
13,4,1,571,North
13,5,1,570,North
13,6,1,569,North
13,7,1,568,North
12,7,1,567,West
11,7,1,566,West
10,7,1,565,West
10,6,1,564,South
9,6,1,563,West
8,6,1,562,West
8,5,1,561,South
8,4,1,560,South
7,4,1,559,West
6,4,1,558,West
5,4,1,557,West
5,3,1,556,South
4,3,1,555,West
12,10,4,0,Stop
12,11,4,-1,North
12,12,4,-2,North
13,12,3,197,East
13,11,3,196,South
13,10,3,195,South
13,9,3,194,South
13,8,3,193,South
13,7,3,192,South
13,6,2,391,South
12,6,2,390,West
11,6,2,389,West
10,6,2,388,West
9,6,2,387,West
8,6,2,386,West
7,6,2,385,West
6,6,2,384,West
5,6,1,583,West
5,7,1,582,North
5,8,1,581,North
5,9,1,580,North
6,9,1,579,East
6,10,1,578,North
6,11,1,577,North
6,12,1,576,North
1,11,4,0,Stop
1,10,4,-1,South
1,9,4,-2,South
2,9,4,-3,East
2,8,4,-4,South
3,8,4,-5,East
3,7,4,-6,South
4,7,4,-7,East
4,8,4,-8,North
5,8,3,191,East
5,9,3,190,North
5,10,3,189,North
5,11,3,188,North
6,11,3,187,East
7,11,3,186,East
8,11,2,385,East
9,11,2,384,East
10,11,2,383,East
11,11,2,382,East
12,11,2,381,East
13,11,2,380,East
14,11,2,379,East
15,11,1,578,East
14,11,1,577,West
14,10,1,576,South
14,9,1,575,South
14,8,1,574,South
14,7,1,573,South
14,6,1,572,South
14,5,1,571,South
14,4,1,570,South
14,3,1,569,South
13,3,1,568,West
13,4,1,567,North
13,4,1,566,North
13,5,1,565,North
13,4,1,564,South
13,4,1,563,South
13,3,1,562,South
13,4,1,561,North
13,5,1,560,North
12,5,1,559,West
11,5,1,558,West
10,5,1,557,West
9,5,1,556,West
8,5,1,555,West
7,5,1,554,West
7,4,1,553,South
7,5,1,552,North
7,4,1,551,South
7,5,1,550,North
6,5,1,549,West
6,4,1,548,South
6,5,1,547,North
5,5,1,546,West
5,4,1,545,South
4,4,1,544,West
4,3,1,543,South
1,11,4,0,Stop
1,10,4,-1,South
1,9,4,-2,South
2,9,4,-3,East
3,9,4,-4,East
4,9,4,-5,East
4,8,4,-6,South
5,8,3,193,East
5,7,3,192,South
4,7,3,191,West
3,7,3,190,West
4,7,3,189,East
3,7,3,188,West
4,7,3,187,East
3,7,3,186,West
4,7,3,185,East
3,7,3,184,West
2,7,3,183,West
3,7,3,182,East
2,7,3,181,West
3,7,3,180,East
2,7,3,179,West
3,7,3,178,East
2,7,3,177,West
3,7,3,176,East
2,7,3,175,West
3,7,3,174,East
2,7,3,173,West
3,7,3,172,East
2,7,3,171,West
1,7,3,170,West
1,6,3,169,South
1,5,2,368,South
1,4,2,367,South
2,4,2,366,East
3,4,2,365,East
4,4,2,364,East
5,4,2,363,East
5,5,2,362,North
6,5,2,361,East
7,5,2,360,East
7,4,2,359,South
7,5,2,358,North
8,5,2,357,East
8,6,2,356,North
8,7,2,355,North
8,8,2,354,North
8,9,2,353,North
9,9,2,352,East
10,9,2,351,East
10,10,1,550,North
10,9,1,549,South
10,8,1,548,South
10,7,1,547,South
10,6,1,546,South
10,5,1,545,South
10,4,1,544,South
11,4,1,543,East
11,4,1,542,East
11,4,1,541,East
11,4,1,540,East
11,4,1,539,East
11,3,1,538,South
11,3,1,537,South
11,4,1,536,North
11,4,1,535,North
11,5,1,534,North
12,5,1,533,East
13,5,1,532,East
14,5,1,531,East
15,5,1,530,East
16,5,1,529,East
17,5,1,528,East
1,18,4,0,Stop
1,17,4,-1,South
1,16,4,-2,South
1,15,4,-3,South
1,14,4,-4,South
1,13,4,-5,South
1,12,4,-6,South
1,11,4,-7,South
1,10,4,-8,South
1,9,4,-9,South
1,9,4,-10,South
1,9,4,-11,South
1,9,4,-12,South
1,8,4,-13,South
1,7,4,-14,South
1,6,4,-15,South
1,5,4,-16,South
1,6,4,-17,North
1,7,4,-18,North
1,6,4,-19,South
2,6,3,180,East
3,6,3,179,East
3,5,3,178,South
4,5,2,377,East
4,4,2,376,South
5,4,1,575,East
5,5,1,574,North
1,18,4,0,Stop
1,17,4,-1,South
1,16,4,-2,South
1,15,4,-3,South
1,14,4,-4,South
1,13,4,-5,South
1,12,4,-6,South
1,11,4,-7,South
1,10,4,-8,South
1,10,4,-9,South
1,9,4,-10,South
1,8,4,-11,South
1,7,4,-12,South
1,6,3,187,South
1,5,3,186,South
2,5,3,185,East
2,6,2,384,North
2,5,2,383,South
2,4,1,582,South
2,5,1,581,North
2,6,1,580,North
3,6,1,579,East
3,7,1,578,North
3,8,1,577,North
3,9,1,576,North
3,10,1,575,North
4,10,1,574,East
1,6,4,0,Stop
1,5,4,-1,South
1,4,4,-2,South
1,3,4,-3,South
2,3,4,-4,East
2,4,4,-5,North
3,4,4,-6,East
4,4,4,-7,East
5,4,4,-8,East
6,4,3,191,East
6,5,2,390,North
6,4,2,389,South
6,3,2,388,South
7,3,2,387,East
8,3,2,386,East
9,3,2,385,East
10,3,2,384,East
10,4,2,383,North
