@relation pacman_info-weka.filters.unsupervised.attribute.Remove-R6-9-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Remove-R5

@attribute pacmanX numeric
@attribute pacmanY numeric
@attribute livingGhosts numeric
@attribute minGhost numeric
@attribute class {Stop,North,South,East,West}

@data
0,0.2,1,0.4,Stop
0,0.133333,1,0.266667,South
0,0.066667,1,0.266667,South
0,0,1,0.266667,South
0,0.066667,1,0.2,North
0.0625,0.066667,1,0.133333,East
0.125,0.066667,1,0.133333,East
0.125,0,1,0.133333,South
0.125,0.066667,1,0,North
0.1875,0.066667,0.666667,0.066667,East
0.1875,0,0.666667,0.066667,South
0.25,0,0.333333,0.4,East
0.25,0.066667,0.333333,0.4,North
0.25,0,0.333333,0.266667,South
0.3125,0,0.333333,0.266667,East
0.375,0,0.333333,0.266667,East
0.4375,0,0.333333,0.2,East
0.5,0,0.333333,0.2,East
0.5625,0,0.333333,0.133333,East
0.625,0,0.333333,0.133333,East
0.6875,0,0.333333,0.066667,East
0.75,0,0.333333,0.066667,East
0.8125,0,0.333333,0.066667,East
0.8125,0.066667,0.333333,0,North
0.875,0.066667,0,0.133333,East
0.8125,0.066667,0,0.066667,West
0.75,0.066667,0,0.066667,West
0.6875,0.066667,0,0.066667,West
0.625,0.066667,0,0.066667,West
0.5625,0.066667,0,0.066667,West
0.5625,0,0,0.066667,South
0.5,0,0,0.066667,West
0.4375,0,0,0,West
0,0.2,1,0.4,Stop
0,0.133333,1,0.333333,South
0,0.066667,1,0.333333,South
0.0625,0.066667,1,0.333333,East
0.0625,0,1,0.333333,South
0.0625,0.066667,1,0.2,North
0.125,0.066667,1,0.133333,East
0.1875,0.066667,1,0.133333,East
0.1875,0,1,0,South
0.25,0,0.666667,0.333333,East
0.25,0.066667,0.666667,0.333333,North
0.3125,0.066667,0.666667,0.333333,East
0.375,0.066667,0.666667,0.2,East
0.375,0.133333,0.666667,0.133333,North
0.375,0.2,0.666667,0,North
0.4375,0.2,0.333333,0.333333,East
0.5,0.2,0.333333,0.333333,East
0.5625,0.2,0.333333,0.2,East
0.625,0.2,0.333333,0.2,East
0.6875,0.2,0.333333,0.133333,East
0.75,0.2,0.333333,0.133333,East
0.8125,0.2,0.333333,0.066667,East
