@relation pacman_info-weka.filters.unsupervised.attribute.Remove-R6-9-weka.filters.unsupervised.attribute.Remove-R3

@attribute pacmanX numeric
@attribute pacmanY numeric
@attribute minGhost numeric
@attribute score numeric
@attribute class {Stop,North,South,East,West}

@data
1,6,7,0,Stop
1,5,5,-1,South
1,4,5,-2,South
1,3,5,-3,South
1,4,4,-4,North
2,4,3,-5,East
3,4,3,-6,East
3,3,3,-7,South
3,4,1,-8,North
4,4,2,191,East
4,3,2,190,South
5,3,7,389,East
5,4,7,388,North
5,3,5,387,South
6,3,5,386,East
7,3,5,385,East
8,3,4,384,East
9,3,4,383,East
10,3,3,382,East
11,3,3,381,East
12,3,2,380,East
13,3,2,379,East
14,3,2,378,East
14,4,1,377,North
15,4,3,576,East
14,4,2,575,West
13,4,2,574,West
12,4,2,573,West
11,4,2,572,West
10,4,2,571,West
10,3,2,570,South
9,3,2,569,West
8,3,1,568,West
1,6,7,0,Stop
1,5,6,-1,South
1,4,6,-2,South
2,4,6,-3,East
2,3,6,-4,South
2,4,4,-5,North
3,4,3,-6,East
4,4,3,-7,East
4,3,1,-8,South
5,3,6,191,East
5,4,6,190,North
6,4,6,189,East
7,4,4,188,East
7,5,3,187,North
7,6,1,186,North
8,6,6,385,East
9,6,6,384,East
10,6,4,383,East
11,6,4,382,East
12,6,3,381,East
13,6,3,380,East
14,6,2,379,East
14,5,2,378,South
14,4,2,377,South
15,4,2,376,East
15,3,2,375,South
14,3,2,374,West
14,4,1,373,North
14,5,4,572,North
14,4,2,571,South
14,3,2,570,South
13,3,1,569,West
12,10,3,0,Stop
12,11,2,-1,North
12,12,2,-2,North
13,12,2,-3,East
13,11,2,-4,South
13,10,2,-5,South
13,9,2,-6,South
14,9,2,-7,East
14,8,2,-8,South
13,8,2,-9,West
13,9,2,-10,North
12,9,1,-11,West
12,10,3,188,North
11,10,2,187,West
10,10,2,186,West
10,9,2,185,South
9,9,7,384,West
9,8,7,383,South
9,7,5,382,South
9,6,4,381,South
9,5,4,380,South
9,4,4,379,South
10,4,4,378,East
10,3,4,377,South
10,4,4,376,North
10,3,3,375,South
11,3,2,374,East
12,3,1,373,East
13,3,15,572,East
13,4,13,571,North
13,5,13,570,North
13,6,13,569,North
13,7,12,568,North
12,7,11,567,West
11,7,10,566,West
10,7,10,565,West
10,6,8,564,South
9,6,8,563,West
8,6,8,562,West
8,5,8,561,South
8,4,6,560,South
7,4,6,559,West
6,4,4,558,West
5,4,4,557,West
5,3,2,556,South
4,3,1,555,West
12,10,3,0,Stop
12,11,2,-1,North
12,12,1,-2,North
13,12,6,197,East
13,11,5,196,South
13,10,4,195,South
13,9,3,194,South
13,8,2,193,South
13,7,1,192,South
13,6,8,391,South
12,6,7,390,West
11,6,6,389,West
10,6,5,388,West
9,6,4,387,West
8,6,3,386,West
7,6,2,385,West
6,6,1,384,West
5,6,6,583,West
5,7,5,582,North
5,8,4,581,North
5,9,3,580,North
6,9,4,579,East
6,10,3,578,North
6,11,2,577,North
6,12,1,576,North
1,11,7,0,Stop
1,10,6,-1,South
1,9,4,-2,South
2,9,4,-3,East
2,8,3,-4,South
3,8,3,-5,East
3,7,2,-6,South
4,7,2,-7,East
4,8,1,-8,North
5,8,6,191,East
5,9,4,190,North
5,10,2,189,North
5,11,2,188,North
6,11,2,187,East
7,11,1,186,East
8,11,5,385,East
9,11,5,384,East
10,11,5,383,East
11,11,5,382,East
12,11,4,381,East
13,11,2,380,East
14,11,1,379,East
15,11,16,578,East
14,11,14,577,West
14,10,14,576,South
14,9,13,575,South
14,8,13,574,South
14,7,13,573,South
14,6,13,572,South
14,5,13,571,South
14,4,12,570,South
14,3,10,569,South
13,3,10,568,West
13,4,9,567,North
13,4,10,566,North
13,5,10,565,North
13,4,10,564,South
13,4,11,563,South
13,3,11,562,South
13,4,11,561,North
13,5,11,560,North
12,5,10,559,West
11,5,9,558,West
10,5,8,557,West
9,5,7,556,West
8,5,7,555,West
7,5,7,554,West
7,4,7,553,South
7,5,7,552,North
7,4,7,551,South
7,5,6,550,North
6,5,6,549,West
6,4,6,548,South
6,5,4,547,North
5,5,4,546,West
5,4,2,545,South
4,4,2,544,West
4,3,1,543,South
1,11,7,0,Stop
1,10,7,-1,South
1,9,5,-2,South
2,9,3,-3,East
3,9,2,-4,East
4,9,2,-5,East
4,8,1,-6,South
5,8,5,193,East
5,7,5,192,South
4,7,3,191,West
3,7,3,190,West
4,7,5,189,East
3,7,3,188,West
4,7,3,187,East
3,7,3,186,West
4,7,3,185,East
3,7,3,184,West
2,7,3,183,West
3,7,3,182,East
2,7,3,181,West
3,7,4,180,East
2,7,2,179,West
3,7,3,178,East
2,7,2,177,West
3,7,4,176,East
2,7,3,175,West
3,7,5,174,East
2,7,3,173,West
3,7,5,172,East
2,7,3,171,West
1,7,2,170,West
1,6,2,169,South
1,5,15,368,South
1,4,13,367,South
2,4,13,366,East
3,4,13,365,East
4,4,11,364,East
5,4,10,363,East
5,5,10,362,North
6,5,9,361,East
7,5,7,360,East
7,4,9,359,South
7,5,7,358,North
8,5,5,357,East
8,6,3,356,North
8,7,3,355,North
8,8,3,354,North
8,9,3,353,North
9,9,3,352,East
10,9,1,351,East
10,10,10,550,North
10,9,10,549,South
10,8,9,548,South
10,7,7,547,South
10,6,7,546,South
10,5,6,545,South
10,4,6,544,South
11,4,4,543,East
11,4,4,542,East
11,4,5,541,East
11,4,6,540,East
11,4,7,539,East
11,3,7,538,South
11,3,7,537,South
11,4,7,536,North
11,4,6,535,North
11,5,5,534,North
12,5,5,533,East
13,5,5,532,East
14,5,4,531,East
15,5,4,530,East
16,5,2,529,East
17,5,2,528,East
1,18,13,0,Stop
1,17,11,-1,South
1,16,9,-2,South
1,15,9,-3,South
1,14,7,-4,South
1,13,5,-5,South
1,12,4,-6,South
1,11,3,-7,South
1,10,3,-8,South
1,9,3,-9,South
1,9,2,-10,South
1,9,2,-11,South
1,9,3,-12,South
1,8,3,-13,South
1,7,3,-14,South
1,6,1,-15,South
1,5,3,-16,South
1,6,3,-17,North
