@relation pacman_info-weka.filters.unsupervised.attribute.Remove-R6-9-weka.filters.supervised.instance.Resample-B1.0-S1-Z100.0-weka.filters.unsupervised.attribute.Remove-R1-2

@attribute livingGhosts numeric
@attribute minGhost numeric
@attribute score numeric
@attribute class {Stop,North,South,East,West}

@data
4,3,-2,Stop
4,5,-2,Stop
4,7,0,Stop
4,7,-1,Stop
4,7,-1,Stop
4,3,0,Stop
4,3,-1,Stop
4,7,-2,Stop
4,13,-1,Stop
4,14,-4,Stop
4,5,-2,Stop
4,7,-3,Stop
4,7,-2,Stop
4,8,-1,Stop
4,8,-1,Stop
4,13,-1,Stop
4,13,0,Stop
4,13,-1,Stop
4,3,-2,Stop
4,14,-2,Stop
4,3,-1,Stop
4,7,0,Stop
4,7,0,Stop
4,7,-1,Stop
4,7,-1,Stop
4,15,-5,Stop
4,3,0,Stop
4,15,-5,Stop
4,13,0,Stop
4,7,0,Stop
4,3,0,Stop
4,7,-3,Stop
4,7,-1,Stop
4,7,-2,Stop
4,13,0,Stop
4,3,-2,Stop
4,7,-2,Stop
4,14,-1,Stop
4,13,0,Stop
4,7,0,Stop
4,7,-3,Stop
4,7,-1,Stop
4,3,0,Stop
4,7,-1,Stop
4,3,-2,Stop
4,13,0,Stop
4,13,0,Stop
4,13,0,Stop
4,5,-2,Stop
4,7,0,Stop
4,13,-1,Stop
4,3,-2,Stop
4,13,0,Stop
4,3,-2,Stop
4,3,-2,Stop
4,3,0,Stop
4,13,0,Stop
4,7,0,Stop
4,15,-5,Stop
4,7,0,Stop
4,7,-2,Stop
4,14,-4,Stop
4,13,-1,Stop
4,3,-2,Stop
4,5,-2,Stop
4,3,-2,Stop
4,7,-1,Stop
4,14,-4,Stop
4,7,-1,Stop
4,3,-1,Stop
4,7,0,Stop
4,3,0,Stop
4,3,0,Stop
4,3,0,Stop
4,7,-2,Stop
4,13,0,Stop
4,13,-1,Stop
4,7,0,Stop
4,13,0,Stop
4,4,-1,Stop
4,13,0,Stop
4,7,-2,Stop
4,7,-3,Stop
4,7,-2,Stop
4,13,0,Stop
4,13,0,Stop
4,7,0,Stop
4,7,0,Stop
4,14,-4,Stop
4,8,-1,Stop
4,3,-2,Stop
2,7,372,North
1,4,575,North
1,7,570,North
4,2,-19,North
3,3,162,North
3,1,179,North
1,1,572,North
2,17,349,North
2,11,357,North
4,2,-5,North
1,5,578,North
1,4,575,North
3,6,193,North
2,7,370,North
2,7,363,North
2,7,368,North
3,6,193,North
2,1,375,North
1,4,564,North
3,1,159,North
3,3,165,North
2,16,350,North
1,5,576,North
2,7,371,North
2,7,361,North
4,2,-19,North
1,2,572,North
1,4,565,North
1,2,572,North
4,3,-5,North
2,8,364,North
2,7,370,North
1,3,573,North
1,5,578,North
2,17,349,North
2,7,371,North
1,4,523,North
2,7,361,North
3,6,193,North
1,5,578,North
2,7,371,North
3,3,189,North
2,18,348,North
2,16,350,North
1,7,570,North
2,7,368,North
2,6,369,North
4,2,-18,North
2,6,370,North
1,2,573,North
4,3,-18,North
2,8,360,North
1,4,565,North
1,4,564,North
3,2,170,North
2,8,360,North
3,1,159,North
3,3,165,North
2,6,369,North
3,2,170,North
1,1,571,North
1,4,523,North
4,3,-7,North
2,10,358,North
3,1,159,North
1,2,572,North
2,7,363,North
2,1,375,North
1,1,572,North
4,3,-7,North
2,17,349,North
1,5,576,North
2,6,369,North
3,6,193,North
3,1,160,North
3,1,159,North
1,4,565,North
4,3,-18,North
1,3,574,North
1,5,569,North
3,3,165,North
1,4,565,North
2,6,369,North
1,3,573,North
4,2,-5,North
2,11,357,North
3,1,179,North
2,12,356,North
2,7,368,North
1,5,578,North
1,5,578,North
3,10,188,South
4,1,-9,South
4,8,-11,South
3,8,175,South
4,13,-3,South
2,2,377,South
4,6,-13,South
3,2,181,South
4,8,-11,South
1,4,520,South
2,6,350,South
4,11,-3,South
1,10,559,South
4,12,-7,South
4,9,-5,South
2,6,350,South
3,2,169,South
2,1,372,South
2,3,379,South
2,6,339,South
4,12,-3,South
4,12,-7,South
2,8,383,South
3,4,191,South
2,8,387,South
4,1,-9,South
2,6,350,South
4,6,-12,South
1,3,554,South
1,4,520,South
4,8,-10,South
4,5,-13,South
3,2,181,South
1,5,556,South
3,5,185,South
2,9,353,South
2,6,338,South
4,8,-10,South
2,6,338,South
4,6,-13,South
2,6,388,South
4,9,-6,South
4,4,-11,South
2,4,386,South
4,7,-7,South
4,4,-14,South
3,3,170,South
4,12,-3,South
4,11,-3,South
4,5,-12,South
4,10,-9,South
4,13,-6,South
2,9,365,South
4,2,-17,South
4,10,-8,South
2,2,373,South
1,5,555,South
4,5,-11,South
3,2,181,South
4,4,-11,South
2,6,388,South
3,2,181,South
1,1,538,South
2,6,339,South
4,11,-4,South
4,8,-11,South
4,1,-9,South
4,10,-4,South
4,8,-11,South
4,4,-10,South
1,9,575,South
4,10,-8,South
3,1,155,South
2,4,385,South
4,8,-7,South
4,5,-11,South
4,12,-6,South
4,2,-14,South
3,4,191,South
4,2,-8,South
4,3,-16,South
4,2,-8,South
2,8,383,South
4,8,-11,South
4,2,-17,South
4,7,-14,South
2,2,378,South
3,2,157,South
2,1,376,South
2,5,379,South
3,2,167,South
1,2,548,East
2,1,373,East
3,2,171,East
1,7,554,East
3,2,173,East
3,4,189,East
1,2,545,East
3,4,185,East
2,2,328,East
1,7,556,East
1,5,540,East
1,8,563,East
2,9,384,East
4,2,-5,East
2,3,347,East
2,14,345,East
4,3,-7,East
2,1,345,East
2,10,354,East
1,7,542,East
1,8,563,East
2,4,379,East
1,2,548,East
4,3,-5,East
3,3,177,East
4,6,-3,East
3,4,190,East
2,18,347,East
3,6,177,East
3,1,187,East
3,3,177,East
3,7,174,East
4,6,-4,East
2,14,345,East
3,2,171,East
2,8,382,East
3,1,183,East
3,6,177,East
1,10,562,East
2,3,347,East
2,5,379,East
2,2,328,East
3,2,173,East
2,3,331,East
2,3,331,East
4,1,-8,East
3,1,166,East
4,2,-6,East
1,4,551,East
1,3,538,East
3,2,180,East
4,6,-3,East
4,3,-7,East
4,4,-3,East
1,7,542,East
1,11,560,East
1,2,545,East
2,9,385,East
3,2,184,East
1,4,522,East
4,4,-4,East
