@relation pacman_info-weka.filters.unsupervised.attribute.Remove-R6-9-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute pacmanX numeric
@attribute pacmanY numeric
@attribute livingGhosts numeric
@attribute minGhost numeric
@attribute score numeric
@attribute class {Stop,North,South,East,West}

@data
0,1,1,0.631579,0.060065,Stop
0,1,1,0.631579,0.058442,Stop
0,1,1,0.684211,0.056818,Stop
0,1,1,0.736842,0.055195,Stop
0,1,1,0.684211,0.053571,Stop
0,1,1,0.736842,0.051948,Stop
0,0.933333,1,0.631579,0.050325,South
0,0.866667,1,0.578947,0.048701,South
0,0.8,1,0.473684,0.047078,South
0,0.733333,1,0.473684,0.045455,South
0,0.666667,1,0.368421,0.043831,South
0,0.6,1,0.368421,0.042208,South
0,0.533333,1,0.263158,0.040584,South
0,0.466667,1,0.210526,0.038961,South
0,0.4,1,0.157895,0.037338,South
0,0.333333,1,0.157895,0.035714,South
0,0.266667,1,0.105263,0.034091,South
0,0.2,1,0.052632,0.032468,South
0,0.133333,1,0.052632,0.030844,South
0.037037,0.133333,1,0.052632,0.029221,East
0.074074,0.133333,0.666667,0.052632,0.352273,East
0.111111,0.133333,0.666667,0.052632,0.350649,East
0.148148,0.133333,0.666667,0.052632,0.349026,East
0.148148,0.133333,0.666667,0.105263,0.347403,East
0.148148,0.2,0.666667,0,0.345779,North
0.111111,0.2,0.333333,0.210526,0.668831,West
0.111111,0.133333,0.333333,0.105263,0.667208,South
0.111111,0.066667,0.333333,0.052632,0.665584,South
0.111111,0,0.333333,0,0.663961,South
0.074074,0,0,0.105263,0.987013,West
0.037037,0,0,0.105263,0.98539,West
0.074074,0,0,0,0.983766,East
0,1,1,0.631579,0.060065,Stop
0,1,1,0.631579,0.058442,Stop
0,0.933333,1,0.578947,0.056818,South
0,0.866667,1,0.526316,0.055195,South
0,0.8,1,0.473684,0.053571,South
0,0.733333,1,0.421053,0.051948,South
0,0.666667,1,0.368421,0.050325,South
0,0.6,1,0.315789,0.048701,South
0,0.533333,1,0.263158,0.047078,South
0,0.466667,1,0.210526,0.045455,South
0,0.4,1,0.157895,0.043831,South
0,0.333333,1,0.210526,0.042208,South
0,0.266667,1,0.157895,0.040584,South
0,0.2,1,0.105263,0.038961,South
0,0.133333,1,0.052632,0.037338,South
0,0.066667,1,0,0.035714,South
0.037037,0.066667,1,0,0.034091,East
0.037037,0,0.666667,0,0.357143,South
0,0,0.333333,0.368421,0.680195,West
0,0.066667,0.333333,0.315789,0.678571,North
0.037037,0.066667,0.333333,0.263158,0.676948,East
0.074074,0.066667,0.333333,0.210526,0.675325,East
0.111111,0.066667,0.333333,0.157895,0.673701,East
0.148148,0.066667,0.333333,0.105263,0.672078,East
0.148148,0.133333,0.333333,0.052632,0.670455,North
0.148148,0.2,0.333333,0,0.668831,North
0.185185,0.2,0,0.157895,0.991883,East
0.185185,0.266667,0,0.105263,0.99026,North
0.185185,0.333333,0,0.052632,0.988636,North
0.185185,0.4,0,0,0.987013,North
0,1,1,0.631579,0.060065,Stop
0,1,1,0.631579,0.058442,Stop
0,1,1,0.631579,0.056818,Stop
0,0.933333,1,0.578947,0.055195,South
0,0.866667,1,0.526316,0.053571,South
0,0.8,1,0.473684,0.051948,South
0,0.733333,1,0.421053,0.050325,South
0,0.666667,1,0.368421,0.048701,South
0,0.6,1,0.315789,0.047078,South
0,0.533333,1,0.263158,0.045455,South
0,0.466667,1,0.210526,0.043831,South
