Key_Dataset,Key_Run,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Date_time,Number_of_training_instances,Number_of_testing_instances,Number_correct,Number_incorrect,Number_unclassified,Percent_correct,Percent_incorrect,Percent_unclassified,Kappa_statistic,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,KB_information,KB_mean_information,KB_relative_information,True_positive_rate,Num_true_positives,False_positive_rate,Num_false_positives,True_negative_rate,Num_true_negatives,False_negative_rate,Num_false_negatives,IR_precision,IR_recall,F_measure,Matthews_correlation,Area_under_ROC,Area_under_PRC,Weighted_avg_true_positive_rate,Weighted_avg_false_positive_rate,Weighted_avg_true_negative_rate,Weighted_avg_false_negative_rate,Weighted_avg_IR_precision,Weighted_avg_IR_recall,Weighted_avg_F_measure,Weighted_avg_matthews_correlation,Weighted_avg_area_under_ROC,Weighted_avg_area_under_PRC,Unweighted_macro_avg_F_measure,Unweighted_micro_avg_F_measure,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,UserCPU_Time_millis_training,UserCPU_Time_millis_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Coverage_of_Test_Cases_By_Regions,Size_of_Predicted_Regions,Summary,measureTreeSize,measureNumLeaves,measureNumRules
pacman_info-weka.filters.unsupervised.attribute.Remove-R6-9-weka.filters.supervised.instance.Resample-B1.0-S1-Z100.0,1,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,2.0210312175800003E7,457.0,418.0,197.0,221.0,0.0,47.12918660287081,52.87081339712919,0.0,0.33898620413303565,0.21545770816105753,0.43750070581235845,67.32913921595234,109.37188625952575,970.637996239179,198806.0487587131,-197835.4107624739,2.32210046947172,475.6125568390265,-473.2904563695548,383.1391214457075,0.9166007690088696,39.47291605420488,0.8536585365853658,70.0,0.0,0.0,1.0,336.0,0.14634146341463414,12.0,1.0,0.8536585365853658,0.9210526315789475,0.9078667497622113,0.926829268292683,0.8823666705566577,0.47129186602870815,0.13296851273529495,0.867031487264705,0.5287081339712919,0.5216470734746246,0.47129186602870815,0.4836842758912716,0.3604680255569324,0.6764640575308714,0.41624977890328557,0.48576698234692717,0.47129186602870815,0.002,0.001,0.0,0.0,0.0,0.0,29845.0,36676.0,33673.0,55.74162679425837,29.712918660287237,'Number of leaves: 56\nSize of the tree: 111\n',111.0,56.0,56.0
pacman_info-weka.filters.unsupervised.attribute.Remove-R6-9-weka.filters.supervised.instance.Resample-B1.0-S1-Z100.0-weka.filters.unsupervised.attribute.Remove-R3,1,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,2.0210312175800003E7,457.0,418.0,192.0,226.0,0.0,45.933014354066984,54.066985645933016,0.0,0.3240988509365654,0.21967693391138382,0.4436226757171231,68.64761995331774,110.90233269586895,970.637996239179,205248.34573996728,-204277.7077437281,2.32210046947172,491.0247505740844,-488.70265010461264,370.8462215142354,0.8871919174981708,38.20643977992941,0.8536585365853658,70.0,0.020833333333333332,7.0,0.9791666666666666,329.0,0.14634146341463414,12.0,0.9090909090909091,0.8536585365853658,0.880503144654088,0.8531155779565955,0.9164126016260162,0.8047613490488972,0.45933014354066987,0.1358520996284942,0.8641479003715058,0.5406698564593302,0.5003172962810775,0.45933014354066987,0.4672443896953839,0.34113785347312137,0.6677270459081837,0.3994914530760483,0.46921228852852054,0.45933014354066987,0.002,0.001,0.015625,0.0,15.625,0.0,30805.0,33012.0,30321.0,54.30622009569378,29.665071770335086,'Number of leaves: 58\nSize of the tree: 115\n',115.0,58.0,58.0
pacman_info-weka.filters.unsupervised.attribute.Remove-R6-9-weka.filters.supervised.instance.Resample-B1.0-S1-Z100.0-weka.filters.unsupervised.attribute.Remove-R4,1,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,2.0210312175800003E7,457.0,418.0,193.0,225.0,0.0,46.17224880382775,53.82775119617225,0.0,0.3270221535291087,0.2158583863462988,0.44255560022946244,67.45434855538679,110.6355718488206,970.637996239179,191318.8823939589,-190348.2443977197,2.32210046947172,457.7006755836337,-455.378575114162,378.7073677283807,0.9059984873884706,39.01633453416363,0.8536585365853658,70.0,0.0,0.0,1.0,336.0,0.14634146341463414,12.0,1.0,0.8536585365853658,0.9210526315789475,0.9078667497622113,0.926829268292683,0.8823666705566577,0.46172248803827753,0.13537518264905596,0.864624817350944,0.5382775119617225,0.4972802678707685,0.46172248803827753,0.4658392414409149,0.3420528111182796,0.6860119473970719,0.40894443969316496,0.46800692425109597,0.46172248803827753,0.003,0.0,0.0,0.0,0.0,0.0,30325.0,33016.0,30325.0,57.41626794258373,28.133971291866178,'Number of leaves: 57\nSize of the tree: 113\n',113.0,57.0,57.0
pacman_info-weka.filters.unsupervised.attribute.Remove-R6-9-weka.filters.supervised.instance.Resample-B1.0-S1-Z100.0-weka.filters.unsupervised.attribute.Remove-R1-2,1,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,2.0210312175800003E7,457.0,418.0,180.0,238.0,0.0,43.0622009569378,56.9377990430622,0.0,0.28820010875475804,0.23287661648385632,0.4536674907710275,72.77243532016482,113.41346091801358,970.637996239179,209573.92977297635,-208603.29177673717,2.32210046947172,501.37303773439317,-499.05093726492146,336.99872567171303,0.8062170470615144,34.71930080807096,0.8536585365853658,70.0,0.017857142857142856,6.0,0.9821428571428571,330.0,0.14634146341463414,12.0,0.9210526315789473,0.8536585365853658,0.8860759493670887,0.8605176979461336,0.9179006968641115,0.8149725755630762,0.430622009569378,0.14308993086963462,0.8569100691303655,0.569377990430622,0.41837015373619935,0.430622009569378,0.41797495646593724,0.2817000571179288,0.64374813257968,0.3660257495852964,0.4202040088130855,0.430622009569378,0.002,0.0,0.0,0.0,0.0,0.0,32699.0,29314.0,26935.0,52.63157894736842,30.76555023923463,'Number of leaves: 62\nSize of the tree: 123\n',123.0,62.0,62.0
pacman_info-weka.filters.unsupervised.attribute.Remove-R6-9-weka.filters.supervised.instance.Resample-B1.0-S1-Z100.0-weka.filters.unsupervised.attribute.Remove-R5,1,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,2.0210312175800003E7,457.0,418.0,167.0,251.0,0.0,39.952153110047846,60.047846889952154,0.0,0.24921284634760704,0.24034718921715867,0.46130099332669383,75.10694094484835,115.32177914970624,970.637996239179,181799.3497293235,-180828.71173308432,2.32210046947172,434.92667399359686,-432.60457352412516,311.0552035671952,0.7441512047062085,32.04646889699409,0.6341463414634146,52.0,0.041666666666666664,14.0,0.9583333333333334,322.0,0.36585365853658536,30.0,0.7878787878787878,0.6341463414634146,0.7027027027027027,0.6452183670606502,0.9715084204413472,0.8231268094077746,0.39952153110047844,0.15076903609049844,0.8492309639095017,0.6004784688995215,0.41966300656184985,0.39952153110047844,0.40581028844906397,0.25785194972530595,0.683355819120474,0.3988742849291389,0.40722406185027177,0.39952153110047844,0.003,0.0,0.015625,0.0,15.625,0.0,33716.0,33019.0,30328.0,51.67464114832536,29.37799043062214,'Number of leaves: 64\nSize of the tree: 127\n',127.0,64.0,64.0
pacman_info-weka.filters.unsupervised.attribute.Remove-R6-9-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0,1,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,2.0210312175800003E7,461.0,420.0,177.0,243.0,0.0,42.142857142857146,57.857142857142854,0.0,0.24370308343275507,0.23447005711408686,0.44801741504916054,77.10560379722101,114.3810229400364,915.3599336481635,191383.95632570866,-190468.59639206048,2.1794284134480084,455.6760864897825,-453.4966580763345,295.8941647801012,0.7045099161430981,32.32544422179548,0.8823529411764706,15.0,0.009925558312655087,4.0,0.9900744416873449,399.0,0.11764705882352941,2.0,0.7894736842105263,0.8823529411764706,0.8333333333333333,0.8272890676107374,0.9344621223179098,0.6499155127638099,0.42142857142857143,0.18631845422096738,0.8136815457790326,0.5785714285714286,0.42380656165168673,0.42142857142857143,0.41228174469987233,0.22885298058972883,0.6433430808970769,0.3808916366153761,0.4825266000655699,0.42142857142857143,0.003,0.001,0.0,0.0,0.0,0.0,36620.0,36983.0,33826.0,54.523809523809526,31.04761904761919,'Number of leaves: 70\nSize of the tree: 139\n',139.0,70.0,70.0
pacman_info-weka.filters.unsupervised.attribute.Remove-R6-9-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0,1,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,2.0210312175800003E7,461.0,420.0,179.0,241.0,0.0,42.61904761904762,57.38095238095238,0.0,0.25135351025117597,0.23091374570063267,0.44913222013088866,75.93610888516105,114.66563809414335,915.3599336481635,201008.78748640558,-200093.4275527574,2.1794284134480084,478.5923511581085,-476.4129227446605,304.68510875161,0.725440735122881,33.285825340561786,0.8823529411764706,15.0,0.009925558312655087,4.0,0.9900744416873449,399.0,0.11764705882352941,2.0,0.7894736842105263,0.8823529411764706,0.8333333333333333,0.8272890676107374,0.9344621223179098,0.6499155127638099,0.4261904761904762,0.18231434438330238,0.8176856556166976,0.5738095238095238,0.4366950401945854,0.4261904761904762,0.41882929430346727,0.24033973278427298,0.6462091313693017,0.38672363869784576,0.48682682001995076,0.4261904761904762,0.003,0.001,0.0,0.0,0.0,0.0,37096.0,33287.0,30458.0,52.857142857142854,29.28571428571448,'Number of leaves: 71\nSize of the tree: 141\n',141.0,71.0,71.0
pacman_info-weka.filters.unsupervised.attribute.Remove-R6-9-weka.filters.unsupervised.attribute.Remove-R4-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0,1,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,2.0210312175800003E7,461.0,420.0,180.0,240.0,0.0,42.857142857142854,57.142857142857146,0.0,0.2591884880242821,0.22738020564845954,0.44025420604229887,74.7741023474482,112.3990379598215,915.3599336481635,159243.30518407898,-158327.9452504308,2.1794284134480084,379.1507266287595,-376.97129821531144,313.05645726822803,0.7453725173053048,34.20036706441178,0.8823529411764706,15.0,0.01240694789081886,5.0,0.9875930521091811,398.0,0.11764705882352941,2.0,0.75,0.8823529411764706,0.8108108108108107,0.8050526473453836,0.9327835352503284,0.6098039215686274,0.42857142857142855,0.17639419767844738,0.8236058023215526,0.5714285714285714,0.43775224537908114,0.42857142857142855,0.41972178214911876,0.24543410219595513,0.6726407978472244,0.39268717821867694,0.4881000088924126,0.42857142857142855,0.003,0.0,0.0,0.0,0.0,0.0,35648.0,33291.0,30462.0,61.42857142857143,31.380952380952518,'Number of leaves: 68\nSize of the tree: 135\n',135.0,68.0,68.0
pacman_info-weka.filters.unsupervised.attribute.Remove-R6-9-weka.filters.unsupervised.attribute.Remove-R1-2-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0,1,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,2.0210312175800003E7,461.0,420.0,155.0,265.0,0.0,36.904761904761905,63.095238095238095,0.0,0.15314204843753573,0.2659249860445516,0.46472860560822027,87.44957401428822,118.64747108799821,915.3599336481635,191472.88933474763,-190557.52940109945,2.1794284134480084,455.8878317493991,-453.70840333595106,201.1342935328833,0.4788911750782936,21.97324638530587,0.8823529411764706,15.0,0.019851116625310174,8.0,0.9801488833746899,395.0,0.11764705882352941,2.0,0.6521739130434783,0.8823529411764706,0.75,0.7470984490492316,0.9224930667055904,0.5802094750943856,0.36904761904761907,0.22876141233299105,0.771238587667009,0.6309523809523809,0.33407216189147426,0.36904761904761907,0.33012910400974005,0.1281718787179553,0.566946015751756,0.30168297796319155,0.39036624040151074,0.36904761904761907,0.002,0.001,0.0,0.0,0.0,0.0,29366.0,29613.0,27112.0,55.714285714285715,39.2857142857142,'Number of leaves: 55\nSize of the tree: 109\n',109.0,55.0,55.0
pacman_info-weka.filters.unsupervised.attribute.Remove-R6-9-weka.filters.unsupervised.attribute.Remove-R4-weka.filters.unsupervised.attribute.Remove-R4-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0,1,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,2.0210312175800003E7,461.0,420.0,179.0,241.0,0.0,42.61904761904762,57.38095238095238,0.0,0.2559486617808128,0.23299456085786174,0.42725438514737124,76.62038606350664,109.08012052033776,915.3599336481635,132471.2791655014,-131555.91923185322,2.1794284134480084,315.4078075369081,-313.22837912346006,301.41361056275065,0.7176514537208348,32.92842514544719,0.6470588235294118,11.0,0.04466501240694789,18.0,0.9553349875930521,385.0,0.35294117647058826,6.0,0.3793103448275862,0.6470588235294118,0.4782608695652174,0.46824172114307844,0.8044081156035615,0.2989915966386555,0.4261904761904762,0.17273046848739879,0.8272695315126013,0.5738095238095238,0.4406712234817761,0.4261904761904762,0.4259685385360145,0.24920400980069604,0.6760001788726204,0.405764455216394,0.4340597215126414,0.4261904761904762,0.002,0.0,0.0,0.0,0.0,0.0,29839.0,29602.0,27101.0,67.85714285714286,39.66666666666673,'Number of leaves: 56\nSize of the tree: 111\n',111.0,56.0,56.0
