@relation 'pacman_info-weka.filters.unsupervised.attribute.Remove-R5,7,10,15,20,24-weka.filters.unsupervised.attribute.Remove-R17-weka.filters.supervised.attribute.ClassOrder-R1-C0-weka.filters.supervised.attribute.ClassOrder-R1-C0-weka.filters.unsupervised.attribute.Remove-R17-weka.filters.unsupervised.instance.RemoveDuplicates-weka.filters.unsupervised.instance.RemoveDuplicates-weka.filters.unsupervised.instance.RemoveDuplicates'

@attribute pacmanX numeric
@attribute pacmanY numeric
@attribute width numeric
@attribute height numeric
@attribute g2Living {True,False}
@attribute g4Living {True,False}
@attribute livingGhosts numeric
@attribute g1Y numeric
@attribute g2X numeric
@attribute g2Y numeric
@attribute g3X numeric
@attribute g4X numeric
@attribute g4Y numeric
@attribute g1D numeric
@attribute g2D numeric
@attribute g4D numeric
@attribute class {Stop,North,West,South,East}

@data
1,17,30,20,True,True,4,3,3,4,5,6,7,16,15,15,South
1,16,30,20,True,True,4,3,3,5,4,6,6,16,13,15,South
1,15,30,20,True,True,4,3,2,5,3,5,6,14,11,13,South
1,14,30,20,True,True,4,3,2,6,3,6,6,13,9,13,South
1,13,30,20,True,True,4,3,2,5,4,5,6,13,9,11,South
1,12,30,20,True,True,4,3,2,5,4,5,5,11,8,11,South
1,11,30,20,True,True,4,3,2,5,4,4,5,9,7,9,South
1,10,30,20,True,True,4,3,2,6,5,4,4,7,5,9,South
1,9,30,20,True,True,4,3,3,6,5,4,5,7,5,7,South
1,8,30,20,True,True,4,4,3,6,5,4,4,5,4,7,South
1,7,30,20,True,True,4,3,2,6,4,3,4,5,2,5,South
1,6,30,20,True,True,4,3,2,5,4,4,4,4,2,5,South
2,6,30,20,True,True,4,3,2,5,4,4,4,4,1,4,East
3,6,30,20,True,True,4,3,3,5,3,4,4,4,1,3,East
3,7,30,20,True,True,3,4,3,6,5,4,4,4,1,4,North
3,6,30,20,False,True,2,3,3,1,5,4,3,4,-1,4,South
3,5,30,20,False,True,2,3,3,1,5,3,3,3,-1,2,South
3,4,30,20,False,True,2,3,3,1,5,3,3,3,-1,1,South
2,4,30,20,False,True,2,3,3,1,5,3,4,1,-1,1,West
1,4,30,20,False,True,2,4,3,1,5,4,4,1,-1,3,West
1,3,30,20,False,True,2,3,3,1,5,4,4,1,-1,4,South
2,3,30,20,False,True,1,1,3,1,5,5,4,-1,-1,4,East
3,3,30,20,False,True,1,1,3,1,5,5,3,-1,-1,2,East
3,4,30,20,False,True,1,1,3,1,5,5,4,-1,-1,2,North
4,4,30,20,False,True,1,1,3,1,5,5,5,-1,-1,2,East
4,3,30,20,False,True,1,1,3,1,5,5,6,-1,-1,4,South
4,3,30,20,False,True,1,1,3,1,5,5,7,-1,-1,5,South
4,4,30,20,False,True,1,1,3,1,5,4,7,-1,-1,3,North
4,5,30,20,False,True,1,1,3,1,5,4,6,-1,-1,1,North
1,17,30,20,True,True,4,3,2,3,5,6,6,14,15,16,South
1,16,30,20,True,True,4,3,2,3,5,6,6,13,14,15,South
1,15,30,20,True,True,4,3,2,3,5,6,6,12,13,14,South
1,14,30,20,True,True,4,3,2,3,5,6,6,11,12,13,South
1,13,30,20,True,True,4,3,2,3,5,6,6,10,11,12,South
1,12,30,20,True,True,4,3,2,3,5,6,6,9,10,11,South
1,11,30,20,True,True,4,3,2,3,5,6,6,8,9,10,South
1,10,30,20,True,True,4,3,2,3,5,6,6,7,8,9,South
1,9,30,20,True,True,4,3,2,3,5,6,6,6,7,8,South
1,8,30,20,True,True,4,3,2,3,5,6,6,5,6,7,South
1,7,30,20,True,True,4,3,2,3,5,6,6,4,5,6,South
1,6,30,20,True,True,4,3,2,3,5,6,6,3,4,5,South
1,5,30,20,True,True,4,3,2,3,5,6,6,2,3,6,South
1,4,30,20,True,True,4,3,2,3,5,6,6,1,2,7,South
1,3,30,20,True,True,3,1,2,3,5,6,6,-1,1,8,South
2,3,30,20,False,True,2,1,3,1,5,6,6,-1,-1,7,East
3,3,30,20,False,True,2,1,3,1,5,6,6,-1,-1,6,East
3,4,30,20,False,True,2,1,3,1,5,6,6,-1,-1,5,North
3,5,30,20,False,True,2,1,3,1,5,6,6,-1,-1,4,North
4,5,30,20,False,True,2,1,3,1,5,6,6,-1,-1,3,East
5,5,30,20,False,True,2,1,3,1,5,6,6,-1,-1,2,East
5,6,30,20,False,True,2,1,3,1,5,6,6,-1,-1,1,North
6,6,30,20,False,False,1,1,3,1,5,7,1,-1,-1,-1,East
7,6,30,20,False,False,1,1,3,1,5,7,1,-1,-1,-1,East
6,6,30,20,False,False,1,1,3,1,5,7,1,-1,-1,-1,West
5,6,30,20,False,False,1,1,3,1,5,7,1,-1,-1,-1,West
5,7,30,20,False,False,1,1,3,1,5,7,1,-1,-1,-1,North
5,8,30,20,False,False,1,1,3,1,5,7,1,-1,-1,-1,North
1,17,30,20,True,True,4,9,11,3,17,25,7,12,24,34,South
1,16,30,20,True,True,4,9,11,3,17,25,7,11,23,33,South
1,15,30,20,True,True,4,9,11,3,17,25,7,10,22,32,South
1,14,30,20,True,True,4,9,11,3,17,25,7,9,21,31,South
1,13,30,20,True,True,4,9,11,3,17,25,7,8,20,30,South
1,12,30,20,True,True,4,9,11,3,17,25,7,7,19,29,South
1,11,30,20,True,True,4,9,11,3,17,25,7,6,18,28,South
1,10,30,20,True,True,4,9,11,3,17,25,7,5,17,27,South
1,9,30,20,True,True,4,9,11,3,17,25,7,4,16,26,South
1,8,30,20,True,True,4,9,11,3,17,25,7,5,15,25,South
1,7,30,20,True,True,4,9,11,3,17,25,7,6,14,24,South
1,6,30,20,True,True,4,9,11,3,17,25,7,7,13,25,South
2,6,30,20,True,True,4,9,11,3,17,25,7,6,12,24,East
3,6,30,20,True,True,4,9,11,3,17,25,7,5,11,23,East
4,6,30,20,True,True,4,9,11,3,17,25,7,4,10,22,East
5,6,30,20,True,True,4,9,11,3,17,25,7,3,9,21,East
5,7,30,20,True,True,4,9,11,3,17,25,7,2,10,20,North
5,8,30,20,True,True,4,9,11,3,17,25,7,1,11,21,North
5,9,30,20,True,True,3,1,11,3,17,25,7,-1,12,22,North
5,8,30,20,True,True,3,1,11,3,17,25,7,-1,11,21,South
5,7,30,20,True,True,3,1,11,3,17,25,7,-1,10,20,South
5,6,30,20,True,True,3,1,11,3,17,25,7,-1,9,21,South
5,5,30,20,True,True,3,1,11,3,17,25,7,-1,8,22,South
5,4,30,20,True,True,3,1,11,3,17,25,7,-1,7,23,South
5,3,30,20,True,True,3,1,11,3,17,25,7,-1,6,24,South
6,3,30,20,True,True,3,1,11,3,17,25,7,-1,5,23,East
7,3,30,20,True,True,3,1,11,3,17,25,7,-1,4,22,East
8,3,30,20,True,True,3,1,11,3,17,25,7,-1,3,21,East
9,3,30,20,True,True,3,1,11,3,17,25,7,-1,2,20,East
10,3,30,20,True,True,3,1,11,3,17,25,7,-1,1,19,East
10,4,30,20,True,True,3,1,11,3,17,25,7,-1,2,18,North
10,5,30,20,True,True,3,1,11,3,17,25,7,-1,3,17,North
11,5,30,20,True,True,3,1,11,3,17,25,7,-1,2,16,East
11,4,30,20,True,True,3,1,11,3,17,25,7,-1,1,17,South
11,5,30,20,True,True,3,1,11,3,17,25,7,-1,2,16,North
11,6,30,20,True,True,3,1,11,3,17,25,7,-1,3,15,North
11,5,30,20,True,True,3,1,11,3,17,25,7,-1,2,16,South
11,3,30,20,False,True,2,1,3,1,17,25,7,-1,-1,18,South
11,4,30,20,False,True,2,1,3,1,17,25,7,-1,-1,17,North
11,5,30,20,False,True,2,1,3,1,17,25,7,-1,-1,16,North
11,6,30,20,False,True,2,1,3,1,17,25,7,-1,-1,15,North
11,7,30,20,False,True,2,1,3,1,17,25,7,-1,-1,14,North
11,8,30,20,False,True,2,1,3,1,17,25,7,-1,-1,15,North
11,9,30,20,False,True,2,1,3,1,17,25,7,-1,-1,16,North
11,10,30,20,False,True,2,1,3,1,17,25,7,-1,-1,17,North
11,11,30,20,False,True,2,1,3,1,17,25,7,-1,-1,18,North
11,12,30,20,False,True,2,1,3,1,17,25,7,-1,-1,19,North
12,12,30,20,False,True,2,1,3,1,17,25,7,-1,-1,18,East
13,12,30,20,False,True,2,1,3,1,17,25,7,-1,-1,17,East
13,11,30,20,False,True,2,1,3,1,17,25,7,-1,-1,16,South
13,10,30,20,False,True,2,1,3,1,17,25,7,-1,-1,15,South
13,9,30,20,False,True,2,1,3,1,17,25,7,-1,-1,14,South
13,8,30,20,False,True,2,1,3,1,17,25,7,-1,-1,13,South
13,7,30,20,False,True,2,1,3,1,17,25,7,-1,-1,12,South
14,7,30,20,False,True,2,1,3,1,17,25,7,-1,-1,11,East
13,7,30,20,False,True,2,1,3,1,17,25,7,-1,-1,12,West
13,6,30,20,False,True,2,1,3,1,17,25,7,-1,-1,13,South
13,5,30,20,False,True,2,1,3,1,17,25,7,-1,-1,14,South
14,5,30,20,False,True,2,1,3,1,17,25,7,-1,-1,13,East
14,6,30,20,False,True,2,1,3,1,17,25,7,-1,-1,12,North
14,7,30,20,False,True,2,1,3,1,17,25,7,-1,-1,11,North
14,8,30,20,False,True,2,1,3,1,17,25,7,-1,-1,12,North
14,9,30,20,False,True,2,1,3,1,17,25,7,-1,-1,13,North
14,10,30,20,False,True,2,1,3,1,17,25,7,-1,-1,14,North
14,9,30,20,False,True,2,1,3,1,17,25,7,-1,-1,13,South
14,8,30,20,False,True,2,1,3,1,17,25,7,-1,-1,12,South
14,7,30,20,False,True,2,1,3,1,17,25,7,-1,-1,11,South
14,6,30,20,False,True,2,1,3,1,17,25,7,-1,-1,12,South
15,6,30,20,False,True,2,1,3,1,17,25,7,-1,-1,11,East
16,6,30,20,False,True,2,1,3,1,17,25,7,-1,-1,10,East
17,6,30,20,False,True,1,1,3,1,5,25,7,-1,-1,9,East
18,6,30,20,False,True,1,1,3,1,5,25,7,-1,-1,8,East
19,6,30,20,False,True,1,1,3,1,5,25,7,-1,-1,7,East
20,6,30,20,False,True,1,1,3,1,5,25,7,-1,-1,6,East
21,6,30,20,False,True,1,1,3,1,5,25,7,-1,-1,5,East
22,6,30,20,False,True,1,1,3,1,5,25,7,-1,-1,4,East
23,6,30,20,False,True,1,1,3,1,5,25,7,-1,-1,3,East
24,6,30,20,False,True,1,1,3,1,5,25,7,-1,-1,2,East
25,6,30,20,False,True,1,1,3,1,5,25,7,-1,-1,1,East
1,17,30,20,True,True,4,9,10,3,17,25,8,12,23,33,South
1,16,30,20,True,True,4,10,10,4,18,24,8,10,21,31,South
