@relation pacman_info-weka.filters.unsupervised.attribute.Remove-R8

@attribute pacmanX numeric
@attribute pacmanY numeric
@attribute livingGhosts numeric
@attribute minGhost numeric
@attribute score numeric
@attribute pacmanX2 numeric
@attribute pacmanY2 numeric
@attribute score2 numeric
@attribute class {Stop,North,South,East,West}

@data
1,18,4,13,0,1,18,-1,Stop
1,18,4,13,-1,1,18,-2,Stop
1,18,4,14,-2,1,18,-3,Stop
1,18,4,15,-3,1,18,-4,Stop
1,18,4,14,-4,1,18,-5,Stop
1,18,4,15,-5,1,17,-6,Stop
1,17,4,13,-6,1,16,-7,South
1,16,4,12,-7,1,15,-8,South
1,15,4,10,-8,1,14,-9,South
1,14,4,10,-9,1,13,-10,South
1,13,4,8,-10,1,12,-11,South
1,12,4,8,-11,1,11,-12,South
1,11,4,6,-12,1,10,-13,South
1,10,4,5,-13,1,9,-14,South
1,9,4,4,-14,1,8,-15,South
1,8,4,4,-15,1,7,-16,South
1,7,4,3,-16,1,6,-17,South
1,6,4,2,-17,1,5,-18,South
1,5,4,2,-18,2,5,-19,South
2,5,4,2,-19,3,5,-20,East
3,5,3,2,180,4,5,179,East
4,5,3,2,179,5,5,178,East
5,5,3,2,178,5,5,177,East
5,5,3,3,177,5,6,176,East
5,6,3,1,176,4,6,375,North
4,6,2,5,375,4,5,374,West
4,5,2,3,374,4,4,373,South
4,4,2,2,373,4,3,372,South
4,3,2,1,372,3,3,571,South
3,3,1,3,571,2,3,570,West
2,3,1,3,570,3,3,569,West
3,3,1,1,569,4,3,768,East
1,18,4,13,0,1,18,-1,Stop
1,18,4,13,-1,1,17,-2,Stop
1,17,4,12,-2,1,16,-3,South
1,16,4,11,-3,1,15,-4,South
1,15,4,10,-4,1,14,-5,South
1,14,4,9,-5,1,13,-6,South
1,13,4,8,-6,1,12,-7,South
1,12,4,7,-7,1,11,-8,South
1,11,4,6,-8,1,10,-9,South
1,10,4,5,-9,1,9,-10,South
1,9,4,4,-10,1,8,-11,South
1,8,4,5,-11,1,7,-12,South
1,7,4,4,-12,1,6,-13,South
1,6,4,3,-13,1,5,-14,South
1,5,4,2,-14,1,4,-15,South
1,4,4,1,-15,2,4,-16,South
2,4,4,1,-16,2,3,183,East
2,3,3,1,183,1,3,382,South
1,3,2,8,382,1,4,381,West
1,4,2,7,381,2,4,380,North
2,4,2,6,380,3,4,379,East
3,4,2,5,379,4,4,378,East
4,4,2,4,378,5,4,377,East
5,4,2,3,377,5,5,376,East
5,5,2,2,376,5,6,375,North
5,6,2,1,375,6,6,574,North
6,6,1,4,574,6,7,573,East
6,7,1,3,573,6,8,572,North
6,8,1,2,572,6,9,571,North
6,9,1,1,571,5,9,770,North
1,18,4,13,0,1,18,-1,Stop
1,18,4,13,-1,1,18,-2,Stop
1,18,4,13,-2,1,17,-3,Stop
1,17,4,12,-3,1,16,-4,South
1,16,4,11,-4,1,15,-5,South
1,15,4,10,-5,1,14,-6,South
1,14,4,9,-6,1,13,-7,South
1,13,4,8,-7,1,12,-8,South
1,12,4,7,-8,1,11,-9,South
1,11,4,6,-9,1,10,-10,South
1,10,4,5,-10,1,9,-11,South
1,9,4,4,-11,1,8,-12,South
1,8,4,5,-12,1,7,-13,South
1,7,4,6,-13,1,6,-14,South
1,6,4,7,-14,2,6,-15,South
2,6,4,6,-15,3,6,-16,East
3,6,4,5,-16,3,7,-17,East
3,7,4,4,-17,3,8,-18,North
3,8,4,3,-18,3,9,-19,North
3,9,4,2,-19,4,9,-20,North
4,9,4,1,-20,5,9,179,East
5,9,3,12,179,6,9,178,East
6,9,3,11,178,6,8,177,East
6,8,3,10,177,6,7,176,South
6,7,3,9,176,6,6,175,South
6,6,3,8,175,7,6,174,South
7,6,3,7,174,8,6,173,East
8,6,3,6,173,9,6,172,East
9,6,3,5,172,10,6,171,East
10,6,3,4,171,10,5,170,East
10,5,3,3,170,10,4,169,South
10,4,3,2,169,10,3,168,South
10,3,3,1,168,10,4,167,South
10,4,3,2,167,11,4,166,North
11,4,3,1,166,11,3,365,East
11,3,2,9,365,11,4,364,South
11,4,2,8,364,11,5,363,North
11,5,2,7,363,11,6,362,North
11,6,2,6,362,11,7,361,North
11,7,2,7,361,11,8,360,North
11,8,2,8,360,11,9,359,North
11,9,2,9,359,11,10,358,North
11,10,2,10,358,11,11,357,North
11,11,2,11,357,11,12,356,North
11,12,2,12,356,12,12,355,North
12,12,2,11,355,13,12,354,East
13,12,2,10,354,13,11,353,East
13,11,2,9,353,13,10,352,South
13,10,2,8,352,13,9,351,South
13,9,2,7,351,13,8,350,South
13,8,2,6,350,13,7,349,South
13,7,2,5,349,13,6,348,South
13,6,2,4,348,14,6,347,South
14,6,2,3,347,15,6,346,East
15,6,2,2,346,16,6,345,East
16,6,2,1,345,17,6,544,East
17,6,1,9,544,18,6,543,East
18,6,1,8,543,19,6,542,East
19,6,1,7,542,20,6,541,East
20,6,1,6,541,21,6,540,East
21,6,1,5,540,22,6,539,East
22,6,1,4,539,23,6,538,East
23,6,1,3,538,24,6,537,East
24,6,1,2,537,25,6,536,East
25,6,1,1,536,25,7,735,East
1,18,4,13,0,1,18,-1,Stop
1,18,4,14,-1,1,17,-2,Stop
1,17,4,13,-2,1,16,-3,South
1,16,4,13,-3,1,15,-4,South
1,15,4,12,-4,1,14,-5,South
1,14,4,12,-5,1,13,-6,South
1,13,4,12,-6,1,12,-7,South
1,12,4,12,-7,1,11,-8,South
1,11,4,10,-8,1,10,-9,South
1,10,4,10,-9,1,9,-10,South
1,9,4,8,-10,1,8,-11,South
1,8,4,8,-11,1,7,-12,South
1,7,4,6,-12,1,6,-13,South
1,6,4,6,-13,2,6,-14,South
2,6,4,4,-14,3,6,-15,East
3,6,4,4,-15,4,6,-16,East
4,6,4,2,-16,5,6,-17,East
5,6,4,4,-17,5,7,-18,East
5,7,4,2,-18,4,7,-19,North
4,7,4,2,-19,4,8,-20,West
4,8,3,7,180,3,8,179,North
3,8,3,8,179,3,7,178,West
3,7,3,8,178,4,7,177,South
4,7,3,6,177,5,7,176,East
5,7,3,5,176,5,6,175,East
5,6,3,4,175,6,6,174,South
6,6,3,4,174,7,6,173,East
7,6,3,2,173,8,6,172,East
8,6,3,2,172,9,6,171,East
9,6,3,2,171,9,7,170,East
9,7,3,2,170,9,8,169,North
9,8,3,4,169,9,7,168,North
9,7,3,4,168,9,6,167,South
9,6,3,2,167,9,5,166,South
9,5,3,3,166,9,6,165,South
9,6,3,3,165,10,6,164,North
10,6,3,3,164,11,6,163,East
11,6,3,3,163,11,7,162,East
11,7,3,3,162,10,7,161,North
10,7,3,3,161,10,8,160,West
10,8,3,1,160,10,9,159,North
10,9,3,1,159,9,9,158,North
9,9,3,2,158,9,8,157,West
9,8,3,2,157,10,8,156,South
10,8,3,2,156,10,7,155,East
10,7,3,1,155,10,6,354,South
10,6,2,12,354,10,7,353,South
10,7,2,14,353,10,8,352,North
10,8,2,14,352,10,9,351,North
10,9,2,14,351,10,10,350,North
10,10,2,16,350,10,11,349,North
10,11,2,17,349,10,12,348,North
10,12,2,18,348,11,12,347,North
11,12,2,18,347,12,12,346,East
12,12,2,16,346,13,12,345,East
13,12,2,14,345,13,11,344,East
13,11,2,14,344,13,10,343,South
13,10,2,12,343,13,9,342,South
13,9,2,11,342,13,8,341,South
13,8,2,9,341,13,7,340,South
13,7,2,7,340,13,6,339,South
13,6,2,6,339,13,5,338,South
13,5,2,6,338,14,5,337,South
14,5,2,4,337,14,5,336,East
14,5,2,3,336,14,4,335,East
14,4,2,3,335,15,4,334,South
15,4,2,3,334,16,4,333,East
16,4,2,1,333,16,3,332,East
16,3,2,3,332,17,3,331,South
17,3,2,3,331,17,4,330,East
17,4,2,3,330,18,4,329,North
18,4,2,2,329,19,4,328,East
19,4,2,2,328,20,4,327,East
20,4,1,6,527,21,4,526,East
21,4,1,5,526,22,4,525,East
22,4,1,4,525,23,4,524,East
