@relation pacman_info-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute x numeric
@attribute y numeric
@attribute pacmanX numeric
@attribute pacmanY numeric
@attribute livingGhosts numeric
@attribute minGhost numeric
@attribute score numeric
@attribute class {Stop,North,South,East,West}

@data
1,1,0,1,1,0.545455,0.053922,Stop
1,1,0,1,1,0.590909,0.052288,Stop
1,1,0,1,1,0.545455,0.050654,Stop
1,1,0,1,1,0.5,0.04902,Stop
1,1,0,0.9375,1,0.409091,0.047386,South
1,1,0,0.875,1,0.409091,0.045752,South
1,1,0,0.8125,1,0.409091,0.044118,South
1,1,0,0.75,1,0.363636,0.042484,South
1,1,0,0.6875,1,0.318182,0.04085,South
1,1,0,0.625,1,0.318182,0.039216,South
1,1,0,0.5625,1,0.272727,0.037582,South
1,1,0,0.5,1,0.181818,0.035948,South
1,1,0,0.4375,1,0.136364,0.034314,South
1,1,0,0.375,1,0.090909,0.03268,South
1,1,0,0.3125,1,0.045455,0.031046,South
1,1,0,0.25,1,0.045455,0.029412,South
1,1,0.037037,0.25,1,0,0.027778,East
1,1,0.074074,0.25,0.666667,0.045455,0.352941,East
1,1,0.074074,0.3125,0.666667,0.045455,0.351307,North
1,1,0.074074,0.375,0.666667,0,0.349673,North
1,1,0.111111,0.375,0.333333,0.045455,0.674837,East
1,1,0.148148,0.375,0,0.272727,1,East
1,1,0.148148,0.3125,0,0.227273,0.998366,South
1,1,0.148148,0.25,0,0.136364,0.996732,South
1,1,0.148148,0.1875,0,0.045455,0.995098,South
1,1,0.111111,0.1875,0,0.045455,0.993464,West
1,1,0.074074,0.1875,0,0,0.99183,West
1,1,0.074074,0.125,0,0.045455,0.990196,South
1,1,0.074074,0.0625,0,0.136364,0.988562,South
1,1,0.074074,0.125,0,0.090909,0.986928,North
1,1,0.074074,0.1875,0,0,0.985294,North
1,1,0.074074,0.25,0,0,0.98366,North
1,1,0,1,1,0.545455,0.053922,Stop
1,1,0,1,1,0.590909,0.052288,Stop
1,1,0,1,1,0.636364,0.050654,Stop
1,1,0,1,1,0.590909,0.04902,Stop
1,1,0,0.9375,1,0.545455,0.047386,South
1,1,0,0.875,1,0.545455,0.045752,South
1,1,0,0.8125,1,0.5,0.044118,South
1,1,0,0.75,1,0.409091,0.042484,South
1,1,0,0.6875,1,0.318182,0.04085,South
1,1,0,0.625,1,0.227273,0.039216,South
1,1,0,0.5625,1,0.136364,0.037582,South
1,1,0,0.5,1,0.136364,0.035948,South
1,1,0,0.4375,1,0.136364,0.034314,South
1,1,0,0.375,1,0.136364,0.03268,South
1,1,0,0.3125,1,0.045455,0.031046,South
1,1,0,0.25,1,0.045455,0.029412,South
1,1,0,0.1875,0.666667,0,0.354575,South
1,1,0.037037,0.1875,0.333333,0.045455,0.679739,East
1,1,0.074074,0.1875,0.333333,0.045455,0.678105,East
1,1,0.074074,0.25,0.333333,0.045455,0.676471,North
1,1,0.074074,0.3125,0.333333,0.045455,0.674837,North
1,1,0.074074,0.375,0.333333,0.136364,0.673203,North
1,1,0.074074,0.4375,0.333333,0.227273,0.671569,North
1,1,0.074074,0.375,0.333333,0.136364,0.669935,South
1,1,0.074074,0.3125,0.333333,0.045455,0.668301,South
1,1,0.074074,0.25,0.333333,0.045455,0.666667,South
1,1,0.037037,0.25,0.333333,0,0.665033,West
1,1,0,0.25,0,0.5,0.990196,West
1,1,0,0.25,0,0.454545,0.988562,West
1,1,0.037037,0.25,0,0.454545,0.986928,East
1,1,0.074074,0.25,0,0.454545,0.985294,East
1,1,0.111111,0.25,0,0.363636,0.98366,East
1,1,0.148148,0.25,0,0.363636,0.982026,East
1,1,0.185185,0.25,0,0.272727,0.980392,East
1,1,0.222222,0.25,0,0.227273,0.978758,East
1,1,0.259259,0.25,0,0.136364,0.977124,East
1,1,0.296296,0.25,0,0.045455,0.97549,East
1,1,0.296296,0.1875,0,0.045455,0.973856,South
1,1,0.296296,0.125,0,0.090909,0.972222,South
1,1,0.296296,0.0625,0,0.181818,0.970588,South
1,1,0.333333,0.0625,0,0.181818,0.968954,East
1,1,0.333333,0.125,0,0.181818,0.96732,North
1,1,0.333333,0.1875,0,0.136364,0.965686,North
1,1,0.333333,0.25,0,0.090909,0.964052,North
1,1,0.296296,0.25,0,0.090909,0.962418,West
1,1,0.259259,0.25,0,0.045455,0.960784,West
1,1,0.259259,0.3125,0,0,0.95915,North
1,1,0,1,1,0.545455,0.053922,Stop
1,1,0,1,1,0.5,0.052288,Stop
1,1,0,1,1,0.454545,0.050654,Stop
1,1,0,1,1,0.5,0.04902,Stop
1,1,0,0.9375,1,0.454545,0.047386,South
1,1,0,0.875,1,0.454545,0.045752,South
1,1,0,0.8125,1,0.454545,0.044118,South
1,1,0,0.75,1,0.454545,0.042484,South
1,1,0,0.6875,1,0.409091,0.04085,South
1,1,0,0.625,1,0.318182,0.039216,South
1,1,0,0.5625,1,0.272727,0.037582,South
1,1,0,0.5,1,0.181818,0.035948,South
1,1,0,0.4375,1,0.181818,0.034314,South
1,1,0,0.375,1,0.227273,0.03268,South
1,1,0,0.3125,1,0.272727,0.031046,South
1,1,0,0.25,1,0.272727,0.029412,South
1,1,0.037037,0.25,1,0.181818,0.027778,East
1,1,0.074074,0.25,1,0.181818,0.026144,East
1,1,0.074074,0.3125,1,0.181818,0.02451,North
1,1,0.074074,0.375,1,0.090909,0.022876,North
1,1,0.074074,0.4375,1,0.045455,0.021242,North
1,1,0.111111,0.4375,1,0,0.019608,East
1,1,0.148148,0.4375,1,0.090909,0.017974,East
1,1,0.185185,0.4375,1,0.090909,0.01634,East
1,1,0.185185,0.5,1,0,0.014706,North
1,1,0.148148,0.5,0.666667,0.454545,0.339869,West
1,1,0.111111,0.5,0.666667,0.454545,0.338235,West
1,1,0.111111,0.4375,0.666667,0.363636,0.336601,South
1,1,0.111111,0.375,0.666667,0.272727,0.334967,South
1,1,0.111111,0.3125,0.666667,0.272727,0.333333,South
1,1,0.148148,0.3125,0.666667,0.181818,0.331699,East
1,1,0.185185,0.3125,0.666667,0.090909,0.330065,East
