@RELATION pacman_info
   @ATTRIBUTE pacmanX NUMERIC
   @ATTRIBUTE pacmanY NUMERIC
   @ATTRIBUTE livingGhosts NUMERIC
   @ATTRIBUTE minGhost NUMERIC
   @ATTRIBUTE score NUMERIC
   @ATTRIBUTE pacmanX2 NUMERIC
   @ATTRIBUTE pacmanY2 NUMERIC
   @ATTRIBUTE livingGhosts2 NUMERIC
   @ATTRIBUTE score2 NUMERIC
   @ATTRIBUTE class {Stop, North, South, East, West}

@data
1,6,4,7,0,1,5,4,-1,Stop
1,5,4,5,-1,1,4,4,-2,South
1,4,4,5,-2,1,3,4,-3,South
1,3,4,5,-3,1,4,4,-4,South
1,4,4,4,-4,2,4,4,-5,North
2,4,4,3,-5,3,4,4,-6,East
3,4,4,3,-6,3,3,4,-7,East
3,3,4,3,-7,3,4,4,-8,South
3,4,4,1,-8,4,4,3,191,North
4,4,3,2,191,4,3,3,190,East
4,3,3,2,190,5,3,3,189,South
5,3,2,7,389,5,4,2,388,East
5,4,2,7,388,5,3,2,387,North
5,3,2,5,387,6,3,2,386,South
6,3,2,5,386,7,3,2,385,East
7,3,2,5,385,8,3,2,384,East
8,3,2,4,384,9,3,2,383,East
9,3,2,4,383,10,3,2,382,East
10,3,2,3,382,11,3,2,381,East
11,3,2,3,381,12,3,2,380,East
12,3,2,2,380,13,3,2,379,East
13,3,2,2,379,14,3,2,378,East
14,3,2,2,378,14,4,2,377,East
14,4,2,1,377,15,4,1,576,North
15,4,1,3,576,14,4,1,575,East
14,4,1,2,575,13,4,1,574,West
13,4,1,2,574,12,4,1,573,West
12,4,1,2,573,11,4,1,572,West
11,4,1,2,572,10,4,1,571,West
10,4,1,2,571,10,3,1,570,West
10,3,1,2,570,9,3,1,569,South
9,3,1,2,569,8,3,1,568,West
8,3,1,1,568,7,3,0,767,West
1,6,4,7,0,1,5,4,-1,Stop
1,5,4,6,-1,1,4,4,-2,South
1,4,4,6,-2,2,4,4,-3,South
2,4,4,6,-3,2,3,4,-4,East
2,3,4,6,-4,2,4,4,-5,South
2,4,4,4,-5,3,4,4,-6,North
3,4,4,3,-6,4,4,4,-7,East
4,4,4,3,-7,4,3,4,-8,East
4,3,4,1,-8,5,3,3,191,South
5,3,3,6,191,5,4,3,190,East
5,4,3,6,190,6,4,3,189,North
6,4,3,6,189,7,4,3,188,East
7,4,3,4,188,7,5,3,187,East
7,5,3,3,187,7,6,3,186,North
7,6,3,1,186,8,6,2,385,North
8,6,2,6,385,9,6,2,384,East
9,6,2,6,384,10,6,2,383,East
10,6,2,4,383,11,6,2,382,East
11,6,2,4,382,12,6,2,381,East
12,6,2,3,381,13,6,2,380,East
13,6,2,3,380,14,6,2,379,East
14,6,2,2,379,14,5,2,378,East
14,5,2,2,378,14,4,2,377,South
14,4,2,2,377,15,4,2,376,South
15,4,2,2,376,15,3,2,375,East
15,3,2,2,375,14,3,2,374,South
14,3,2,2,374,14,4,2,373,West
14,4,2,1,373,14,5,1,572,North
14,5,1,4,572,14,4,1,571,North
14,4,1,2,571,14,3,1,570,South
14,3,1,2,570,13,3,1,569,South
13,3,1,1,569,12,3,0,768,West
12,10,4,3,0,12,11,4,-1,Stop
12,11,4,2,-1,12,12,4,-2,North
12,12,4,2,-2,13,12,4,-3,North
13,12,4,2,-3,13,11,4,-4,East
13,11,4,2,-4,13,10,4,-5,South
13,10,4,2,-5,13,9,4,-6,South
13,9,4,2,-6,14,9,4,-7,South
14,9,4,2,-7,14,8,4,-8,East
14,8,4,2,-8,13,8,4,-9,South
13,8,4,2,-9,13,9,4,-10,West
13,9,4,2,-10,12,9,4,-11,North
12,9,4,1,-11,12,10,3,188,West
12,10,3,3,188,11,10,3,187,North
11,10,3,2,187,10,10,3,186,West
10,10,3,2,186,10,9,3,185,West
10,9,3,2,185,9,9,3,184,South
9,9,2,7,384,9,8,2,383,West
9,8,2,7,383,9,7,2,382,South
9,7,2,5,382,9,6,2,381,South
9,6,2,4,381,9,5,2,380,South
9,5,2,4,380,9,4,2,379,South
9,4,2,4,379,10,4,2,378,South
10,4,2,4,378,10,3,2,377,East
10,3,2,4,377,10,4,2,376,South
10,4,2,4,376,10,3,2,375,North
10,3,2,3,375,11,3,2,374,South
11,3,2,2,374,12,3,2,373,East
12,3,2,1,373,13,3,1,572,East
13,3,1,15,572,13,4,1,571,East
13,4,1,13,571,13,5,1,570,North
13,5,1,13,570,13,6,1,569,North
13,6,1,13,569,13,7,1,568,North
13,7,1,12,568,12,7,1,567,North
12,7,1,11,567,11,7,1,566,West
11,7,1,10,566,10,7,1,565,West
10,7,1,10,565,10,6,1,564,West
10,6,1,8,564,9,6,1,563,South
9,6,1,8,563,8,6,1,562,West
8,6,1,8,562,8,5,1,561,West
8,5,1,8,561,8,4,1,560,South
8,4,1,6,560,7,4,1,559,South
7,4,1,6,559,6,4,1,558,West
6,4,1,4,558,5,4,1,557,West
5,4,1,4,557,5,3,1,556,West
5,3,1,2,556,4,3,1,555,South
4,3,1,1,555,3,3,0,754,West
12,10,4,3,0,12,11,4,-1,Stop
12,11,4,2,-1,12,12,4,-2,North
12,12,4,1,-2,13,12,3,197,North
13,12,3,6,197,13,11,3,196,East
13,11,3,5,196,13,10,3,195,South
13,10,3,4,195,13,9,3,194,South
13,9,3,3,194,13,8,3,193,South
13,8,3,2,193,13,7,3,192,South
13,7,3,1,192,13,6,2,391,South
13,6,2,8,391,12,6,2,390,South
12,6,2,7,390,11,6,2,389,West
11,6,2,6,389,10,6,2,388,West
10,6,2,5,388,9,6,2,387,West
9,6,2,4,387,8,6,2,386,West
8,6,2,3,386,7,6,2,385,West
7,6,2,2,385,6,6,2,384,West
6,6,2,1,384,5,6,1,583,West
5,6,1,6,583,5,7,1,582,West
5,7,1,5,582,5,8,1,581,North
5,8,1,4,581,5,9,1,580,North
5,9,1,3,580,6,9,1,579,North
6,9,1,4,579,6,10,1,578,East
6,10,1,3,578,6,11,1,577,North
6,11,1,2,577,6,12,1,576,North
6,12,1,1,576,5,12,0,775,North
1,11,4,7,0,1,10,4,-1,Stop
1,10,4,6,-1,1,9,4,-2,South
1,9,4,4,-2,2,9,4,-3,South
2,9,4,4,-3,2,8,4,-4,East
2,8,4,3,-4,3,8,4,-5,South
3,8,4,3,-5,3,7,4,-6,East
3,7,4,2,-6,4,7,4,-7,South
4,7,4,2,-7,4,8,4,-8,East
4,8,4,1,-8,5,8,3,191,North
5,8,3,6,191,5,9,3,190,East
5,9,3,4,190,5,10,3,189,North
5,10,3,2,189,5,11,3,188,North
5,11,3,2,188,6,11,3,187,North
6,11,3,2,187,7,11,3,186,East
7,11,3,1,186,8,11,2,385,East
8,11,2,5,385,9,11,2,384,East
9,11,2,5,384,10,11,2,383,East
10,11,2,5,383,11,11,2,382,East
11,11,2,5,382,12,11,2,381,East
12,11,2,4,381,13,11,2,380,East
13,11,2,2,380,14,11,2,379,East
14,11,2,1,379,15,11,1,578,East
15,11,1,16,578,14,11,1,577,East
14,11,1,14,577,14,10,1,676,West
14,10,1,14,576,14,9,1,575,South
14,9,1,13,575,14,8,1,574,South
14,8,1,13,574,14,7,1,573,South
14,7,1,13,573,14,6,1,572,South
14,6,1,13,572,14,5,1,571,South
14,5,1,13,571,14,4,1,570,South
14,4,1,12,570,14,3,1,569,South
14,3,1,10,569,13,3,1,568,South
13,3,1,10,568,13,4,1,567,West
13,4,1,9,567,13,4,1,566,North
13,4,1,10,566,13,5,1,565,North
13,5,1,10,565,13,4,1,564,North
13,4,1,10,564,13,4,1,563,South
13,4,1,11,563,13,3,1,562,South
13,3,1,11,562,13,4,1,561,South
13,4,1,11,561,13,5,1,560,North
13,5,1,11,560,12,5,1,559,North
12,5,1,10,559,11,5,1,558,West
11,5,1,9,558,10,5,1,557,West
10,5,1,8,557,9,5,1,556,West
9,5,1,7,556,8,5,1,555,West
8,5,1,7,555,7,5,1,554,West
7,5,1,7,554,7,4,1,553,West
7,4,1,7,553,7,5,1,552,South
7,5,1,7,552,7,4,1,551,North
7,4,1,7,551,7,5,1,550,South
7,5,1,6,550,6,5,1,549,North
6,5,1,6,549,6,4,1,548,West
6,4,1,6,548,6,5,1,547,South
6,5,1,4,547,5,5,1,546,North
5,5,1,4,546,5,4,1,545,West
5,4,1,2,545,4,4,1,544,South
4,4,1,2,544,4,3,1,543,West
4,3,1,1,543,3,3,0,742,South
1,11,4,7,0,1,10,4,-1,Stop
1,10,4,7,-1,1,9,4,-2,South
1,9,4,5,-2,2,9,4,-3,South
2,9,4,3,-3,3,9,4,-4,East
3,9,4,2,-4,4,9,4,-5,East
4,9,4,2,-5,4,8,4,-6,East
4,8,4,1,-6,5,8,3,193,South
5,8,3,5,193,5,7,3,192,East
5,7,3,5,192,4,7,3,191,South
4,7,3,3,191,3,7,3,190,West
3,7,3,3,190,4,7,3,189,West
4,7,3,5,189,3,7,3,188,East
3,7,3,3,188,4,7,3,187,West
4,7,3,3,187,3,7,3,186,East
3,7,3,3,186,4,7,3,185,West
4,7,3,3,185,3,7,3,184,East
3,7,3,3,184,2,7,3,183,West
2,7,3,3,183,3,7,3,182,West
3,7,3,3,182,2,7,3,181,East
2,7,3,3,181,3,7,3,180,West
3,7,3,4,180,2,7,3,179,East
2,7,3,2,179,3,7,3,178,West
3,7,3,3,178,2,7,3,177,East
2,7,3,2,177,3,7,3,176,West
3,7,3,4,176,2,7,3,175,East
2,7,3,3,175,3,7,3,174,West
3,7,3,5,174,2,7,3,173,East
2,7,3,3,173,3,7,3,172,West
3,7,3,5,172,2,7,3,171,East
2,7,3,3,171,1,7,3,170,West
1,7,3,2,170,1,6,3,169,West
1,6,3,2,169,1,5,3,168,South
1,5,2,15,368,1,4,2,367,South
1,4,2,13,367,2,4,2,366,South
2,4,2,13,366,3,4,2,365,East
3,4,2,13,365,4,4,2,364,East
4,4,2,11,364,5,4,2,363,East
5,4,2,10,363,5,5,2,362,East
5,5,2,10,362,6,5,2,361,North
6,5,2,9,361,7,5,2,360,East
7,5,2,7,360,7,4,2,359,East
7,4,2,9,359,7,5,2,358,South
7,5,2,7,358,8,5,2,357,North
8,5,2,5,357,8,6,2,356,East
8,6,2,3,356,8,7,2,355,North
8,7,2,3,355,8,8,2,354,North
8,8,2,3,354,8,9,2,353,North
8,9,2,3,353,9,9,2,352,North
9,9,2,3,352,10,9,2,351,East
10,9,2,1,351,10,10,1,550,East
10,10,1,10,550,10,9,1,549,North
10,9,1,10,549,10,8,1,548,South
10,8,1,9,548,10,7,1,547,South
10,7,1,7,547,10,6,1,646,South
10,6,1,7,546,10,5,1,545,South
10,5,1,6,545,10,4,1,544,South
10,4,1,6,544,11,4,1,543,South
11,4,1,4,543,11,4,1,542,East
11,4,1,4,542,11,4,1,541,East
11,4,1,5,541,11,4,1,540,East
11,4,1,6,540,11,4,1,539,East
11,4,1,7,539,11,3,1,538,East
11,3,1,7,538,11,3,1,537,South
11,3,1,7,537,11,4,1,536,South
11,4,1,7,536,11,4,1,535,North
11,4,1,6,535,11,5,1,534,North
11,5,1,5,534,12,5,1,533,North
12,5,1,5,533,13,5,1,532,East
13,5,1,5,532,14,5,1,531,East
14,5,1,4,531,15,5,1,530,East
15,5,1,4,530,16,5,1,529,East
16,5,1,2,529,17,5,1,528,East
17,5,1,2,528,18,5,1,527,East
1,18,4,13,0,1,17,4,-1,Stop
1,17,4,11,-1,1,16,4,-2,South
1,16,4,9,-2,1,15,4,-3,South
1,15,4,9,-3,1,14,4,-4,South
1,14,4,7,-4,1,13,4,-5,South
1,13,4,5,-5,1,12,4,-6,South
1,12,4,4,-6,1,11,4,-7,South
1,11,4,3,-7,1,10,4,-8,South
1,10,4,3,-8,1,9,4,-9,South
1,9,4,3,-9,1,9,4,-10,South
1,9,4,2,-10,1,9,4,-11,South
1,9,4,2,-11,1,9,4,-12,South
1,9,4,3,-12,1,8,4,-13,South
1,8,4,3,-13,1,7,4,-14,South
1,7,4,3,-14,1,6,4,-15,South
1,6,4,1,-15,1,5,4,-16,South
1,5,4,3,-16,1,6,4,-17,South
1,6,4,3,-17,1,7,4,-18,North
1,7,4,3,-18,1,6,4,-19,North
1,6,4,1,-19,2,6,3,180,South
2,6,3,3,180,3,6,3,179,East
3,6,3,2,179,3,5,3,178,East
3,5,3,1,178,4,5,2,377,South
4,5,2,2,377,4,4,2,376,East
4,4,2,1,376,5,4,1,575,South
5,4,1,4,575,5,5,1,574,East
5,5,1,2,574,5,6,1,573,North
1,18,4,13,0,1,17,4,-1,Stop
1,17,4,13,-1,1,16,4,-2,South
1,16,4,13,-2,1,15,4,-3,South
1,15,4,11,-3,1,14,4,-4,South
1,14,4,9,-4,1,13,4,-5,South
1,13,4,8,-5,1,12,4,-6,South
1,12,4,7,-6,1,11,4,-7,South
1,11,4,5,-7,1,10,4,-8,South
1,10,4,5,-8,1,10,4,-9,South
1,10,4,6,-9,1,9,4,-10,South
1,9,4,4,-10,1,8,4,-11,South
1,8,4,2,-11,1,7,4,-12,South
1,7,4,1,-12,1,6,3,187,South
1,6,3,3,187,1,5,3,186,South
1,5,3,2,186,2,5,3,185,South
2,5,3,1,185,2,6,2,384,East
2,6,2,2,384,2,5,2,383,North
2,5,2,2,383,2,4,2,382,South
2,4,1,10,582,2,5,1,581,South
2,5,1,9,581,2,6,1,580,North
