@RELATION pacman_info
   @ATTRIBUTE pacmanX NUMERIC
   @ATTRIBUTE pacmanY NUMERIC
   @ATTRIBUTE livingGhosts NUMERIC
   @ATTRIBUTE minGhost NUMERIC
   @ATTRIBUTE class {Stop, North, South, East, West}

@data
1,11,4,7,Stop
1,11,4,6,Stop
1,11,4,5,Stop
1,11,4,4,Stop
1,11,4,5,Stop
1,11,4,6,Stop
1,11,4,5,Stop
1,11,4,6,Stop
2,11,4,4,East
3,11,4,2,East
4,11,4,1,East
5,11,3,3,East
5,10,3,2,South
5,9,3,2,South
6,9,2,5,East
7,9,2,7,East
7,8,2,5,South
7,7,2,3,South
8,7,2,5,East
9,7,2,5,East
9,6,2,5,South
9,5,2,4,South
10,5,2,5,East
11,5,2,5,East
12,5,2,5,East
13,5,2,4,East
14,5,2,2,East
15,5,1,12,East
16,5,1,12,East
17,5,1,13,East
17,4,1,15,South
18,4,1,15,East
18,5,1,15,North
18,6,1,17,North
18,7,1,19,North
17,7,1,19,West
16,7,1,18,West
15,7,1,16,West
14,7,1,15,West
14,8,1,15,North
14,9,1,17,North
14,10,1,19,North
14,11,1,20,North
13,11,1,18,West
12,11,1,17,West
11,11,1,15,West
10,11,1,14,West
10,10,1,12,South
10,9,1,10,South
10,8,1,10,South
10,7,1,8,South
10,6,1,8,South
10,5,1,6,South
10,4,1,6,South
10,3,1,8,South
9,3,1,7,West
8,3,1,5,West
7,3,1,3,West
6,3,1,1,West
1,11,4,7,Stop
1,11,4,6,Stop
1,11,4,5,Stop
1,10,4,5,South
1,9,4,5,South
1,8,4,3,South
2,8,4,1,East
3,8,4,1,East
4,8,4,2,East
5,8,4,3,East
6,8,4,3,East
7,8,4,2,East
8,8,4,2,East
9,8,3,8,East
10,8,3,7,East
10,9,3,7,North
10,10,3,7,North
11,10,3,8,East
11,10,3,8,East
11,9,3,7,South
12,9,3,7,East
13,9,3,7,East
14,9,3,5,East
14,8,3,5,South
14,7,3,5,South
14,6,3,3,South
14,5,3,2,South
14,4,3,2,South
14,3,2,9,South
15,3,2,10,East
16,3,2,11,East
15,3,2,11,West
15,4,2,13,North
15,5,2,13,North
14,5,2,11,West
13,5,2,11,West
12,5,2,9,West
11,5,2,7,West
10,5,2,5,West
9,5,2,4,West
9,4,2,2,South
9,3,1,9,South
8,3,1,9,West
7,3,1,7,West
7,4,1,5,North
7,5,1,4,North
6,5,1,3,West
5,5,1,2,West
4,5,1,4,West
3,5,1,6,West
2,5,1,7,West
1,5,1,9,West
1,6,1,9,North
1,7,1,8,North
2,7,1,6,East
3,7,1,4,East
4,7,1,3,East
5,7,1,3,East
5,8,1,2,North
1,11,4,7,Stop
1,11,4,6,Stop
1,11,4,5,Stop
1,11,4,4,Stop
