@relation pacman_info-weka.filters.unsupervised.attribute.Remove-R1-4

@attribute ticks numeric
@attribute class {Stop,North,South,East,West}

@data
0,Stop
1,South
2,South
3,South
4,South
5,East
6,East
7,East
8,East
9,East
10,East
11,East
12,South
13,South
14,South
15,South
16,East
17,East
18,North
19,North
20,South
21,South
22,East
23,East
24,East
25,East
26,East
27,North
28,North
29,North
30,North
31,North
32,North
33,North
34,East
35,East
36,South
37,East
38,East
39,South
40,North
41,East
42,South
43,North
44,North
45,West
46,West
47,North
48,North
49,North
50,West
51,West
52,West
53,South
54,South
55,South
56,South
57,South
58,South
59,North
60,North
61,North
62,South
63,North
64,West
65,West
66,South
67,West
68,West
69,South
70,West
71,West
0,Stop
1,South
2,South
3,South
4,East
5,East
6,East
7,South
8,East
9,East
10,East
11,East
12,South
13,South
14,South
15,West
16,North
17,East
18,North
19,North
20,North
21,North
22,East
23,East
24,North
25,North
26,South
27,South
28,South
29,South
30,South
31,South
32,South
33,East
34,East
35,South
36,South
37,South
38,North
39,North
40,North
41,North
42,North
43,North
44,East
45,East
46,East
47,East
48,East
49,East
0,Stop
1,South
2,South
3,North
4,North
5,South
6,North
7,North
8,North
9,East
10,East
11,East
12,East
13,South
14,South
15,South
16,South
17,East
18,West
19,East
20,West
21,East
22,West
23,West
24,West
25,East
26,West
27,East
28,East
29,East
30,West
31,East
32,West
33,East
34,West
35,East
36,East
37,East
38,South
39,South
40,North
41,North
42,North
43,North
44,East
45,East
46,East
47,East
48,East
49,South
50,East
0,Stop
1,South
2,South
3,East
4,East
5,East
6,East
7,East
8,East
9,East
10,West
11,West
12,North
13,North
14,South
15,South
16,South
17,South
18,West
19,East
20,East
21,West
22,East
23,East
24,South
25,South
26,South
27,South
28,West
29,North
30,North
31,East
32,North
33,North
34,North
35,East
36,East
37,East
38,South
39,North
40,North
41,North
42,South
43,South
44,South
45,North
46,North
47,East
48,East
49,East
50,South
51,West
52,North
53,East
0,Stop
1,South
2,South
3,East
4,South
5,East
6,North
7,East
8,East
9,East
10,North
11,North
12,South
13,South
14,South
15,South
16,East
17,East
18,South
19,East
20,South
21,South
22,East
23,East
24,East
25,East
26,East
27,East
28,East
29,South
30,South
31,South
32,South
33,South
34,North
35,North
36,South
37,South
38,North
39,East
40,East
0,Stop
1,South
2,South
3,South
4,East
5,East
6,South
7,East
8,East
9,East
10,East
11,North
12,North
13,East
14,East
15,East
16,East
17,East
18,South
19,South
20,East
21,East
22,South
23,South
24,South
25,South
26,East
27,North
28,East
29,East
30,South
31,North
32,North
33,West
34,South
35,South
36,West
37,West
38,North
39,North
40,West
41,West
42,West
43,West
44,West
45,West
46,West
47,West
48,West
0,Stop
1,South
2,South
3,South
4,South
5,East
6,East
7,East
8,North
9,East
10,East
11,North
12,North
13,South
14,South
15,South
16,East
17,East
18,East
19,South
20,South
21,South
22,East
23,East
24,East
25,East
26,East
27,East
28,North
29,East
30,East
31,South
32,East
33,East
34,East
35,East
36,North
37,East
0,Stop
1,South
2,South
3,South
4,South
5,South
6,North
7,South
8,East
9,East
10,East
11,East
12,South
13,East
14,East
15,South
16,East
17,North
18,East
19,North
20,South
21,North
22,East
23,North
24,South
25,East
26,East
27,South
28,South
29,North
30,North
31,West
32,West
33,West
0,Stop
1,South
2,South
3,South
4,East
5,North
6,East
7,East
8,East
9,North
10,North
11,West
12,West
13,East
14,East
15,East
16,East
17,East
18,East
19,East
20,South
21,South
22,South
23,South
24,South
25,South
26,West
27,West
28,South
29,East
30,North
31,East
32,South
33,North
34,South
35,East
36,South
37,South
38,South
39,South
40,North
41,North
42,North
43,North
44,North
45,North
46,North
47,North
48,North
49,North
50,North
51,North
52,North
53,North
54,North
55,East
56,East
57,East
58,North
59,North
60,East
61,North
0,Stop
1,South
2,South
3,South
4,South
5,East
6,East
7,North
8,South
9,East
10,East
11,East
12,West
13,East
14,East
15,West
16,East
17,East
18,South
19,South
20,South
21,South
22,North
23,North
24,North
25,North
26,North
27,North
28,East
29,East
30,North
31,North
32,East
33,East
34,East
35,East
0,Stop
1,South
2,South
3,East
4,East
5,South
6,North
7,East
8,East
9,South
10,South
11,East
12,East
13,East
14,South
15,South
16,South
17,West
18,North
19,East
20,North
21,North
22,East
23,South
24,North
25,North
26,South
27,North
28,North
29,East
30,East
31,North
32,West
0,Stop
1,South
2,South
3,East
4,East
5,East
6,East
7,North
8,North
9,East
10,South
11,South
12,South
13,South
14,East
15,East
16,South
17,South
18,East
19,East
20,North
21,North
22,North
23,North
24,North
25,North
26,North
0,Stop
1,South
2,South
3,East
4,East
5,South
6,South
7,East
8,East
9,East
10,East
11,East
12,South
13,South
14,South
15,West
16,North
17,West
18,East
19,East
20,North
21,North
22,North
23,North
24,East
25,East
26,North
27,South
28,South
29,South
30,South
31,South
32,South
33,South
34,East
35,East
36,North
37,North
38,North
39,North
40,North
41,North
42,East
43,East
44,South
45,South
46,North
47,North
48,East
49,East
50,East
0,Stop
1,South
2,South
3,East
4,East
5,East
6,East
7,East
8,North
9,West
10,South
11,South
12,South
13,East
14,East
15,West
16,East
17,East
18,South
19,South
20,South
21,South
22,North
23,North
24,East
25,East
26,North
27,North
28,North
29,North
30,South
31,South
32,South
33,South
34,South
35,North
36,North
37,North
38,North
39,South
40,South
41,South
42,South
43,South
44,South
45,South
46,South
47,North
48,South
49,East
50,East
51,East
52,South
53,East
54,North
55,East
56,East
57,East
0,Stop
1,South
2,South
3,East
4,South
5,East
6,South
7,East
8,East
9,East
10,East
11,East
12,North
13,North
14,West
15,West
16,North
17,North
18,South
19,South
20,South
21,South
22,West
23,East
24,East
25,West
26,West
27,East
28,West
29,East
30,East
31,West
32,East
33,East
34,South
35,South
36,West
37,West
38,East
39,East
40,North
41,North
42,East
43,East
44,East
45,North
46,North
47,South
48,South
49,North
50,South
51,South
52,South
53,South
54,South
55,South
56,South
57,South
58,South
59,South
60,South
61,South
62,North
63,North
64,North
65,South
66,South
67,South
68,South
69,South
70,South
71,South
72,South
73,South
74,South
75,North
76,South
77,South
78,South
79,South
80,South
81,North
82,South
83,South
84,South
85,South
86,South
87,South
88,North
89,South
90,North
91,North
92,South
93,South
94,South
95,South
96,North
97,North
98,South
99,South
100,South
101,South
102,South
103,North
104,North
105,South
106,South
107,North
108,North
109,North
110,East
111,North
112,South
113,East
114,East
115,East
116,South
117,North
118,East
119,South
120,South
121,North
122,South
0,Stop
1,South
2,South
3,South
4,East
5,East
6,East
7,North
8,East
9,North
10,South
11,South
12,South
13,East
14,East
15,East
16,South
17,South
18,East
19,South
20,East
21,East
22,North
23,East
24,East
25,East
26,North
27,North
0,Stop
1,South
2,South
3,South
4,South
5,South
6,North
7,East
8,East
9,East
10,East
11,South
12,South
13,South
14,South
15,East
16,East
17,North
18,North
19,East
20,East
21,East
22,North
23,North
24,East
25,East
26,East
27,East
28,East
29,East
30,East
31,East
32,South
33,South
34,South
35,South
36,South
37,South
38,South
39,South
40,West
41,West
42,West
0,Stop
1,South
2,South
3,East
4,East
5,East
6,East
7,South
8,South
9,East
10,West
11,West
12,West
13,East
14,West
15,East
16,West
17,West
18,East
19,West
20,West
21,South
22,South
23,South
24,East
25,North
26,East
27,East
28,East
29,East
30,East
31,East
32,North
33,North
34,East
35,North
36,East
37,East
38,South
39,South
40,North
41,North
42,North
43,North
44,East
45,East
46,East
47,East
48,East
49,East
50,South
51,North
52,West
0,Stop
1,South
2,South
3,East
4,East
5,East
6,East
7,East
8,North
9,South
10,South
11,South
12,East
13,West
14,West
15,East
16,West
17,East
18,West
19,West
20,East
21,West
22,East
23,West
24,West
25,East
26,East
27,West
28,East
29,West
30,West
31,East
32,West
33,West
34,East
35,West
36,East
37,West
38,West
39,South
40,South
41,South
42,East
43,East
44,East
45,East
46,East
47,South
48,East
49,North
50,East
51,South
52,North
53,East
54,East
55,East
56,North
57,East
58,East
59,East
60,South
0,Stop
1,South
2,South
3,East
4,East
5,East
6,East
7,North
8,North
9,East
10,East
11,East
12,East
13,East
14,South
15,South
16,South
17,South
18,South
19,South
20,North
21,North
22,West
23,West
24,West
25,West
26,North
27,West
28,North
29,South
30,West
31,South
32,East
33,East
34,East
35,East
36,South
37,South
38,East
39,East
40,East
41,East
42,East
43,South
44,North
45,East
46,North
47,North
48,East
49,North
50,West
0,Stop
1,South
2,South
3,East
4,South
5,East
6,North
7,South
8,East
9,South
10,East
11,East
12,West
13,East
14,West
15,West
16,East
17,West
18,East
19,East
20,West
21,East
22,West
23,West
24,East
25,East
26,West
27,East
28,North
29,North
30,South
31,South
32,West
33,West
34,West
35,East
36,West
37,East
38,East
39,East
40,West
41,West
42,East
43,West
44,East
45,West
46,East
47,East
48,East
49,West
50,West
51,East
52,East
53,West
54,East
55,West
56,East
57,West
58,West
59,East
60,West
61,East
62,East
63,West
64,East
65,East
66,South
67,South
68,South
69,South
70,West
71,North
72,West
73,West
74,South
0,Stop
1,South
2,South
3,South
4,North
5,East
6,South
7,East
8,North
9,East
10,East
11,North
12,North
13,South
14,East
15,East
16,East
17,South
18,North
19,North
20,North
21,South
22,East
23,East
24,South
25,South
26,South
27,South
28,East
29,East
30,East
31,East
32,East
33,East
0,Stop
1,South
2,South
3,East
4,East
5,East
6,South
7,South
8,West
9,East
10,East
11,West
12,East
13,North
14,North
15,North
16,North
17,East
18,East
19,East
20,East
21,East
22,South
23,South
24,South
25,North
26,South
27,South
28,South
29,South
30,South
31,South
32,South
33,South
34,North
35,North
36,East
37,North
38,East
39,West
40,South
41,South
42,West
43,South
44,South
45,South
46,South
47,West
48,South
49,South
50,West
51,West
52,West
53,North
54,West
55,North
56,South
57,South
58,West
59,North
0,Stop
1,South
2,South
3,East
4,East
5,East
6,South
7,East
8,East
9,East
10,East
11,East
12,North
13,East
14,North
15,South
16,East
17,East
18,South
19,South
20,South
21,South
22,South
23,South
24,South
25,South
26,South
27,South
28,South
29,South
30,South
31,South
32,South
33,South
34,South
35,South
36,South
37,South
38,South
39,South
40,South
41,South
42,South
43,South
44,South
45,South
46,South
47,South
