@relation 'pacman_info-weka.filters.unsupervised.attribute.Remove-R1-3,5'

@attribute minGhost numeric
@attribute class {Stop,North,South,East,West}

@data
7,Stop
7,South
6,South
6,South
6,South
5,East
4,East
4,East
4,East
4,East
4,East
4,East
4,South
2,South
3,South
3,South
2,East
6,East
4,North
6,North
4,South
3,South
3,East
4,East
4,East
5,East
4,East
4,North
4,North
5,North
5,North
6,North
7,North
5,North
5,East
5,East
4,South
4,East
2,East
4,South
4,North
2,East
14,South
13,North
11,North
9,West
9,West
9,North
9,North
7,North
5,West
5,West
6,West
6,South
5,South
6,South
6,South
7,South
8,South
7,North
8,North
8,North
8,South
8,North
8,West
7,West
7,South
6,West
6,West
4,South
4,West
2,West
7,Stop
7,South
5,South
4,South
3,East
3,East
3,East
1,South
5,East
5,East
5,East
3,East
3,South
2,South
1,South
9,West
7,North
7,East
7,North
6,North
5,North
3,North
3,East
2,East
1,North
10,North
10,South
9,South
9,South
7,South
5,South
4,South
3,South
3,East
4,East
2,South
3,South
4,South
2,North
3,North
4,North
5,North
6,North
6,North
4,East
4,East
4,East
3,East
3,East
2,East
7,Stop
5,South
5,South
4,North
5,North
5,South
4,North
5,North
3,North
1,East
1,East
8,East
7,East
7,South
6,South
6,South
4,South
4,East
2,West
4,East
2,West
3,East
3,West
3,West
2,West
3,East
3,West
3,East
3,East
4,East
3,West
4,East
2,West
3,East
3,West
3,East
3,East
2,East
1,South
9,South
9,North
9,North
9,North
7,North
7,East
5,East
4,East
4,East
2,East
2,South
1,East
7,Stop
5,South
5,South
5,East
4,East
3,East
3,East
2,East
1,East
3,East
2,West
2,West
2,North
7,North
7,South
7,South
5,South
4,South
4,West
4,East
5,East
5,West
3,East
3,East
3,South
3,South
2,South
2,South
2,West
2,North
11,North
9,East
7,North
7,North
6,North
4,East
4,East
3,East
3,South
2,North
3,North
3,North
2,South
3,South
4,South
2,North
2,North
2,East
2,East
2,East
2,South
2,West
2,North
1,East
7,Stop
6,South
4,South
4,East
4,South
4,East
4,North
3,East
1,East
3,East
1,North
8,North
6,South
6,South
6,South
6,South
4,East
2,East
1,South
9,East
8,South
6,South
4,East
3,East
2,East
3,East
3,East
4,East
4,East
2,South
2,South
2,South
3,South
4,South
2,North
4,North
4,South
4,South
4,North
3,East
