@relation pacman_info-weka.filters.unsupervised.attribute.Remove-R1-3

@attribute minGhost numeric
@attribute ticks numeric
@attribute class {Stop,North,South,East,West}

@data
7,0,Stop
7,1,South
6,2,South
6,3,South
6,4,South
5,5,East
4,6,East
4,7,East
4,8,East
4,9,East
4,10,East
4,11,East
4,12,South
2,13,South
3,14,South
3,15,South
2,16,East
6,17,East
4,18,North
6,19,North
4,20,South
3,21,South
3,22,East
4,23,East
4,24,East
5,25,East
4,26,East
4,27,North
4,28,North
5,29,North
5,30,North
6,31,North
7,32,North
5,33,North
5,34,East
5,35,East
4,36,South
4,37,East
2,38,East
4,39,South
4,40,North
2,41,East
14,42,South
13,43,North
11,44,North
9,45,West
9,46,West
9,47,North
9,48,North
7,49,North
5,50,West
5,51,West
6,52,West
6,53,South
5,54,South
6,55,South
6,56,South
7,57,South
8,58,South
7,59,North
8,60,North
8,61,North
8,62,South
8,63,North
8,64,West
7,65,West
7,66,South
6,67,West
6,68,West
4,69,South
4,70,West
2,71,West
7,0,Stop
7,1,South
5,2,South
4,3,South
3,4,East
3,5,East
3,6,East
1,7,South
5,8,East
5,9,East
5,10,East
3,11,East
3,12,South
2,13,South
1,14,South
9,15,West
7,16,North
7,17,East
7,18,North
6,19,North
5,20,North
3,21,North
3,22,East
2,23,East
1,24,North
10,25,North
10,26,South
9,27,South
9,28,South
7,29,South
5,30,South
4,31,South
3,32,South
3,33,East
4,34,East
2,35,South
3,36,South
4,37,South
2,38,North
3,39,North
4,40,North
5,41,North
6,42,North
6,43,North
4,44,East
4,45,East
4,46,East
3,47,East
3,48,East
2,49,East
7,0,Stop
5,1,South
5,2,South
4,3,North
5,4,North
5,5,South
4,6,North
5,7,North
3,8,North
1,9,East
1,10,East
8,11,East
7,12,East
7,13,South
6,14,South
6,15,South
4,16,South
4,17,East
2,18,West
4,19,East
2,20,West
3,21,East
3,22,West
3,23,West
2,24,West
3,25,East
3,26,West
3,27,East
3,28,East
4,29,East
3,30,West
4,31,East
2,32,West
3,33,East
3,34,West
3,35,East
3,36,East
2,37,East
1,38,South
9,39,South
9,40,North
9,41,North
9,42,North
7,43,North
7,44,East
5,45,East
4,46,East
4,47,East
2,48,East
2,49,South
1,50,East
7,0,Stop
5,1,South
5,2,South
5,3,East
4,4,East
3,5,East
3,6,East
2,7,East
1,8,East
3,9,East
2,10,West
2,11,West
2,12,North
7,13,North
7,14,South
7,15,South
5,16,South
4,17,South
4,18,West
4,19,East
5,20,East
5,21,West
3,22,East
3,23,East
3,24,South
3,25,South
2,26,South
2,27,South
2,28,West
2,29,North
11,30,North
9,31,East
7,32,North
7,33,North
6,34,North
4,35,East
4,36,East
3,37,East
3,38,South
2,39,North
3,40,North
3,41,North
2,42,South
3,43,South
4,44,South
2,45,North
2,46,North
2,47,East
2,48,East
2,49,East
2,50,South
2,51,West
2,52,North
1,53,East
7,0,Stop
6,1,South
4,2,South
4,3,East
4,4,South
4,5,East
4,6,North
3,7,East
1,8,East
3,9,East
1,10,North
8,11,North
6,12,South
6,13,South
6,14,South
6,15,South
4,16,East
2,17,East
1,18,South
9,19,East
8,20,South
6,21,South
4,22,East
3,23,East
2,24,East
3,25,East
3,26,East
4,27,East
4,28,East
2,29,South
2,30,South
2,31,South
3,32,South
4,33,South
2,34,North
4,35,North
4,36,South
4,37,South
4,38,North
3,39,East
1,40,East
7,0,Stop
7,1,South
7,2,South
6,3,South
5,4,East
5,5,East
5,6,South
4,7,East
4,8,East
4,9,East
3,10,East
1,11,North
4,12,North
4,13,East
2,14,East
2,15,East
10,16,East
9,17,East
8,18,South
7,19,South
6,20,East
5,21,East
4,22,South
3,23,South
3,24,South
3,25,South
2,26,East
2,27,North
2,28,East
14,29,East
14,30,South
14,31,North
12,32,North
12,33,West
12,34,South
10,35,South
9,36,West
9,37,West
9,38,North
9,39,North
7,40,West
7,41,West
6,42,West
6,43,West
6,44,West
4,45,West
4,46,West
2,47,West
1,48,West
7,0,Stop
7,1,South
7,2,South
5,3,South
5,4,South
3,5,East
2,6,East
2,7,East
2,8,North
1,9,East
4,10,East
2,11,North
8,12,North
7,13,South
7,14,South
5,15,South
3,16,East
1,17,East
9,18,East
8,19,South
8,20,South
6,21,South
5,22,East
5,23,East
6,24,East
5,25,East
6,26,East
7,27,East
7,28,North
6,29,East
4,30,East
3,31,South
3,32,East
3,33,East
3,34,East
3,35,East
2,36,North
1,37,East
7,0,Stop
5,1,South
4,2,South
5,3,South
6,4,South
6,5,South
6,6,North
4,7,South
4,8,East
4,9,East
2,10,East
2,11,East
2,12,South
1,13,East
3,14,East
1,15,South
3,16,East
3,17,North
1,18,East
1,19,North
3,20,South
2,21,North
2,22,East
2,23,North
2,24,South
2,25,East
2,26,East
1,27,South
4,28,South
4,29,North
2,30,North
2,31,West
2,32,West
1,33,West
7,0,Stop
5,1,South
5,2,South
5,3,South
5,4,East
3,5,North
2,6,East
2,7,East
2,8,East
2,9,North
2,10,North
1,11,West
8,12,West
8,13,East
7,14,East
5,15,East
3,16,East
3,17,East
1,18,East
7,19,East
7,20,South
6,21,South
6,22,South
5,23,South
3,24,South
3,25,South
1,26,West
7,27,West
7,28,South
7,29,East
7,30,North
5,31,East
5,32,South
6,33,North
6,34,South
6,35,East
6,36,South
7,37,South
8,38,South
8,39,South
6,40,North
6,41,North
6,42,North
7,43,North
6,44,North
6,45,North
6,46,North
7,47,North
6,48,North
5,49,North
4,50,North
5,51,North
6,52,North
5,53,North
4,54,North
2,55,East
2,56,East
2,57,East
2,58,North
2,59,North
2,60,East
2,61,North
7,0,Stop
7,1,South
7,2,South
7,3,South
6,4,South
4,5,East
4,6,East
4,7,North
2,8,South
4,9,East
3,10,East
3,11,East
3,12,West
3,13,East
3,14,East
2,15,West
2,16,East
4,17,East
4,18,South
3,19,South
1,20,South
13,21,South
11,22,North
10,23,North
10,24,North
9,25,North
8,26,North
6,27,North
4,28,East
3,29,East
2,30,North
6,31,North
4,32,East
4,33,East
2,34,East
2,35,East
7,0,Stop
5,1,South
4,2,South
4,3,East
4,4,East
4,5,South
4,6,North
3,7,East
3,8,East
3,9,South
1,10,South
5,11,East
4,12,East
4,13,East
4,14,South
4,15,South
2,16,South
7,17,West
6,18,North
6,19,East
4,20,North
2,21,North
2,22,East
2,23,South
2,24,North
2,25,North
2,26,South
2,27,North
2,28,North
2,29,East
2,30,East
2,31,North
1,32,West
7,0,Stop
7,1,South
5,2,South
5,3,East
4,4,East
3,5,East
2,6,East
2,7,North
1,8,North
6,9,East
6,10,South
5,11,South
5,12,South
5,13,South
4,14,East
2,15,East
2,16,South
2,17,South
1,18,East
7,19,East
6,20,North
4,21,North
2,22,North
2,23,North
3,24,North
2,25,North
2,26,North
7,0,Stop
5,1,South
3,2,South
1,3,East
9,4,East
7,5,South
5,6,South
5,7,East
4,8,East
3,9,East
3,10,East
5,11,East
5,12,South
4,13,South
2,14,South
2,15,West
2,16,North
8,17,West
8,18,East
8,19,East
6,20,North
6,21,North
5,22,North
5,23,North
4,24,East
2,25,East
11,26,North
11,27,South
10,28,South
10,29,South
10,30,South
9,31,South
7,32,South
6,33,South
6,34,East
7,35,East
7,36,North
6,37,North
6,38,North
7,39,North
7,40,North
7,41,North
7,42,East
7,43,East
5,44,South
7,45,South
7,46,North
5,47,North
3,48,East
3,49,East
1,50,East
7,0,Stop
5,1,South
3,2,South
3,3,East
3,4,East
2,5,East
1,6,East
2,7,East
1,8,North
10,9,West
10,10,South
9,11,South
7,12,South
5,13,East
5,14,East
5,15,West
4,16,East
4,17,East
3,18,South
3,19,South
2,20,South
2,21,South
2,22,North
2,23,North
2,24,East
11,25,East
10,26,North
8,27,North
8,28,North
7,29,North
6,30,South
6,31,South
6,32,South
7,33,South
8,34,South
7,35,North
8,36,North
9,37,North
9,38,North
7,39,South
6,40,South
7,41,South
8,42,South
9,43,South
10,44,South
8,45,South
8,46,South
9,47,North
8,48,South
6,49,East
6,50,East
4,51,East
4,52,South
4,53,East
4,54,North
3,55,East
3,56,East
1,57,East
7,0,Stop
6,1,South
6,2,South
6,3,East
5,4,South
5,5,East
4,6,South
2,7,East
2,8,East
2,9,East
2,10,East
