@relation 'pacman_info-weka.filters.unsupervised.attribute.Remove-R1-2,4'

@attribute livingGhosts numeric
@attribute ticks numeric
@attribute class {Stop,North,South,East,West}

@data
4,0,Stop
4,1,South
4,2,South
4,3,South
4,4,South
4,5,East
4,6,East
4,7,East
4,8,East
4,9,East
4,10,East
4,11,East
4,12,South
4,13,South
3,14,South
3,15,South
3,16,East
2,17,East
2,18,North
2,19,North
2,20,South
2,21,South
2,22,East
2,23,East
2,24,East
2,25,East
2,26,East
2,27,North
2,28,North
2,29,North
2,30,North
2,31,North
2,32,North
2,33,North
2,34,East
2,35,East
2,36,South
2,37,East
2,38,East
2,39,South
2,40,North
2,41,East
1,42,South
1,43,North
1,44,North
1,45,West
1,46,West
1,47,North
1,48,North
1,49,North
1,50,West
1,51,West
1,52,West
1,53,South
1,54,South
1,55,South
1,56,South
1,57,South
1,58,South
1,59,North
1,60,North
1,61,North
1,62,South
1,63,North
1,64,West
1,65,West
1,66,South
1,67,West
1,68,West
1,69,South
1,70,West
1,71,West
4,0,Stop
4,1,South
4,2,South
4,3,South
4,4,East
4,5,East
4,6,East
4,7,South
3,8,East
3,9,East
3,10,East
3,11,East
3,12,South
3,13,South
3,14,South
2,15,West
2,16,North
2,17,East
2,18,North
2,19,North
2,20,North
2,21,North
2,22,East
2,23,East
2,24,North
1,25,North
1,26,South
1,27,South
1,28,South
1,29,South
1,30,South
1,31,South
1,32,South
1,33,East
1,34,East
1,35,South
1,36,South
1,37,South
1,38,North
1,39,North
1,40,North
1,41,North
1,42,North
1,43,North
1,44,East
1,45,East
1,46,East
1,47,East
1,48,East
1,49,East
4,0,Stop
4,1,South
4,2,South
4,3,North
4,4,North
4,5,South
4,6,North
4,7,North
4,8,North
4,9,East
3,10,East
2,11,East
2,12,East
2,13,South
2,14,South
2,15,South
2,16,South
2,17,East
2,18,West
2,19,East
2,20,West
2,21,East
2,22,West
2,23,West
2,24,West
2,25,East
2,26,West
2,27,East
2,28,East
2,29,East
2,30,West
2,31,East
2,32,West
2,33,East
2,34,West
2,35,East
2,36,East
2,37,East
2,38,South
1,39,South
1,40,North
1,41,North
1,42,North
1,43,North
1,44,East
1,45,East
1,46,East
1,47,East
1,48,East
1,49,South
1,50,East
4,0,Stop
4,1,South
4,2,South
4,3,East
4,4,East
4,5,East
4,6,East
4,7,East
4,8,East
3,9,East
3,10,West
3,11,West
3,12,North
2,13,North
2,14,South
2,15,South
2,16,South
2,17,South
2,18,West
2,19,East
2,20,East
2,21,West
2,22,East
2,23,East
2,24,South
2,25,South
2,26,South
2,27,South
2,28,West
2,29,North
1,30,North
1,31,East
1,32,North
1,33,North
1,34,North
1,35,East
1,36,East
1,37,East
1,38,South
1,39,North
1,40,North
1,41,North
1,42,South
1,43,South
1,44,South
1,45,North
1,46,North
1,47,East
1,48,East
1,49,East
1,50,South
1,51,West
1,52,North
1,53,East
4,0,Stop
4,1,South
4,2,South
4,3,East
4,4,South
4,5,East
4,6,North
4,7,East
4,8,East
3,9,East
3,10,North
2,11,North
2,12,South
2,13,South
2,14,South
2,15,South
2,16,East
2,17,East
2,18,South
1,19,East
1,20,South
1,21,South
1,22,East
1,23,East
1,24,East
1,25,East
1,26,East
1,27,East
1,28,East
1,29,South
1,30,South
1,31,South
1,32,South
1,33,South
1,34,North
1,35,North
1,36,South
1,37,South
1,38,North
1,39,East
1,40,East
4,0,Stop
4,1,South
4,2,South
4,3,South
4,4,East
4,5,East
4,6,South
4,7,East
4,8,East
4,9,East
4,10,East
4,11,North
3,12,North
3,13,East
3,14,East
3,15,East
2,16,East
2,17,East
2,18,South
2,19,South
2,20,East
2,21,East
2,22,South
2,23,South
2,24,South
2,25,South
2,26,East
2,27,North
2,28,East
1,29,East
1,30,South
1,31,North
1,32,North
1,33,West
1,34,South
1,35,South
1,36,West
1,37,West
1,38,North
1,39,North
1,40,West
1,41,West
1,42,West
1,43,West
1,44,West
1,45,West
1,46,West
1,47,West
1,48,West
4,0,Stop
4,1,South
4,2,South
4,3,South
4,4,South
4,5,East
4,6,East
4,7,East
4,8,North
4,9,East
3,10,East
3,11,North
2,12,North
2,13,South
2,14,South
2,15,South
2,16,East
2,17,East
1,18,East
1,19,South
1,20,South
1,21,South
1,22,East
1,23,East
1,24,East
1,25,East
1,26,East
1,27,East
1,28,North
1,29,East
1,30,East
1,31,South
1,32,East
1,33,East
1,34,East
1,35,East
1,36,North
1,37,East
4,0,Stop
4,1,South
4,2,South
4,3,South
4,4,South
4,5,South
4,6,North
4,7,South
4,8,East
4,9,East
4,10,East
4,11,East
4,12,South
4,13,East
3,14,East
3,15,South
2,16,East
2,17,North
2,18,East
2,19,North
2,20,South
2,21,North
2,22,East
2,23,North
2,24,South
2,25,East
2,26,East
2,27,South
1,28,South
1,29,North
1,30,North
1,31,West
1,32,West
1,33,West
4,0,Stop
4,1,South
4,2,South
4,3,South
4,4,East
4,5,North
4,6,East
4,7,East
4,8,East
4,9,North
4,10,North
4,11,West
3,12,West
3,13,East
3,14,East
3,15,East
3,16,East
3,17,East
3,18,East
2,19,East
2,20,South
2,21,South
2,22,South
2,23,South
2,24,South
2,25,South
2,26,West
1,27,West
1,28,South
1,29,East
1,30,North
1,31,East
1,32,South
1,33,North
1,34,South
1,35,East
1,36,South
1,37,South
1,38,South
1,39,South
1,40,North
1,41,North
1,42,North
1,43,North
1,44,North
1,45,North
1,46,North
1,47,North
1,48,North
1,49,North
1,50,North
1,51,North
1,52,North
1,53,North
1,54,North
1,55,East
1,56,East
1,57,East
1,58,North
1,59,North
1,60,East
1,61,North
4,0,Stop
4,1,South
4,2,South
4,3,South
4,4,South
4,5,East
4,6,East
4,7,North
4,8,South
3,9,East
3,10,East
3,11,East
3,12,West
3,13,East
3,14,East
3,15,West
3,16,East
3,17,East
3,18,South
3,19,South
3,20,South
2,21,South
2,22,North
2,23,North
2,24,North
2,25,North
2,26,North
2,27,North
2,28,East
2,29,East
2,30,North
1,31,North
1,32,East
1,33,East
1,34,East
1,35,East
4,0,Stop
4,1,South
4,2,South
4,3,East
4,4,East
4,5,South
4,6,North
4,7,East
4,8,East
4,9,South
4,10,South
3,11,East
3,12,East
3,13,East
3,14,South
3,15,South
3,16,South
2,17,West
2,18,North
2,19,East
2,20,North
2,21,North
2,22,East
2,23,South
2,24,North
2,25,North
2,26,South
2,27,North
1,28,North
1,29,East
1,30,East
1,31,North
1,32,West
4,0,Stop
4,1,South
4,2,South
4,3,East
4,4,East
4,5,East
4,6,East
3,7,North
3,8,North
2,9,East
2,10,South
2,11,South
2,12,South
2,13,South
2,14,East
2,15,East
2,16,South
2,17,South
2,18,East
1,19,East
1,20,North
1,21,North
1,22,North
1,23,North
1,24,North
1,25,North
1,26,North
4,0,Stop
4,1,South
4,2,South
4,3,East
3,4,East
3,5,South
3,6,South
3,7,East
3,8,East
3,9,East
3,10,East
3,11,East
3,12,South
3,13,South
3,14,South
3,15,West
3,16,North
2,17,West
2,18,East
2,19,East
2,20,North
2,21,North
2,22,North
2,23,North
2,24,East
2,25,East
1,26,North
1,27,South
1,28,South
1,29,South
