@relation pacman_info-weka.filters.unsupervised.attribute.Remove-R1-2

@attribute livingGhosts numeric
@attribute minGhost numeric
@attribute ticks numeric
@attribute class {Stop,North,South,East,West}

@data
4,7,0,Stop
4,7,1,South
4,6,2,South
4,6,3,South
4,6,4,South
4,5,5,East
4,4,6,East
4,4,7,East
4,4,8,East
4,4,9,East
4,4,10,East
4,4,11,East
4,4,12,South
4,2,13,South
3,3,14,South
3,3,15,South
3,2,16,East
2,6,17,East
2,4,18,North
2,6,19,North
2,4,20,South
2,3,21,South
2,3,22,East
2,4,23,East
2,4,24,East
2,5,25,East
2,4,26,East
2,4,27,North
2,4,28,North
2,5,29,North
2,5,30,North
2,6,31,North
2,7,32,North
2,5,33,North
2,5,34,East
2,5,35,East
2,4,36,South
2,4,37,East
2,2,38,East
2,4,39,South
2,4,40,North
2,2,41,East
1,14,42,South
1,13,43,North
1,11,44,North
1,9,45,West
1,9,46,West
1,9,47,North
1,9,48,North
1,7,49,North
1,5,50,West
1,5,51,West
1,6,52,West
1,6,53,South
1,5,54,South
1,6,55,South
1,6,56,South
1,7,57,South
1,8,58,South
1,7,59,North
1,8,60,North
1,8,61,North
1,8,62,South
1,8,63,North
1,8,64,West
1,7,65,West
1,7,66,South
1,6,67,West
1,6,68,West
1,4,69,South
1,4,70,West
1,2,71,West
4,7,0,Stop
4,7,1,South
4,5,2,South
4,4,3,South
4,3,4,East
4,3,5,East
4,3,6,East
4,1,7,South
3,5,8,East
3,5,9,East
3,5,10,East
3,3,11,East
3,3,12,South
3,2,13,South
3,1,14,South
2,9,15,West
2,7,16,North
2,7,17,East
2,7,18,North
2,6,19,North
2,5,20,North
2,3,21,North
2,3,22,East
2,2,23,East
2,1,24,North
1,10,25,North
1,10,26,South
1,9,27,South
1,9,28,South
1,7,29,South
1,5,30,South
1,4,31,South
1,3,32,South
1,3,33,East
1,4,34,East
1,2,35,South
1,3,36,South
1,4,37,South
1,2,38,North
1,3,39,North
1,4,40,North
1,5,41,North
1,6,42,North
1,6,43,North
1,4,44,East
1,4,45,East
1,4,46,East
1,3,47,East
1,3,48,East
1,2,49,East
4,7,0,Stop
4,5,1,South
4,5,2,South
4,4,3,North
4,5,4,North
4,5,5,South
4,4,6,North
4,5,7,North
4,3,8,North
4,1,9,East
3,1,10,East
2,8,11,East
2,7,12,East
2,7,13,South
2,6,14,South
2,6,15,South
2,4,16,South
2,4,17,East
2,2,18,West
2,4,19,East
2,2,20,West
2,3,21,East
2,3,22,West
2,3,23,West
2,2,24,West
2,3,25,East
2,3,26,West
2,3,27,East
2,3,28,East
2,4,29,East
2,3,30,West
2,4,31,East
2,2,32,West
2,3,33,East
2,3,34,West
2,3,35,East
2,3,36,East
2,2,37,East
2,1,38,South
1,9,39,South
1,9,40,North
1,9,41,North
1,9,42,North
1,7,43,North
1,7,44,East
1,5,45,East
1,4,46,East
1,4,47,East
1,2,48,East
1,2,49,South
1,1,50,East
4,7,0,Stop
4,5,1,South
4,5,2,South
4,5,3,East
4,4,4,East
4,3,5,East
4,3,6,East
4,2,7,East
4,1,8,East
3,3,9,East
3,2,10,West
3,2,11,West
3,2,12,North
2,7,13,North
2,7,14,South
2,7,15,South
2,5,16,South
2,4,17,South
2,4,18,West
2,4,19,East
2,5,20,East
2,5,21,West
2,3,22,East
2,3,23,East
2,3,24,South
2,3,25,South
2,2,26,South
2,2,27,South
2,2,28,West
2,2,29,North
1,11,30,North
1,9,31,East
1,7,32,North
1,7,33,North
1,6,34,North
1,4,35,East
1,4,36,East
1,3,37,East
1,3,38,South
1,2,39,North
1,3,40,North
1,3,41,North
1,2,42,South
1,3,43,South
1,4,44,South
1,2,45,North
1,2,46,North
1,2,47,East
1,2,48,East
1,2,49,East
1,2,50,South
1,2,51,West
1,2,52,North
1,1,53,East
4,7,0,Stop
4,6,1,South
4,4,2,South
4,4,3,East
4,4,4,South
4,4,5,East
4,4,6,North
4,3,7,East
4,1,8,East
3,3,9,East
3,1,10,North
2,8,11,North
2,6,12,South
2,6,13,South
2,6,14,South
2,6,15,South
2,4,16,East
2,2,17,East
2,1,18,South
1,9,19,East
1,8,20,South
1,6,21,South
1,4,22,East
1,3,23,East
1,2,24,East
1,3,25,East
1,3,26,East
1,4,27,East
1,4,28,East
1,2,29,South
1,2,30,South
1,2,31,South
1,3,32,South
1,4,33,South
1,2,34,North
1,4,35,North
1,4,36,South
1,4,37,South
1,4,38,North
1,3,39,East
1,1,40,East
4,7,0,Stop
4,7,1,South
4,7,2,South
4,6,3,South
4,5,4,East
4,5,5,East
4,5,6,South
4,4,7,East
4,4,8,East
4,4,9,East
4,3,10,East
4,1,11,North
3,4,12,North
3,4,13,East
3,2,14,East
3,2,15,East
2,10,16,East
2,9,17,East
2,8,18,South
2,7,19,South
2,6,20,East
2,5,21,East
2,4,22,South
2,3,23,South
2,3,24,South
2,3,25,South
2,2,26,East
2,2,27,North
2,2,28,East
1,14,29,East
1,14,30,South
1,14,31,North
1,12,32,North
1,12,33,West
1,12,34,South
1,10,35,South
1,9,36,West
1,9,37,West
1,9,38,North
1,9,39,North
1,7,40,West
1,7,41,West
1,6,42,West
1,6,43,West
1,6,44,West
1,4,45,West
1,4,46,West
1,2,47,West
1,1,48,West
4,7,0,Stop
4,7,1,South
4,7,2,South
4,5,3,South
4,5,4,South
4,3,5,East
4,2,6,East
4,2,7,East
4,2,8,North
4,1,9,East
3,4,10,East
3,2,11,North
2,8,12,North
2,7,13,South
2,7,14,South
2,5,15,South
2,3,16,East
2,1,17,East
1,9,18,East
1,8,19,South
1,8,20,South
1,6,21,South
1,5,22,East
1,5,23,East
1,6,24,East
1,5,25,East
1,6,26,East
1,7,27,East
1,7,28,North
1,6,29,East
1,4,30,East
1,3,31,South
1,3,32,East
1,3,33,East
1,3,34,East
1,3,35,East
1,2,36,North
1,1,37,East
4,7,0,Stop
4,5,1,South
4,4,2,South
4,5,3,South
4,6,4,South
4,6,5,South
4,6,6,North
4,4,7,South
4,4,8,East
4,4,9,East
4,2,10,East
4,2,11,East
4,2,12,South
4,1,13,East
3,3,14,East
3,1,15,South
2,3,16,East
2,3,17,North
2,1,18,East
2,1,19,North
2,3,20,South
2,2,21,North
2,2,22,East
2,2,23,North
2,2,24,South
2,2,25,East
2,2,26,East
2,1,27,South
1,4,28,South
1,4,29,North
1,2,30,North
1,2,31,West
1,2,32,West
1,1,33,West
4,7,0,Stop
4,5,1,South
4,5,2,South
4,5,3,South
4,5,4,East
4,3,5,North
4,2,6,East
4,2,7,East
4,2,8,East
4,2,9,North
4,2,10,North
4,1,11,West
3,8,12,West
3,8,13,East
3,7,14,East
3,5,15,East
3,3,16,East
3,3,17,East
3,1,18,East
2,7,19,East
2,7,20,South
2,6,21,South
2,6,22,South
2,5,23,South
2,3,24,South
2,3,25,South
2,1,26,West
1,7,27,West
1,7,28,South
1,7,29,East
1,7,30,North
1,5,31,East
1,5,32,South
1,6,33,North
1,6,34,South
1,6,35,East
1,6,36,South
1,7,37,South
1,8,38,South
1,8,39,South
1,6,40,North
1,6,41,North
1,6,42,North
1,7,43,North
1,6,44,North
1,6,45,North
1,6,46,North
1,7,47,North
1,6,48,North
1,5,49,North
1,4,50,North
1,5,51,North
1,6,52,North
1,5,53,North
1,4,54,North
1,2,55,East
1,2,56,East
1,2,57,East
1,2,58,North
1,2,59,North
1,2,60,East
1,2,61,North
4,7,0,Stop
4,7,1,South
4,7,2,South
4,7,3,South
4,6,4,South
4,4,5,East
4,4,6,East
4,4,7,North
4,2,8,South
3,4,9,East
3,3,10,East
3,3,11,East
3,3,12,West
3,3,13,East
3,3,14,East
3,2,15,West
3,2,16,East
3,4,17,East
3,4,18,South
3,3,19,South
3,1,20,South
2,13,21,South
2,11,22,North
2,10,23,North
2,10,24,North
2,9,25,North
2,8,26,North
2,6,27,North
2,4,28,East
2,3,29,East
2,2,30,North
1,6,31,North
1,4,32,East
1,4,33,East
1,2,34,East
1,2,35,East
4,7,0,Stop
4,5,1,South
4,4,2,South
4,4,3,East
4,4,4,East
4,4,5,South
4,4,6,North
4,3,7,East
4,3,8,East
4,3,9,South
4,1,10,South
3,5,11,East
3,4,12,East
3,4,13,East
3,4,14,South
3,4,15,South
3,2,16,South
2,7,17,West
2,6,18,North
2,6,19,East
2,4,20,North
2,2,21,North
2,2,22,East
2,2,23,South
2,2,24,North
2,2,25,North
2,2,26,South
2,2,27,North
1,2,28,North
1,2,29,East
1,2,30,East
1,2,31,North
1,1,32,West
4,7,0,Stop
4,7,1,South
4,5,2,South
4,5,3,East
4,4,4,East
4,3,5,East
4,2,6,East
3,2,7,North
3,1,8,North
2,6,9,East
2,6,10,South
2,5,11,South
2,5,12,South
2,5,13,South
2,4,14,East
2,2,15,East
2,2,16,South
2,2,17,South
2,1,18,East
1,7,19,East
1,6,20,North
1,4,21,North
1,2,22,North
1,2,23,North
1,3,24,North
1,2,25,North
1,2,26,North
4,7,0,Stop
4,5,1,South
4,3,2,South
4,1,3,East
3,9,4,East
3,7,5,South
3,5,6,South
3,5,7,East
3,4,8,East
3,3,9,East
3,3,10,East
3,5,11,East
3,5,12,South
3,4,13,South
3,2,14,South
3,2,15,West
3,2,16,North
2,8,17,West
2,8,18,East
2,8,19,East
2,6,20,North
2,6,21,North
2,5,22,North
2,5,23,North
2,4,24,East
2,2,25,East
1,11,26,North
1,11,27,South
1,10,28,South
1,10,29,South
1,10,30,South
1,9,31,South
1,7,32,South
1,6,33,South
1,6,34,East
1,7,35,East
1,7,36,North
1,6,37,North
1,6,38,North
1,7,39,North
1,7,40,North
1,7,41,North
1,7,42,East
1,7,43,East
1,5,44,South
1,7,45,South
1,7,46,North
1,5,47,North
1,3,48,East
1,3,49,East
1,1,50,East
4,7,0,Stop
4,5,1,South
4,3,2,South
4,3,3,East
4,3,4,East
4,2,5,East
4,1,6,East
3,2,7,East
3,1,8,North
2,10,9,West
2,10,10,South
2,9,11,South
2,7,12,South
2,5,13,East
2,5,14,East
2,5,15,West
2,4,16,East
2,4,17,East
2,3,18,South
2,3,19,South
2,2,20,South
2,2,21,South
2,2,22,North
2,2,23,North
2,2,24,East
1,11,25,East
1,10,26,North
1,8,27,North
1,8,28,North
1,7,29,North
1,6,30,South
1,6,31,South
1,6,32,South
1,7,33,South
1,8,34,South
1,7,35,North
1,8,36,North
1,9,37,North
1,9,38,North
1,7,39,South
1,6,40,South
1,7,41,South
1,8,42,South
1,9,43,South
1,10,44,South
1,8,45,South
1,8,46,South
1,9,47,North
1,8,48,South
1,6,49,East
1,6,50,East
1,4,51,East
1,4,52,South
1,4,53,East
1,4,54,North
1,3,55,East
1,3,56,East
1,1,57,East
4,7,0,Stop
4,6,1,South
4,6,2,South
4,6,3,East
4,5,4,South
4,5,5,East
4,4,6,South
4,2,7,East
4,2,8,East
4,2,9,East
4,2,10,East
3,4,11,East
3,4,12,North
3,4,13,North
3,2,14,West
3,2,15,West
3,1,16,North
2,6,17,North
2,5,18,South
2,4,19,South
2,4,20,South
2,3,21,South
2,2,22,West
2,2,23,East
2,4,24,East
2,3,25,West
2,3,26,West
2,3,27,East
2,3,28,West
2,3,29,East
2,3,30,East
2,3,31,West
2,3,32,East
2,3,33,East
2,3,34,South
2,3,35,South
2,2,36,West
1,9,37,West
1,8,38,East
1,6,39,East
1,6,40,North
1,5,41,North
1,3,42,East
1,3,43,East
1,4,44,East
1,2,45,North
1,4,46,North
1,2,47,South
1,2,48,South
1,4,49,North
1,2,50,South
1,3,51,South
1,3,52,South
1,2,53,South
1,3,54,South
1,2,55,South
1,3,56,South
1,4,57,South
1,5,58,South
1,4,59,South
1,5,60,South
1,4,61,South
1,4,62,North
1,3,63,North
1,4,64,North
1,2,65,South
1,3,66,South
1,2,67,South
1,3,68,South
1,3,69,South
1,2,70,South
1,2,71,South
1,3,72,South
1,4,73,South
1,3,74,South
1,5,75,North
1,4,76,South
1,4,77,South
1,5,78,South
1,6,79,South
1,5,80,South
1,6,81,North
1,4,82,South
1,3,83,South
1,4,84,South
1,5,85,South
1,4,86,South
1,4,87,South
1,4,88,North
1,6,89,South
1,4,90,North
1,6,91,North
1,5,92,South
1,6,93,South
1,7,94,South
1,8,95,South
1,8,96,North
1,9,97,North
1,7,98,South
1,8,99,South
1,8,100,South
1,9,101,South
1,9,102,South
1,9,103,North
1,10,104,North
1,8,105,South
1,10,106,South
1,10,107,North
1,9,108,North
1,9,109,North
1,7,110,East
1,8,111,North
1,8,112,South
1,6,113,East
