@relation pacman_info-weka.filters.unsupervised.attribute.Remove-R3-4

@attribute pacmanX numeric
@attribute pacmanY numeric
@attribute ticks numeric
@attribute class {Stop,North,South,East,West}

@data
1,11,0,Stop
1,10,1,South
1,9,2,South
1,8,3,South
1,7,4,South
2,7,5,East
3,7,6,East
4,7,7,East
5,7,8,East
6,7,9,East
7,7,10,East
8,7,11,East
8,6,12,South
8,5,13,South
8,4,14,South
8,3,15,South
9,3,16,East
10,3,17,East
10,4,18,North
10,5,19,North
10,4,20,South
10,3,21,South
11,3,22,East
11,3,23,East
11,3,24,East
11,3,25,East
11,3,26,East
11,4,27,North
11,4,28,North
11,4,29,North
11,4,30,North
11,4,31,North
11,4,32,North
11,5,33,North
12,5,34,East
13,5,35,East
13,4,36,South
14,4,37,East
15,4,38,East
15,3,39,South
15,4,40,North
16,4,41,East
16,3,42,South
16,4,43,North
16,5,44,North
15,5,45,West
14,5,46,West
14,6,47,North
14,7,48,North
14,8,49,North
13,8,50,West
12,8,51,West
12,8,52,West
12,7,53,South
12,7,54,South
12,7,55,South
12,7,56,South
12,7,57,South
12,7,58,South
12,8,59,North
12,8,60,North
12,9,61,North
12,8,62,South
12,9,63,North
11,9,64,West
10,9,65,West
10,8,66,South
9,8,67,West
8,8,68,West
8,7,69,South
7,7,70,West
6,7,71,West
1,11,0,Stop
1,10,1,South
1,9,2,South
1,8,3,South
2,8,4,East
3,8,5,East
4,8,6,East
4,7,7,South
5,7,8,East
6,7,9,East
7,7,10,East
8,7,11,East
8,6,12,South
8,5,13,South
8,4,14,South
7,4,15,West
7,5,16,North
8,5,17,East
8,6,18,North
8,7,19,North
8,8,20,North
8,9,21,North
9,9,22,East
10,9,23,East
10,10,24,North
10,11,25,North
10,10,26,South
10,9,27,South
10,8,28,South
10,7,29,South
10,6,30,South
10,5,31,South
10,4,32,South
11,4,33,East
11,4,34,East
11,3,35,South
11,3,36,South
11,3,37,South
11,4,38,North
11,4,39,North
11,4,40,North
11,4,41,North
11,4,42,North
11,5,43,North
12,5,44,East
13,5,45,East
14,5,46,East
15,5,47,East
16,5,48,East
17,5,49,East
1,11,0,Stop
1,10,1,South
1,9,2,South
1,10,3,North
1,10,4,North
1,9,5,South
1,10,6,North
1,10,7,North
1,11,8,North
2,11,9,East
3,11,10,East
4,11,11,East
5,11,12,East
5,10,13,South
5,9,14,South
5,8,15,South
5,7,16,South
6,7,17,East
5,7,18,West
6,7,19,East
5,7,20,West
6,7,21,East
5,7,22,West
4,7,23,West
3,7,24,West
4,7,25,East
3,7,26,West
4,7,27,East
5,7,28,East
6,7,29,East
5,7,30,West
6,7,31,East
5,7,32,West
6,7,33,East
5,7,34,West
6,7,35,East
7,7,36,East
8,7,37,East
8,6,38,South
8,5,39,South
8,6,40,North
8,7,41,North
8,8,42,North
8,9,43,North
9,9,44,East
10,9,45,East
11,9,46,East
12,9,47,East
13,9,48,East
13,8,49,South
14,8,50,East
1,11,0,Stop
1,10,1,South
1,9,2,South
2,9,3,East
3,9,4,East
4,9,5,East
5,9,6,East
6,9,7,East
7,9,8,East
8,9,9,East
7,9,10,West
6,9,11,West
6,10,12,North
6,11,13,North
6,10,14,South
6,9,15,South
6,8,16,South
6,7,17,South
5,7,18,West
6,7,19,East
7,7,20,East
6,7,21,West
7,7,22,East
8,7,23,East
8,6,24,South
8,5,25,South
8,4,26,South
8,3,27,South
7,3,28,West
7,4,29,North
7,5,30,North
8,5,31,East
8,6,32,North
8,7,33,North
8,8,34,North
9,8,35,East
10,8,36,East
10,8,37,East
10,7,38,South
10,8,39,North
10,8,40,North
10,8,41,North
10,7,42,South
10,7,43,South
10,7,44,South
10,8,45,North
10,9,46,North
11,9,47,East
12,9,48,East
13,9,49,East
13,8,50,South
12,8,51,West
12,9,52,North
13,9,53,East
1,11,0,Stop
1,10,1,South
1,9,2,South
2,9,3,East
2,8,4,South
3,8,5,East
3,9,6,North
4,9,7,East
5,9,8,East
6,9,9,East
6,10,10,North
6,11,11,North
6,10,12,South
6,9,13,South
6,8,14,South
6,7,15,South
7,7,16,East
8,7,17,East
8,6,18,South
9,6,19,East
9,5,20,South
9,4,21,South
10,4,22,East
11,4,23,East
11,4,24,East
11,4,25,East
11,4,26,East
11,4,27,East
11,4,28,East
11,3,29,South
11,3,30,South
11,3,31,South
11,3,32,South
11,3,33,South
11,4,34,North
11,5,35,North
11,4,36,South
11,4,37,South
11,5,38,North
12,5,39,East
13,5,40,East
1,11,0,Stop
1,10,1,South
1,9,2,South
1,8,3,South
2,8,4,East
3,8,5,East
3,7,6,South
4,7,7,East
5,7,8,East
6,7,9,East
7,7,10,East
7,8,11,North
7,9,12,North
8,9,13,East
9,9,14,East
10,9,15,East
11,9,16,East
12,9,17,East
12,8,18,South
12,7,19,South
13,7,20,East
14,7,21,East
14,6,22,South
14,5,23,South
14,4,24,South
14,3,25,South
15,3,26,East
15,4,27,North
16,4,28,East
17,4,29,East
17,3,30,South
17,4,31,North
17,5,32,North
16,5,33,West
16,4,34,South
16,3,35,South
15,3,36,West
14,3,37,West
14,4,38,North
14,5,39,North
13,5,40,West
12,5,41,West
11,5,42,West
10,5,43,West
9,5,44,West
8,5,45,West
7,5,46,West
6,5,47,West
5,5,48,West
1,11,0,Stop
1,10,1,South
1,9,2,South
1,8,3,South
1,7,4,South
2,7,5,East
3,7,6,East
4,7,7,East
4,8,8,North
5,8,9,East
6,8,10,East
6,9,11,North
6,10,12,North
6,9,13,South
6,8,14,South
6,7,15,South
7,7,16,East
8,7,17,East
9,7,18,East
9,6,19,South
9,5,20,South
9,4,21,South
10,4,22,East
11,4,23,East
11,4,24,East
11,4,25,East
11,4,26,East
11,4,27,East
11,5,28,North
12,5,29,East
13,5,30,East
13,4,31,South
14,4,32,East
15,4,33,East
16,4,34,East
17,4,35,East
17,5,36,North
18,5,37,East
1,11,0,Stop
1,10,1,South
1,10,2,South
1,10,3,South
1,10,4,South
1,9,5,South
1,10,6,North
1,9,7,South
2,9,8,East
3,9,9,East
4,9,10,East
5,9,11,East
5,8,12,South
6,8,13,East
7,8,14,East
7,7,15,South
8,7,16,East
8,8,17,North
9,8,18,East
9,9,19,North
9,8,20,South
9,9,21,North
10,9,22,East
10,10,23,North
10,9,24,South
11,9,25,East
12,9,26,East
12,8,27,South
12,7,28,South
12,8,29,North
12,9,30,North
11,9,31,West
10,9,32,West
9,9,33,West
1,11,0,Stop
1,10,1,South
1,9,2,South
1,8,3,South
2,8,4,East
2,9,5,North
3,9,6,East
4,9,7,East
5,9,8,East
5,10,9,North
5,11,10,North
4,11,11,West
3,11,12,West
4,11,13,East
5,11,14,East
6,11,15,East
7,11,16,East
8,11,17,East
9,11,18,East
10,11,19,East
10,10,20,South
10,9,21,South
10,8,22,South
10,7,23,South
10,6,24,South
10,5,25,South
9,5,26,West
8,5,27,West
8,4,28,South
9,4,29,East
9,5,30,North
10,5,31,East
10,4,32,South
10,5,33,North
10,4,34,South
11,4,35,East
11,3,36,South
11,3,37,South
11,3,38,South
11,3,39,South
11,4,40,North
11,4,41,North
11,4,42,North
11,4,43,North
11,4,44,North
11,4,45,North
11,4,46,North
11,4,47,North
11,4,48,North
11,4,49,North
11,4,50,North
11,4,51,North
11,4,52,North
11,4,53,North
11,5,54,North
12,5,55,East
13,5,56,East
14,5,57,East
14,6,58,North
14,7,59,North
15,7,60,East
15,8,61,North
1,11,0,Stop
1,10,1,South
1,9,2,South
1,8,3,South
1,7,4,South
2,7,5,East
3,7,6,East
3,8,7,North
3,7,8,South
4,7,9,East
5,7,10,East
6,7,11,East
5,7,12,West
6,7,13,East
7,7,14,East
6,7,15,West
7,7,16,East
8,7,17,East
8,6,18,South
8,5,19,South
8,4,20,South
8,3,21,South
8,4,22,North
8,5,23,North
8,6,24,North
8,7,25,North
8,8,26,North
8,9,27,North
9,9,28,East
10,9,29,East
10,10,30,North
10,11,31,North
11,11,32,East
12,11,33,East
13,11,34,East
14,11,35,East
1,11,0,Stop
1,10,1,South
1,9,2,South
2,9,3,East
3,9,4,East
3,8,5,South
3,9,6,North
4,9,7,East
5,9,8,East
5,8,9,South
5,7,10,South
6,7,11,East
7,7,12,East
8,7,13,East
8,6,14,South
8,5,15,South
8,4,16,South
7,4,17,West
7,5,18,North
8,5,19,East
8,6,20,North
8,7,21,North
9,7,22,East
9,6,23,South
9,7,24,North
9,8,25,North
9,7,26,South
9,8,27,North
9,9,28,North
10,9,29,East
11,9,30,East
11,10,31,North
10,10,32,West
1,11,0,Stop
1,10,1,South
1,9,2,South
2,9,3,East
3,9,4,East
4,9,5,East
5,9,6,East
5,10,7,North
5,11,8,North
6,11,9,East
6,10,10,South
6,9,11,South
6,8,12,South
6,7,13,South
7,7,14,East
8,7,15,East
8,6,16,South
8,5,17,South
9,5,18,East
10,5,19,East
10,6,20,North
10,7,21,North
10,8,22,North
10,8,23,North
10,8,24,North
10,8,25,North
10,9,26,North
1,11,0,Stop
1,10,1,South
1,9,2,South
2,9,3,East
3,9,4,East
3,8,5,South
3,7,6,South
4,7,7,East
5,7,8,East
6,7,9,East
7,7,10,East
8,7,11,East
8,6,12,South
8,5,13,South
8,4,14,South
7,4,15,West
7,5,16,North
6,5,17,West
7,5,18,East
8,5,19,East
8,6,20,North
8,7,21,North
8,8,22,North
8,9,23,North
9,9,24,East
10,9,25,East
10,10,26,North
10,9,27,South
10,8,28,South
10,7,29,South
10,6,30,South
10,5,31,South
10,4,32,South
10,3,33,South
11,3,34,East
11,3,35,East
11,4,36,North
11,4,37,North
11,4,38,North
11,4,39,North
11,4,40,North
11,5,41,North
12,5,42,East
13,5,43,East
13,4,44,South
13,3,45,South
13,4,46,North
13,5,47,North
14,5,48,East
15,5,49,East
16,5,50,East
1,11,0,Stop
1,10,1,South
1,9,2,South
2,9,3,East
3,9,4,East
4,9,5,East
5,9,6,East
6,9,7,East
6,10,8,North
5,10,9,West
5,9,10,South
5,8,11,South
5,7,12,South
6,7,13,East
7,7,14,East
6,7,15,West
7,7,16,East
8,7,17,East
8,6,18,South
8,5,19,South
8,4,20,South
8,3,21,South
8,4,22,North
8,5,23,North
9,5,24,East
10,5,25,East
10,6,26,North
10,7,27,North
10,8,28,North
10,8,29,North
10,7,30,South
10,7,31,South
10,7,32,South
10,7,33,South
10,7,34,South
10,8,35,North
10,8,36,North
10,8,37,North
10,8,38,North
10,7,39,South
10,7,40,South
10,7,41,South
10,7,42,South
10,7,43,South
10,7,44,South
10,6,45,South
10,5,46,South
10,6,47,North
10,5,48,South
11,5,49,East
12,5,50,East
13,5,51,East
13,4,52,South
14,4,53,East
14,5,54,North
15,5,55,East
16,5,56,East
17,5,57,East
1,11,0,Stop
1,10,1,South
1,9,2,South
2,9,3,East
2,8,4,South
3,8,5,East
3,7,6,South
4,7,7,East
5,7,8,East
6,7,9,East
7,7,10,East
8,7,11,East
8,8,12,North
8,9,13,North
7,9,14,West
6,9,15,West
6,10,16,North
6,11,17,North
6,10,18,South
6,9,19,South
6,8,20,South
6,7,21,South
5,7,22,West
6,7,23,East
7,7,24,East
6,7,25,West
5,7,26,West
6,7,27,East
5,7,28,West
6,7,29,East
7,7,30,East
6,7,31,West
7,7,32,East
8,7,33,East
8,6,34,South
8,5,35,South
7,5,36,West
6,5,37,West
7,5,38,East
8,5,39,East
8,6,40,North
8,7,41,North
9,7,42,East
10,7,43,East
10,7,44,East
10,8,45,North
10,9,46,North
10,8,47,South
10,7,48,South
10,8,49,North
10,7,50,South
10,7,51,South
10,7,52,South
10,7,53,South
10,7,54,South
10,7,55,South
10,7,56,South
10,7,57,South
10,7,58,South
10,7,59,South
10,7,60,South
10,7,61,South
10,8,62,North
10,8,63,North
10,9,64,North
10,8,65,South
10,8,66,South
10,8,67,South
10,8,68,South
10,8,69,South
10,7,70,South
10,7,71,South
10,7,72,South
10,7,73,South
10,7,74,South
10,8,75,North
10,7,76,South
10,7,77,South
10,7,78,South
10,7,79,South
10,7,80,South
10,8,81,North
10,7,82,South
10,7,83,South
10,7,84,South
10,7,85,South
10,7,86,South
10,6,87,South
10,7,88,North
10,6,89,South
10,7,90,North
10,8,91,North
10,7,92,South
10,7,93,South
10,7,94,South
10,7,95,South
10,8,96,North
10,8,97,North
10,7,98,South
10,7,99,South
10,7,100,South
10,7,101,South
10,7,102,South
10,8,103,North
10,8,104,North
10,7,105,South
10,6,106,South
10,7,107,North
10,8,108,North
10,9,109,North
11,9,110,East
11,10,111,North
11,9,112,South
12,9,113,East
13,9,114,East
14,9,115,East
14,8,116,South
14,9,117,North
15,9,118,East
15,8,119,South
15,7,120,South
15,8,121,North
15,7,122,South
1,11,0,Stop
1,10,1,South
1,9,2,South
1,8,3,South
2,8,4,East
3,8,5,East
4,8,6,East
4,9,7,North
5,9,8,East
5,10,9,North
5,9,10,South
5,8,11,South
5,7,12,South
6,7,13,East
7,7,14,East
8,7,15,East
8,6,16,South
8,5,17,South
9,5,18,East
9,4,19,South
10,4,20,East
11,4,21,East
11,5,22,North
12,5,23,East
13,5,24,East
14,5,25,East
14,6,26,North
14,7,27,North
1,11,0,Stop
1,10,1,South
1,10,2,South
1,10,3,South
1,10,4,South
1,10,5,South
1,11,6,North
2,11,7,East
3,11,8,East
4,11,9,East
5,11,10,East
5,10,11,South
5,9,12,South
5,8,13,South
5,7,14,South
6,7,15,East
7,7,16,East
7,8,17,North
7,9,18,North
8,9,19,East
9,9,20,East
10,9,21,East
10,10,22,North
10,11,23,North
11,11,24,East
12,11,25,East
13,11,26,East
14,11,27,East
15,11,28,East
16,11,29,East
17,11,30,East
18,11,31,East
18,10,32,South
18,9,33,South
18,8,34,South
18,7,35,South
18,6,36,South
18,5,37,South
18,4,38,South
18,3,39,South
17,3,40,West
16,3,41,West
15,3,42,West
1,11,0,Stop
1,10,1,South
1,9,2,South
2,9,3,East
3,9,4,East
4,9,5,East
5,9,6,East
5,8,7,South
5,7,8,South
6,7,9,East
5,7,10,West
4,7,11,West
3,7,12,West
4,7,13,East
3,7,14,West
4,7,15,East
3,7,16,West
2,7,17,West
3,7,18,East
2,7,19,West
1,7,20,West
1,6,21,South
1,5,22,South
1,4,23,South
2,4,24,East
2,5,25,North
3,5,26,East
4,5,27,East
5,5,28,East
6,5,29,East
7,5,30,East
8,5,31,East
8,6,32,North
8,7,33,North
9,7,34,East
9,8,35,North
10,8,36,East
10,8,37,East
10,7,38,South
10,7,39,South
10,8,40,North
10,8,41,North
10,8,42,North
10,9,43,North
11,9,44,East
12,9,45,East
13,9,46,East
14,9,47,East
15,9,48,East
16,9,49,East
16,8,50,South
16,9,51,North
15,9,52,West
1,11,0,Stop
1,10,1,South
1,9,2,South
2,9,3,East
3,9,4,East
4,9,5,East
5,9,6,East
6,9,7,East
6,10,8,North
6,9,9,South
6,8,10,South
6,7,11,South
7,7,12,East
6,7,13,West
5,7,14,West
6,7,15,East
5,7,16,West
6,7,17,East
5,7,18,West
4,7,19,West
5,7,20,East
4,7,21,West
5,7,22,East
4,7,23,West
3,7,24,West
4,7,25,East
5,7,26,East
4,7,27,West
5,7,28,East
4,7,29,West
3,7,30,West
4,7,31,East
3,7,32,West
2,7,33,West
3,7,34,East
2,7,35,West
3,7,36,East
2,7,37,West
1,7,38,West
1,6,39,South
1,5,40,South
1,4,41,South
2,4,42,East
3,4,43,East
4,4,44,East
5,4,45,East
6,4,46,East
6,3,47,South
7,3,48,East
7,4,49,North
8,4,50,East
8,3,51,South
8,4,52,North
9,4,53,East
10,4,54,East
11,4,55,East
11,5,56,North
12,5,57,East
13,5,58,East
14,5,59,East
14,4,60,South
1,11,0,Stop
1,10,1,South
1,9,2,South
2,9,3,East
3,9,4,East
4,9,5,East
5,9,6,East
5,10,7,North
5,11,8,North
6,11,9,East
7,11,10,East
8,11,11,East
9,11,12,East
10,11,13,East
10,10,14,South
10,9,15,South
10,8,16,South
10,7,17,South
10,6,18,South
10,5,19,South
10,6,20,North
10,7,21,North
9,7,22,West
8,7,23,West
7,7,24,West
6,7,25,West
6,8,26,North
5,8,27,West
5,9,28,North
5,8,29,South
4,8,30,West
4,7,31,South
5,7,32,East
6,7,33,East
7,7,34,East
8,7,35,East
8,6,36,South
8,5,37,South
9,5,38,East
10,5,39,East
11,5,40,East
12,5,41,East
13,5,42,East
13,4,43,South
13,5,44,North
14,5,45,East
14,6,46,North
14,7,47,North
15,7,48,East
15,8,49,North
14,8,50,West
1,11,0,Stop
1,10,1,South
1,9,2,South
2,9,3,East
2,8,4,South
3,8,5,East
3,9,6,North
3,8,7,South
4,8,8,East
4,7,9,South
5,7,10,East
6,7,11,East
5,7,12,West
6,7,13,East
5,7,14,West
4,7,15,West
5,7,16,East
4,7,17,West
5,7,18,East
6,7,19,East
5,7,20,West
6,7,21,East
5,7,22,West
4,7,23,West
5,7,24,East
6,7,25,East
5,7,26,West
6,7,27,East
6,8,28,North
6,9,29,North
6,8,30,South
6,7,31,South
5,7,32,West
4,7,33,West
3,7,34,West
4,7,35,East
3,7,36,West
4,7,37,East
5,7,38,East
6,7,39,East
5,7,40,West
4,7,41,West
5,7,42,East
4,7,43,West
5,7,44,East
4,7,45,West
5,7,46,East
6,7,47,East
7,7,48,East
6,7,49,West
5,7,50,West
6,7,51,East
7,7,52,East
6,7,53,West
7,7,54,East
6,7,55,West
7,7,56,East
6,7,57,West
5,7,58,West
6,7,59,East
5,7,60,West
6,7,61,East
7,7,62,East
6,7,63,West
7,7,64,East
8,7,65,East
8,6,66,South
8,5,67,South
8,4,68,South
8,3,69,South
7,3,70,West
7,4,71,North
6,4,72,West
5,4,73,West
5,3,74,South
1,11,0,Stop
1,10,1,South
1,9,2,South
1,8,3,South
1,9,4,North
2,9,5,East
2,8,6,South
3,8,7,East
3,9,8,North
4,9,9,East
5,9,10,East
5,10,11,North
5,11,12,North
5,10,13,South
6,10,14,East
6,10,15,East
6,10,16,East
6,9,17,South
6,10,18,North
6,10,19,North
6,10,20,North
6,9,21,South
7,9,22,East
8,9,23,East
8,8,24,South
8,7,25,South
8,6,26,South
8,5,27,South
9,5,28,East
10,5,29,East
11,5,30,East
12,5,31,East
13,5,32,East
14,5,33,East
1,11,0,Stop
1,10,1,South
1,9,2,South
2,9,3,East
3,9,4,East
4,9,5,East
4,8,6,South
4,7,7,South
3,7,8,West
4,7,9,East
5,7,10,East
4,7,11,West
5,7,12,East
5,8,13,North
5,9,14,North
5,10,15,North
5,11,16,North
6,11,17,East
7,11,18,East
8,11,19,East
9,11,20,East
10,11,21,East
10,10,22,South
10,9,23,South
10,8,24,South
10,9,25,North
10,8,26,South
10,8,27,South
10,8,28,South
10,8,29,South
10,8,30,South
10,8,31,South
10,8,32,South
10,8,33,South
10,9,34,North
10,10,35,North
11,10,36,East
11,11,37,North
12,11,38,East
11,11,39,West
11,10,40,South
11,9,41,South
10,9,42,West
10,8,43,South
10,7,44,South
10,6,45,South
10,5,46,South
9,5,47,West
9,4,48,South
9,3,49,South
8,3,50,West
7,3,51,West
6,3,52,West
6,4,53,North
5,4,54,West
5,5,55,North
5,4,56,South
5,3,57,South
4,3,58,West
4,4,59,North
1,11,0,Stop
1,10,1,South
1,9,2,South
2,9,3,East
3,9,4,East
4,9,5,East
4,8,6,South
5,8,7,East
6,8,8,East
7,8,9,East
8,8,10,East
9,8,11,East
9,9,12,North
10,9,13,East
10,10,14,North
10,9,15,South
11,9,16,East
12,9,17,East
12,8,18,South
12,7,19,South
12,7,20,South
12,7,21,South
12,7,22,South
12,7,23,South
12,7,24,South
12,7,25,South
12,7,26,South
12,7,27,South
12,7,28,South
12,7,29,South
12,7,30,South
12,7,31,South
12,7,32,South
12,7,33,South
12,7,34,South
12,7,35,South
12,7,36,South
12,7,37,South
12,7,38,South
12,7,39,South
12,7,40,South
12,7,41,South
12,7,42,South
12,7,43,South
12,7,44,South
12,7,45,South
12,7,46,South
12,7,47,South
12,7,48,South
12,7,49,South
12,7,50,South
12,7,51,South
12,7,52,South
12,7,53,South
12,7,54,South
12,7,55,South
12,7,56,South
12,7,57,South
12,7,58,South
12,7,59,South
12,7,60,South
12,7,61,South
12,7,62,South
12,7,63,South
12,7,64,South
12,7,65,South
12,7,66,South
12,7,67,South
12,7,68,South
12,7,69,South
12,7,70,South
12,7,71,South
12,7,72,South
12,7,73,South
12,7,74,South
