@relation 'pacman_info-weka.filters.unsupervised.attribute.Remove-R3,5'

@attribute pacmanX numeric
@attribute pacmanY numeric
@attribute minGhost numeric
@attribute class {Stop,North,South,East,West}

@data
1,11,7,Stop
1,10,7,South
1,9,6,South
1,8,6,South
1,7,6,South
2,7,5,East
3,7,4,East
4,7,4,East
5,7,4,East
6,7,4,East
7,7,4,East
8,7,4,East
8,6,4,South
8,5,2,South
8,4,3,South
8,3,3,South
9,3,2,East
10,3,6,East
10,4,4,North
10,5,6,North
10,4,4,South
10,3,3,South
11,3,3,East
11,3,4,East
11,3,4,East
11,3,5,East
11,3,4,East
11,4,4,North
11,4,4,North
11,4,5,North
11,4,5,North
11,4,6,North
11,4,7,North
11,5,5,North
12,5,5,East
13,5,5,East
13,4,4,South
14,4,4,East
15,4,2,East
15,3,4,South
15,4,4,North
16,4,2,East
16,3,14,South
16,4,13,North
16,5,11,North
15,5,9,West
14,5,9,West
14,6,9,North
14,7,9,North
14,8,7,North
13,8,5,West
12,8,5,West
12,8,6,West
12,7,6,South
12,7,5,South
12,7,6,South
12,7,6,South
12,7,7,South
12,7,8,South
12,8,7,North
12,8,8,North
12,9,8,North
12,8,8,South
12,9,8,North
11,9,8,West
10,9,7,West
10,8,7,South
9,8,6,West
8,8,6,West
8,7,4,South
7,7,4,West
6,7,2,West
1,11,7,Stop
1,10,7,South
1,9,5,South
1,8,4,South
2,8,3,East
3,8,3,East
4,8,3,East
4,7,1,South
5,7,5,East
6,7,5,East
7,7,5,East
8,7,3,East
8,6,3,South
8,5,2,South
8,4,1,South
7,4,9,West
7,5,7,North
8,5,7,East
8,6,7,North
8,7,6,North
8,8,5,North
8,9,3,North
9,9,3,East
10,9,2,East
10,10,1,North
10,11,10,North
10,10,10,South
10,9,9,South
10,8,9,South
10,7,7,South
10,6,5,South
10,5,4,South
10,4,3,South
11,4,3,East
11,4,4,East
11,3,2,South
11,3,3,South
11,3,4,South
11,4,2,North
11,4,3,North
11,4,4,North
11,4,5,North
11,4,6,North
11,5,6,North
12,5,4,East
13,5,4,East
14,5,4,East
15,5,3,East
16,5,3,East
17,5,2,East
1,11,7,Stop
1,10,5,South
1,9,5,South
1,10,4,North
1,10,5,North
1,9,5,South
1,10,4,North
1,10,5,North
1,11,3,North
2,11,1,East
3,11,1,East
4,11,8,East
5,11,7,East
5,10,7,South
5,9,6,South
5,8,6,South
5,7,4,South
6,7,4,East
5,7,2,West
6,7,4,East
5,7,2,West
6,7,3,East
5,7,3,West
4,7,3,West
3,7,2,West
4,7,3,East
3,7,3,West
4,7,3,East
5,7,3,East
6,7,4,East
5,7,3,West
6,7,4,East
5,7,2,West
6,7,3,East
5,7,3,West
6,7,3,East
7,7,3,East
8,7,2,East
8,6,1,South
8,5,9,South
8,6,9,North
8,7,9,North
8,8,9,North
8,9,7,North
9,9,7,East
10,9,5,East
11,9,4,East
12,9,4,East
13,9,2,East
13,8,2,South
14,8,1,East
1,11,7,Stop
1,10,5,South
1,9,5,South
2,9,5,East
3,9,4,East
4,9,3,East
5,9,3,East
6,9,2,East
7,9,1,East
8,9,3,East
7,9,2,West
6,9,2,West
6,10,2,North
6,11,7,North
6,10,7,South
6,9,7,South
6,8,5,South
6,7,4,South
5,7,4,West
6,7,4,East
7,7,5,East
6,7,5,West
7,7,3,East
8,7,3,East
8,6,3,South
8,5,3,South
8,4,2,South
8,3,2,South
7,3,2,West
7,4,2,North
7,5,11,North
8,5,9,East
8,6,7,North
8,7,7,North
8,8,6,North
9,8,4,East
10,8,4,East
10,8,3,East
10,7,3,South
10,8,2,North
10,8,3,North
10,8,3,North
10,7,2,South
10,7,3,South
10,7,4,South
10,8,2,North
10,9,2,North
11,9,2,East
12,9,2,East
13,9,2,East
13,8,2,South
12,8,2,West
12,9,2,North
13,9,1,East
1,11,7,Stop
1,10,6,South
1,9,4,South
2,9,4,East
2,8,4,South
3,8,4,East
3,9,4,North
4,9,3,East
5,9,1,East
6,9,3,East
6,10,1,North
6,11,8,North
6,10,6,South
6,9,6,South
6,8,6,South
6,7,6,South
7,7,4,East
8,7,2,East
8,6,1,South
9,6,9,East
9,5,8,South
9,4,6,South
10,4,4,East
11,4,3,East
11,4,2,East
11,4,3,East
11,4,3,East
11,4,4,East
11,4,4,East
11,3,2,South
11,3,2,South
11,3,2,South
11,3,3,South
11,3,4,South
11,4,2,North
11,5,4,North
11,4,4,South
11,4,4,South
11,5,4,North
12,5,3,East
13,5,1,East
1,11,7,Stop
1,10,7,South
1,9,7,South
1,8,6,South
2,8,5,East
3,8,5,East
3,7,5,South
4,7,4,East
5,7,4,East
6,7,4,East
7,7,3,East
7,8,1,North
7,9,4,North
8,9,4,East
9,9,2,East
10,9,2,East
11,9,10,East
12,9,9,East
12,8,8,South
12,7,7,South
13,7,6,East
14,7,5,East
14,6,4,South
14,5,3,South
14,4,3,South
14,3,3,South
15,3,2,East
15,4,2,North
16,4,2,East
17,4,14,East
17,3,14,South
17,4,14,North
17,5,12,North
16,5,12,West
16,4,12,South
16,3,10,South
15,3,9,West
14,3,9,West
14,4,9,North
14,5,9,North
13,5,7,West
12,5,7,West
11,5,6,West
10,5,6,West
9,5,6,West
8,5,4,West
7,5,4,West
6,5,2,West
5,5,1,West
1,11,7,Stop
1,10,7,South
1,9,7,South
1,8,5,South
1,7,5,South
2,7,3,East
3,7,2,East
4,7,2,East
4,8,2,North
5,8,1,East
6,8,4,East
6,9,2,North
6,10,8,North
6,9,7,South
6,8,7,South
6,7,5,South
7,7,3,East
8,7,1,East
9,7,9,East
9,6,8,South
9,5,8,South
9,4,6,South
10,4,5,East
11,4,5,East
11,4,6,East
11,4,5,East
11,4,6,East
11,4,7,East
11,5,7,North
12,5,6,East
13,5,4,East
13,4,3,South
14,4,3,East
15,4,3,East
16,4,3,East
17,4,3,East
17,5,2,North
18,5,1,East
1,11,7,Stop
1,10,5,South
1,10,4,South
1,10,5,South
1,10,6,South
1,9,6,South
1,10,6,North
1,9,4,South
2,9,4,East
3,9,4,East
4,9,2,East
5,9,2,East
5,8,2,South
6,8,1,East
7,8,3,East
7,7,1,South
8,7,3,East
8,8,3,North
9,8,1,East
9,9,1,North
9,8,3,South
9,9,2,North
10,9,2,East
10,10,2,North
10,9,2,South
11,9,2,East
12,9,2,East
12,8,1,South
12,7,4,South
12,8,4,North
12,9,2,North
11,9,2,West
10,9,2,West
9,9,1,West
1,11,7,Stop
1,10,5,South
1,9,5,South
1,8,5,South
2,8,5,East
2,9,3,North
3,9,2,East
4,9,2,East
5,9,2,East
5,10,2,North
5,11,2,North
4,11,1,West
3,11,8,West
4,11,8,East
5,11,7,East
6,11,5,East
7,11,3,East
8,11,3,East
9,11,1,East
10,11,7,East
10,10,7,South
10,9,6,South
10,8,6,South
10,7,5,South
10,6,3,South
10,5,3,South
9,5,1,West
8,5,7,West
8,4,7,South
9,4,7,East
9,5,7,North
10,5,5,East
10,4,5,South
10,5,6,North
10,4,6,South
11,4,6,East
11,3,6,South
11,3,7,South
11,3,8,South
11,3,8,South
11,4,6,North
11,4,6,North
11,4,6,North
11,4,7,North
11,4,6,North
11,4,6,North
11,4,6,North
11,4,7,North
11,4,6,North
11,4,5,North
