@relation pacman_info-weka.filters.unsupervised.attribute.Remove-R4

@attribute pacmanX numeric
@attribute pacmanY numeric
@attribute livingGhosts numeric
@attribute ticks numeric
@attribute class {Stop,North,South,East,West}

@data
1,11,4,0,Stop
1,10,4,1,South
1,9,4,2,South
1,8,4,3,South
1,7,4,4,South
2,7,4,5,East
3,7,4,6,East
4,7,4,7,East
5,7,4,8,East
6,7,4,9,East
7,7,4,10,East
8,7,4,11,East
8,6,4,12,South
8,5,4,13,South
8,4,3,14,South
8,3,3,15,South
9,3,3,16,East
10,3,2,17,East
10,4,2,18,North
10,5,2,19,North
10,4,2,20,South
10,3,2,21,South
11,3,2,22,East
11,3,2,23,East
11,3,2,24,East
11,3,2,25,East
11,3,2,26,East
11,4,2,27,North
11,4,2,28,North
11,4,2,29,North
11,4,2,30,North
11,4,2,31,North
11,4,2,32,North
11,5,2,33,North
12,5,2,34,East
13,5,2,35,East
13,4,2,36,South
14,4,2,37,East
15,4,2,38,East
15,3,2,39,South
15,4,2,40,North
16,4,2,41,East
16,3,1,42,South
16,4,1,43,North
16,5,1,44,North
15,5,1,45,West
14,5,1,46,West
14,6,1,47,North
14,7,1,48,North
14,8,1,49,North
13,8,1,50,West
12,8,1,51,West
12,8,1,52,West
12,7,1,53,South
12,7,1,54,South
12,7,1,55,South
12,7,1,56,South
12,7,1,57,South
12,7,1,58,South
12,8,1,59,North
12,8,1,60,North
12,9,1,61,North
12,8,1,62,South
12,9,1,63,North
11,9,1,64,West
10,9,1,65,West
10,8,1,66,South
9,8,1,67,West
8,8,1,68,West
8,7,1,69,South
7,7,1,70,West
6,7,1,71,West
1,11,4,0,Stop
1,10,4,1,South
1,9,4,2,South
1,8,4,3,South
2,8,4,4,East
3,8,4,5,East
4,8,4,6,East
4,7,4,7,South
5,7,3,8,East
6,7,3,9,East
7,7,3,10,East
8,7,3,11,East
8,6,3,12,South
8,5,3,13,South
8,4,3,14,South
7,4,2,15,West
7,5,2,16,North
8,5,2,17,East
8,6,2,18,North
8,7,2,19,North
8,8,2,20,North
8,9,2,21,North
9,9,2,22,East
10,9,2,23,East
10,10,2,24,North
10,11,1,25,North
10,10,1,26,South
10,9,1,27,South
10,8,1,28,South
10,7,1,29,South
10,6,1,30,South
10,5,1,31,South
10,4,1,32,South
11,4,1,33,East
11,4,1,34,East
11,3,1,35,South
11,3,1,36,South
11,3,1,37,South
11,4,1,38,North
11,4,1,39,North
11,4,1,40,North
11,4,1,41,North
11,4,1,42,North
11,5,1,43,North
12,5,1,44,East
13,5,1,45,East
14,5,1,46,East
15,5,1,47,East
16,5,1,48,East
17,5,1,49,East
1,11,4,0,Stop
1,10,4,1,South
1,9,4,2,South
1,10,4,3,North
1,10,4,4,North
1,9,4,5,South
1,10,4,6,North
1,10,4,7,North
1,11,4,8,North
2,11,4,9,East
3,11,3,10,East
4,11,2,11,East
5,11,2,12,East
5,10,2,13,South
5,9,2,14,South
5,8,2,15,South
5,7,2,16,South
6,7,2,17,East
5,7,2,18,West
6,7,2,19,East
5,7,2,20,West
6,7,2,21,East
5,7,2,22,West
4,7,2,23,West
3,7,2,24,West
4,7,2,25,East
3,7,2,26,West
4,7,2,27,East
5,7,2,28,East
6,7,2,29,East
5,7,2,30,West
6,7,2,31,East
5,7,2,32,West
6,7,2,33,East
5,7,2,34,West
6,7,2,35,East
7,7,2,36,East
8,7,2,37,East
8,6,2,38,South
8,5,1,39,South
8,6,1,40,North
8,7,1,41,North
8,8,1,42,North
8,9,1,43,North
9,9,1,44,East
10,9,1,45,East
11,9,1,46,East
12,9,1,47,East
13,9,1,48,East
13,8,1,49,South
14,8,1,50,East
1,11,4,0,Stop
1,10,4,1,South
1,9,4,2,South
2,9,4,3,East
3,9,4,4,East
4,9,4,5,East
5,9,4,6,East
6,9,4,7,East
7,9,4,8,East
8,9,3,9,East
7,9,3,10,West
6,9,3,11,West
6,10,3,12,North
6,11,2,13,North
6,10,2,14,South
6,9,2,15,South
6,8,2,16,South
6,7,2,17,South
5,7,2,18,West
6,7,2,19,East
7,7,2,20,East
6,7,2,21,West
7,7,2,22,East
8,7,2,23,East
8,6,2,24,South
8,5,2,25,South
8,4,2,26,South
8,3,2,27,South
7,3,2,28,West
7,4,2,29,North
7,5,1,30,North
8,5,1,31,East
8,6,1,32,North
8,7,1,33,North
8,8,1,34,North
9,8,1,35,East
10,8,1,36,East
10,8,1,37,East
10,7,1,38,South
10,8,1,39,North
10,8,1,40,North
10,8,1,41,North
10,7,1,42,South
10,7,1,43,South
10,7,1,44,South
10,8,1,45,North
10,9,1,46,North
11,9,1,47,East
12,9,1,48,East
13,9,1,49,East
13,8,1,50,South
12,8,1,51,West
12,9,1,52,North
13,9,1,53,East
1,11,4,0,Stop
1,10,4,1,South
1,9,4,2,South
2,9,4,3,East
2,8,4,4,South
3,8,4,5,East
3,9,4,6,North
4,9,4,7,East
5,9,4,8,East
6,9,3,9,East
6,10,3,10,North
6,11,2,11,North
6,10,2,12,South
6,9,2,13,South
6,8,2,14,South
6,7,2,15,South
7,7,2,16,East
8,7,2,17,East
8,6,2,18,South
9,6,1,19,East
9,5,1,20,South
9,4,1,21,South
10,4,1,22,East
11,4,1,23,East
11,4,1,24,East
11,4,1,25,East
11,4,1,26,East
11,4,1,27,East
11,4,1,28,East
11,3,1,29,South
11,3,1,30,South
11,3,1,31,South
11,3,1,32,South
11,3,1,33,South
11,4,1,34,North
11,5,1,35,North
11,4,1,36,South
11,4,1,37,South
11,5,1,38,North
12,5,1,39,East
13,5,1,40,East
1,11,4,0,Stop
1,10,4,1,South
1,9,4,2,South
1,8,4,3,South
2,8,4,4,East
3,8,4,5,East
3,7,4,6,South
4,7,4,7,East
5,7,4,8,East
6,7,4,9,East
7,7,4,10,East
7,8,4,11,North
7,9,3,12,North
8,9,3,13,East
9,9,3,14,East
10,9,3,15,East
11,9,2,16,East
12,9,2,17,East
12,8,2,18,South
12,7,2,19,South
13,7,2,20,East
14,7,2,21,East
14,6,2,22,South
14,5,2,23,South
14,4,2,24,South
14,3,2,25,South
15,3,2,26,East
15,4,2,27,North
16,4,2,28,East
17,4,1,29,East
17,3,1,30,South
17,4,1,31,North
17,5,1,32,North
16,5,1,33,West
16,4,1,34,South
16,3,1,35,South
15,3,1,36,West
14,3,1,37,West
14,4,1,38,North
14,5,1,39,North
13,5,1,40,West
12,5,1,41,West
11,5,1,42,West
10,5,1,43,West
9,5,1,44,West
8,5,1,45,West
7,5,1,46,West
6,5,1,47,West
5,5,1,48,West
1,11,4,0,Stop
1,10,4,1,South
1,9,4,2,South
1,8,4,3,South
1,7,4,4,South
2,7,4,5,East
3,7,4,6,East
4,7,4,7,East
4,8,4,8,North
5,8,4,9,East
6,8,3,10,East
6,9,3,11,North
6,10,2,12,North
6,9,2,13,South
6,8,2,14,South
6,7,2,15,South
7,7,2,16,East
8,7,2,17,East
9,7,1,18,East
9,6,1,19,South
9,5,1,20,South
9,4,1,21,South
10,4,1,22,East
11,4,1,23,East
11,4,1,24,East
11,4,1,25,East
11,4,1,26,East
11,4,1,27,East
11,5,1,28,North
12,5,1,29,East
13,5,1,30,East
13,4,1,31,South
14,4,1,32,East
15,4,1,33,East
16,4,1,34,East
17,4,1,35,East
17,5,1,36,North
18,5,1,37,East
1,11,4,0,Stop
1,10,4,1,South
1,10,4,2,South
1,10,4,3,South
1,10,4,4,South
1,9,4,5,South
1,10,4,6,North
1,9,4,7,South
2,9,4,8,East
3,9,4,9,East
4,9,4,10,East
5,9,4,11,East
5,8,4,12,South
6,8,4,13,East
7,8,3,14,East
7,7,3,15,South
8,7,2,16,East
8,8,2,17,North
9,8,2,18,East
9,9,2,19,North
9,8,2,20,South
9,9,2,21,North
10,9,2,22,East
10,10,2,23,North
10,9,2,24,South
11,9,2,25,East
12,9,2,26,East
12,8,2,27,South
12,7,1,28,South
12,8,1,29,North
12,9,1,30,North
11,9,1,31,West
10,9,1,32,West
9,9,1,33,West
1,11,4,0,Stop
1,10,4,1,South
1,9,4,2,South
1,8,4,3,South
2,8,4,4,East
2,9,4,5,North
3,9,4,6,East
4,9,4,7,East
5,9,4,8,East
5,10,4,9,North
5,11,4,10,North
4,11,4,11,West
3,11,3,12,West
4,11,3,13,East
5,11,3,14,East
6,11,3,15,East
7,11,3,16,East
8,11,3,17,East
9,11,3,18,East
10,11,2,19,East
10,10,2,20,South
10,9,2,21,South
10,8,2,22,South
10,7,2,23,South
10,6,2,24,South
10,5,2,25,South
9,5,2,26,West
8,5,1,27,West
8,4,1,28,South
9,4,1,29,East
9,5,1,30,North
10,5,1,31,East
10,4,1,32,South
10,5,1,33,North
10,4,1,34,South
11,4,1,35,East
11,3,1,36,South
11,3,1,37,South
11,3,1,38,South
11,3,1,39,South
11,4,1,40,North
11,4,1,41,North
11,4,1,42,North
11,4,1,43,North
11,4,1,44,North
11,4,1,45,North
11,4,1,46,North
11,4,1,47,North
11,4,1,48,North
11,4,1,49,North
11,4,1,50,North
11,4,1,51,North
11,4,1,52,North
11,4,1,53,North
11,5,1,54,North
12,5,1,55,East
13,5,1,56,East
14,5,1,57,East
14,6,1,58,North
14,7,1,59,North
15,7,1,60,East
15,8,1,61,North
1,11,4,0,Stop
1,10,4,1,South
1,9,4,2,South
1,8,4,3,South
1,7,4,4,South
2,7,4,5,East
3,7,4,6,East
3,8,4,7,North
3,7,4,8,South
4,7,3,9,East
5,7,3,10,East
6,7,3,11,East
5,7,3,12,West
6,7,3,13,East
7,7,3,14,East
6,7,3,15,West
7,7,3,16,East
8,7,3,17,East
8,6,3,18,South
8,5,3,19,South
8,4,3,20,South
8,3,2,21,South
8,4,2,22,North
8,5,2,23,North
8,6,2,24,North
8,7,2,25,North
8,8,2,26,North
8,9,2,27,North
9,9,2,28,East
10,9,2,29,East
10,10,2,30,North
10,11,1,31,North
11,11,1,32,East
12,11,1,33,East
13,11,1,34,East
14,11,1,35,East
1,11,4,0,Stop
1,10,4,1,South
1,9,4,2,South
2,9,4,3,East
3,9,4,4,East
3,8,4,5,South
3,9,4,6,North
4,9,4,7,East
5,9,4,8,East
5,8,4,9,South
5,7,4,10,South
6,7,3,11,East
7,7,3,12,East
8,7,3,13,East
8,6,3,14,South
8,5,3,15,South
8,4,3,16,South
7,4,2,17,West
7,5,2,18,North
8,5,2,19,East
8,6,2,20,North
8,7,2,21,North
9,7,2,22,East
9,6,2,23,South
9,7,2,24,North
9,8,2,25,North
9,7,2,26,South
9,8,2,27,North
9,9,1,28,North
10,9,1,29,East
11,9,1,30,East
11,10,1,31,North
10,10,1,32,West
1,11,4,0,Stop
1,10,4,1,South
1,9,4,2,South
2,9,4,3,East
3,9,4,4,East
4,9,4,5,East
5,9,4,6,East
5,10,3,7,North
5,11,3,8,North
6,11,2,9,East
6,10,2,10,South
6,9,2,11,South
6,8,2,12,South
6,7,2,13,South
7,7,2,14,East
8,7,2,15,East
8,6,2,16,South
8,5,2,17,South
9,5,2,18,East
10,5,1,19,East
10,6,1,20,North
10,7,1,21,North
10,8,1,22,North
10,8,1,23,North
10,8,1,24,North
10,8,1,25,North
10,9,1,26,North
1,11,4,0,Stop
1,10,4,1,South
1,9,4,2,South
2,9,4,3,East
3,9,3,4,East
3,8,3,5,South
3,7,3,6,South
4,7,3,7,East
5,7,3,8,East
6,7,3,9,East
7,7,3,10,East
8,7,3,11,East
8,6,3,12,South
8,5,3,13,South
8,4,3,14,South
7,4,3,15,West
7,5,3,16,North
6,5,2,17,West
7,5,2,18,East
8,5,2,19,East
8,6,2,20,North
8,7,2,21,North
8,8,2,22,North
8,9,2,23,North
9,9,2,24,East
10,9,2,25,East
10,10,1,26,North
10,9,1,27,South
10,8,1,28,South
10,7,1,29,South
10,6,1,30,South
10,5,1,31,South
10,4,1,32,South
10,3,1,33,South
11,3,1,34,East
11,3,1,35,East
11,4,1,36,North
11,4,1,37,North
11,4,1,38,North
11,4,1,39,North
11,4,1,40,North
11,5,1,41,North
12,5,1,42,East
13,5,1,43,East
13,4,1,44,South
13,3,1,45,South
13,4,1,46,North
13,5,1,47,North
14,5,1,48,East
15,5,1,49,East
16,5,1,50,East
1,11,4,0,Stop
1,10,4,1,South
1,9,4,2,South
2,9,4,3,East
3,9,4,4,East
4,9,4,5,East
5,9,4,6,East
6,9,3,7,East
6,10,3,8,North
5,10,2,9,West
5,9,2,10,South
5,8,2,11,South
5,7,2,12,South
6,7,2,13,East
7,7,2,14,East
6,7,2,15,West
7,7,2,16,East
8,7,2,17,East
8,6,2,18,South
8,5,2,19,South
8,4,2,20,South
8,3,2,21,South
8,4,2,22,North
8,5,2,23,North
9,5,2,24,East
10,5,1,25,East
10,6,1,26,North
10,7,1,27,North
10,8,1,28,North
10,8,1,29,North
10,7,1,30,South
10,7,1,31,South
10,7,1,32,South
10,7,1,33,South
10,7,1,34,South
10,8,1,35,North
10,8,1,36,North
10,8,1,37,North
10,8,1,38,North
10,7,1,39,South
10,7,1,40,South
10,7,1,41,South
10,7,1,42,South
10,7,1,43,South
10,7,1,44,South
