@relation pacman_info-weka.filters.unsupervised.attribute.Remove-R5

@attribute pacmanX numeric
@attribute pacmanY numeric
@attribute livingGhosts numeric
@attribute minGhost numeric
@attribute class {Stop,North,South,East,West}

@data
1,11,4,7,Stop
1,10,4,7,South
1,9,4,6,South
1,8,4,6,South
1,7,4,6,South
2,7,4,5,East
3,7,4,4,East
4,7,4,4,East
5,7,4,4,East
6,7,4,4,East
7,7,4,4,East
8,7,4,4,East
8,6,4,4,South
8,5,4,2,South
8,4,3,3,South
8,3,3,3,South
9,3,3,2,East
10,3,2,6,East
10,4,2,4,North
10,5,2,6,North
10,4,2,4,South
10,3,2,3,South
11,3,2,3,East
11,3,2,4,East
11,3,2,4,East
11,3,2,5,East
11,3,2,4,East
11,4,2,4,North
11,4,2,4,North
11,4,2,5,North
11,4,2,5,North
11,4,2,6,North
11,4,2,7,North
11,5,2,5,North
12,5,2,5,East
13,5,2,5,East
13,4,2,4,South
14,4,2,4,East
15,4,2,2,East
15,3,2,4,South
15,4,2,4,North
16,4,2,2,East
16,3,1,14,South
16,4,1,13,North
16,5,1,11,North
15,5,1,9,West
14,5,1,9,West
14,6,1,9,North
14,7,1,9,North
14,8,1,7,North
13,8,1,5,West
12,8,1,5,West
12,8,1,6,West
12,7,1,6,South
12,7,1,5,South
12,7,1,6,South
12,7,1,6,South
12,7,1,7,South
12,7,1,8,South
12,8,1,7,North
12,8,1,8,North
12,9,1,8,North
12,8,1,8,South
12,9,1,8,North
11,9,1,8,West
10,9,1,7,West
10,8,1,7,South
9,8,1,6,West
8,8,1,6,West
8,7,1,4,South
7,7,1,4,West
6,7,1,2,West
1,11,4,7,Stop
1,10,4,7,South
1,9,4,5,South
1,8,4,4,South
2,8,4,3,East
3,8,4,3,East
4,8,4,3,East
4,7,4,1,South
5,7,3,5,East
6,7,3,5,East
7,7,3,5,East
8,7,3,3,East
8,6,3,3,South
8,5,3,2,South
8,4,3,1,South
7,4,2,9,West
7,5,2,7,North
8,5,2,7,East
8,6,2,7,North
8,7,2,6,North
8,8,2,5,North
8,9,2,3,North
9,9,2,3,East
10,9,2,2,East
10,10,2,1,North
10,11,1,10,North
10,10,1,10,South
10,9,1,9,South
10,8,1,9,South
10,7,1,7,South
10,6,1,5,South
