@RELATION pacman_info
   @ATTRIBUTE pacmanX NUMERIC
   @ATTRIBUTE pacmanY NUMERIC
   @ATTRIBUTE livingGhosts NUMERIC
   @ATTRIBUTE minGhost NUMERIC
   @ATTRIBUTE ticks NUMERIC
   @ATTRIBUTE class {Stop, North, South, East, West}

@data
1,11,4,7,0,Stop
1,10,4,7,1,South
1,9,4,6,2,South
1,8,4,6,3,South
1,7,4,6,4,South
2,7,4,5,5,East
3,7,4,4,6,East
4,7,4,4,7,East
5,7,4,4,8,East
6,7,4,4,9,East
7,7,4,4,10,East
8,7,4,4,11,East
8,6,4,4,12,South
8,5,4,2,13,South
8,4,3,3,14,South
8,3,3,3,15,South
9,3,3,2,16,East
10,3,2,6,17,East
10,4,2,4,18,North
10,5,2,6,19,North
10,4,2,4,20,South
10,3,2,3,21,South
11,3,2,3,22,East
11,3,2,4,23,East
11,3,2,4,24,East
11,3,2,5,25,East
11,3,2,4,26,East
11,4,2,4,27,North
11,4,2,4,28,North
11,4,2,5,29,North
11,4,2,5,30,North
11,4,2,6,31,North
11,4,2,7,32,North
11,5,2,5,33,North
12,5,2,5,34,East
13,5,2,5,35,East
13,4,2,4,36,South
14,4,2,4,37,East
15,4,2,2,38,East
15,3,2,4,39,South
15,4,2,4,40,North
16,4,2,2,41,East
16,3,1,14,42,South
16,4,1,13,43,North
16,5,1,11,44,North
15,5,1,9,45,West
14,5,1,9,46,West
14,6,1,9,47,North
14,7,1,9,48,North
14,8,1,7,49,North
13,8,1,5,50,West
12,8,1,5,51,West
12,8,1,6,52,West
12,7,1,6,53,South
12,7,1,5,54,South
12,7,1,6,55,South
12,7,1,6,56,South
12,7,1,7,57,South
12,7,1,8,58,South
12,8,1,7,59,North
12,8,1,8,60,North
12,9,1,8,61,North
12,8,1,8,62,South
12,9,1,8,63,North
11,9,1,8,64,West
10,9,1,7,65,West
10,8,1,7,66,South
9,8,1,6,67,West
8,8,1,6,68,West
8,7,1,4,69,South
7,7,1,4,70,West
6,7,1,2,71,West
1,11,4,7,0,Stop
1,10,4,7,1,South
1,9,4,5,2,South
1,8,4,4,3,South
2,8,4,3,4,East
3,8,4,3,5,East
4,8,4,3,6,East
4,7,4,1,7,South
5,7,3,5,8,East
6,7,3,5,9,East
7,7,3,5,10,East
8,7,3,3,11,East
8,6,3,3,12,South
8,5,3,2,13,South
8,4,3,1,14,South
7,4,2,9,15,West
7,5,2,7,16,North
8,5,2,7,17,East
8,6,2,7,18,North
8,7,2,6,19,North
8,8,2,5,20,North
8,9,2,3,21,North
9,9,2,3,22,East
10,9,2,2,23,East
10,10,2,1,24,North
10,11,1,10,25,North
10,10,1,10,26,South
10,9,1,9,27,South
10,8,1,9,28,South
10,7,1,7,29,South
10,6,1,5,30,South
10,5,1,4,31,South
10,4,1,3,32,South
11,4,1,3,33,East
11,4,1,4,34,East
11,3,1,2,35,South
11,3,1,3,36,South
11,3,1,4,37,South
11,4,1,2,38,North
11,4,1,3,39,North
11,4,1,4,40,North
11,4,1,5,41,North
11,4,1,6,42,North
11,5,1,6,43,North
12,5,1,4,44,East
13,5,1,4,45,East
14,5,1,4,46,East
15,5,1,3,47,East
16,5,1,3,48,East
17,5,1,2,49,East
1,11,4,7,0,Stop
1,10,4,5,1,South
1,9,4,5,2,South
1,10,4,4,3,North
1,10,4,5,4,North
1,9,4,5,5,South
1,10,4,4,6,North
1,10,4,5,7,North
1,11,4,3,8,North
2,11,4,1,9,East
3,11,3,1,10,East
4,11,2,8,11,East
5,11,2,7,12,East
5,10,2,7,13,South
5,9,2,6,14,South
5,8,2,6,15,South
5,7,2,4,16,South
6,7,2,4,17,East
5,7,2,2,18,West
6,7,2,4,19,East
5,7,2,2,20,West
6,7,2,3,21,East
5,7,2,3,22,West
4,7,2,3,23,West
3,7,2,2,24,West
