@relation pacman_info-weka.filters.unsupervised.attribute.Remove-R3

@attribute pacmanX numeric
@attribute pacmanY numeric
@attribute minGhost numeric
@attribute class {Stop,North,South,East,West}

@data
1,11,7,Stop
1,11,6,Stop
1,11,5,Stop
1,11,4,Stop
1,11,5,Stop
1,11,6,Stop
1,11,5,Stop
1,11,6,Stop
2,11,4,East
3,11,2,East
4,11,1,East
5,11,3,East
5,10,2,South
5,9,2,South
6,9,5,East
7,9,7,East
7,8,5,South
7,7,3,South
8,7,5,East
9,7,5,East
9,6,5,South
9,5,4,South
10,5,5,East
11,5,5,East
12,5,5,East
13,5,4,East
14,5,2,East
15,5,12,East
16,5,12,East
17,5,13,East
17,4,15,South
18,4,15,East
18,5,15,North
18,6,17,North
18,7,19,North
17,7,19,West
16,7,18,West
15,7,16,West
14,7,15,West
14,8,15,North
14,9,17,North
14,10,19,North
14,11,20,North
13,11,18,West
12,11,17,West
11,11,15,West
10,11,14,West
10,10,12,South
10,9,10,South
10,8,10,South
10,7,8,South
10,6,8,South
10,5,6,South
10,4,6,South
10,3,8,South
9,3,7,West
8,3,5,West
7,3,3,West
6,3,1,West
1,11,7,Stop
1,11,6,Stop
1,11,5,Stop
1,10,5,South
1,9,5,South
1,8,3,South
2,8,1,East
3,8,1,East
4,8,2,East
5,8,3,East
6,8,3,East
7,8,2,East
8,8,2,East
9,8,8,East
10,8,7,East
10,9,7,North
10,10,7,North
11,10,8,East
11,10,8,East
11,9,7,South
12,9,7,East
13,9,7,East
14,9,5,East
14,8,5,South
14,7,5,South
14,6,3,South
14,5,2,South
14,4,2,South
14,3,9,South
15,3,10,East
16,3,11,East
15,3,11,West
15,4,13,North
15,5,13,North
14,5,11,West
13,5,11,West
12,5,9,West
11,5,7,West
10,5,5,West
9,5,4,West
9,4,2,South
9,3,9,South
8,3,9,West
7,3,7,West
7,4,5,North
7,5,4,North
6,5,3,West
5,5,2,West
4,5,4,West
3,5,6,West
2,5,7,West
1,5,9,West
1,6,9,North
1,7,8,North
2,7,6,East
3,7,4,East
4,7,3,East
5,7,3,East
5,8,2,North
1,11,7,Stop
1,11,6,Stop
1,11,5,Stop
1,11,4,Stop
1,11,3,Stop
1,11,2,Stop
2,11,5,East
3,11,3,East
4,11,3,East
5,11,1,East
5,10,3,South
6,10,3,East
6,10,4,East
6,11,3,North
7,11,3,East
8,11,3,East
