@relation pacman_info-weka.filters.unsupervised.attribute.Remove-R1-3

@attribute minGhost numeric
@attribute class {Stop,North,South,East,West}

@data
7,Stop
6,Stop
5,Stop
4,Stop
5,Stop
6,Stop
5,Stop
6,Stop
4,East
2,East
1,East
3,East
2,South
2,South
5,East
7,East
5,South
3,South
5,East
5,East
5,South
4,South
5,East
5,East
5,East
4,East
2,East
12,East
12,East
13,East
15,South
15,East
15,North
17,North
19,North
19,West
18,West
16,West
15,West
15,North
17,North
19,North
20,North
18,West
17,West
15,West
14,West
12,South
10,South
10,South
8,South
8,South
6,South
6,South
8,South
7,West
5,West
3,West
1,West
7,Stop
6,Stop
5,Stop
5,South
5,South
3,South
1,East
1,East
2,East
3,East
3,East
2,East
2,East
8,East
7,East
7,North
7,North
8,East
8,East
7,South
7,East
7,East
5,East
5,South
5,South
3,South
2,South
2,South
9,South
10,East
11,East
11,West
13,North
13,North
11,West
11,West
9,West
7,West
5,West
4,West
2,South
9,South
9,West
7,West
5,North
4,North
3,West
2,West
4,West
6,West
7,West
9,West
9,North
8,North
6,East
4,East
3,East
3,East
2,North
7,Stop
6,Stop
5,Stop
4,Stop
3,Stop
2,Stop
5,East
3,East
3,East
1,East
3,South
3,East
4,East
3,North
3,East
3,East
1,East
6,East
6,East
4,South
2,South
9,East
11,East
9,South
7,South
8,East
6,South
6,South
6,West
6,West
6,West
5,West
3,West
2,West
1,West
7,Stop
6,Stop
5,East
4,East
2,East
2,East
5,East
5,South
3,South
3,West
1,West
4,West
6,West
5,South
7,West
8,West
8,South
8,South
8,South
6,East
6,East
4,East
2,East
1,East
16,South
15,East
15,East
13,East
11,East
9,North
8,East
8,East
8,East
8,East
7,East
6,East
4,East
6,East
6,North
6,North
5,North
3,West
3,West
3,West
2,North
3,North
3,West
3,West
3,South
2,South
2,East
3,East
3,East
3,East
3,West
4,West
4,West
4,South
2,South
2,East
2,East
2,East
2,East
2,South
2,West
7,Stop
7,Stop
6,Stop
5,Stop
5,Stop
3,East
3,East
2,East
2,East
2,South
6,South
4,East
2,East
5,East
5,East
3,South
1,South
6,South
4,South
2,East
7,Stop
6,Stop
5,Stop
5,East
4,East
2,East
1,East
3,East
3,East
1,East
7,East
7,East
5,South
3,South
3,East
3,East
3,East
1,East
2,East
2,South
2,South
2,West
1,West
3,West
2,West
2,North
2,North
3,North
1,West
10,West
10,West
8,West
6,South
6,South
6,South
5,South
5,South
3,West
2,West
1,West
7,Stop
6,Stop
5,Stop
4,Stop
2,East
4,East
4,East
6,East
6,South
5,South
5,South
3,West
1,West
8,West
8,West
6,East
6,East
4,East
4,East
4,East
6,East
7,East
7,South
7,South
5,South
5,West
5,West
5,West
4,West
2,West
1,West
15,West
15,East
15,East
13,East
13,East
11,East
10,East
9,East
9,East
9,East
8,East
6,East
4,East
2,East
2,South
1,East
7,Stop
7,Stop
6,Stop
5,East
4,East
4,East
4,East
2,East
1,East
3,East
4,East
4,East
2,South
2,South
3,East
2,East
2,East
5,South
3,South
5,East
7,East
7,East
9,East
11,East
12,South
12,South
12,West
11,West
11,West
9,West
7,West
7,West
7,West
6,West
6,West
6,North
6,North
4,West
3,West
1,West
5,West
4,West
3,West
1,North
7,Stop
7,Stop
6,Stop
5,East
4,East
2,East
1,East
10,East
10,East
11,East
10,East
8,East
7,South
5,South
3,East
2,East
12,South
11,South
13,East
13,East
12,South
10,South
9,West
9,West
9,West
7,West
7,West
6,West
4,West
4,West
4,West
2,West
1,West
1,South
1,South
7,Stop
6,Stop
5,Stop
4,East
4,East
2,East
2,East
1,East
2,South
2,South
1,South
1,East
1,East
1,East
4,West
4,West
3,North
2,North
4,West
4,North
2,North
1,East
11,East
13,East
12,East
12,East
12,South
10,South
10,East
10,East
9,South
7,South
7,East
5,South
5,South
5,East
5,East
4,East
3,East
1,North
19,North
19,North
17,West
16,West
16,West
16,West
18,North
20,North
20,North
18,West
18,West
17,West
15,South
15,South
14,West
12,West
11,South
11,South
11,South
10,South
8,West
7,West
5,West
5,West
3,West
3,West
2,West
1,South
7,Stop
7,Stop
7,Stop
5,East
5,East
3,East
3,East
3,South
1,South
5,South
4,East
4,East
4,East
3,South
2,South
2,East
2,South
2,South
2,East
2,North
9,West
11,West
9,North
7,North
7,North
6,West
4,West
4,West
4,North
2,North
15,North
16,West
18,West
18,East
17,East
15,East
15,East
15,East
15,East
13,East
13,East
13,South
12,South
10,East
9,East
7,East
7,South
5,South
3,South
1,South
1,South
