@relation pacman_info-weka.filters.unsupervised.attribute.Remove-R3-4

@attribute pacmanX numeric
@attribute pacmanY numeric
@attribute class {Stop,North,South,East,West}

@data
1,11,Stop
1,11,Stop
1,11,Stop
1,11,Stop
1,11,Stop
1,11,Stop
1,11,Stop
1,11,Stop
2,11,East
3,11,East
4,11,East
5,11,East
5,10,South
5,9,South
6,9,East
7,9,East
7,8,South
7,7,South
8,7,East
9,7,East
9,6,South
9,5,South
10,5,East
11,5,East
12,5,East
13,5,East
14,5,East
15,5,East
16,5,East
17,5,East
17,4,South
18,4,East
18,5,North
18,6,North
18,7,North
17,7,West
16,7,West
15,7,West
14,7,West
14,8,North
14,9,North
14,10,North
14,11,North
13,11,West
12,11,West
11,11,West
10,11,West
10,10,South
10,9,South
10,8,South
10,7,South
10,6,South
10,5,South
10,4,South
10,3,South
9,3,West
8,3,West
7,3,West
6,3,West
1,11,Stop
1,11,Stop
1,11,Stop
1,10,South
1,9,South
1,8,South
2,8,East
3,8,East
4,8,East
5,8,East
6,8,East
7,8,East
8,8,East
9,8,East
10,8,East
10,9,North
10,10,North
11,10,East
11,10,East
11,9,South
12,9,East
13,9,East
14,9,East
14,8,South
14,7,South
14,6,South
14,5,South
14,4,South
14,3,South
15,3,East
16,3,East
15,3,West
15,4,North
15,5,North
14,5,West
13,5,West
12,5,West
11,5,West
10,5,West
9,5,West
9,4,South
9,3,South
8,3,West
7,3,West
7,4,North
7,5,North
6,5,West
5,5,West
4,5,West
3,5,West
2,5,West
1,5,West
1,6,North
1,7,North
2,7,East
3,7,East
4,7,East
5,7,East
5,8,North
1,11,Stop
1,11,Stop
1,11,Stop
1,11,Stop
1,11,Stop
1,11,Stop
2,11,East
3,11,East
4,11,East
5,11,East
5,10,South
6,10,East
6,10,East
6,11,North
7,11,East
8,11,East
9,11,East
10,11,East
11,11,East
11,10,South
11,9,South
12,9,East
13,9,East
13,8,South
13,7,South
14,7,East
14,6,South
14,5,South
13,5,West
12,5,West
11,5,West
10,5,West
9,5,West
8,5,West
7,5,West
1,11,Stop
1,11,Stop
2,11,East
3,11,East
4,11,East
5,11,East
6,11,East
6,10,South
6,9,South
5,9,West
4,9,West
3,9,West
2,9,West
2,8,South
1,8,West
1,8,West
1,7,South
1,6,South
1,5,South
2,5,East
3,5,East
4,5,East
5,5,East
6,5,East
6,4,South
7,4,East
8,4,East
9,4,East
10,4,East
10,5,North
11,5,East
12,5,East
13,5,East
14,5,East
15,5,East
16,5,East
17,5,East
18,5,East
18,6,North
18,7,North
18,8,North
17,8,West
16,8,West
15,8,West
15,9,North
15,9,North
14,9,West
13,9,West
13,8,South
13,7,South
14,7,East
15,7,East
16,7,East
17,7,East
16,7,West
15,7,West
14,7,West
14,6,South
14,5,South
15,5,East
16,5,East
17,5,East
18,5,East
18,4,South
17,4,West
1,11,Stop
1,11,Stop
1,11,Stop
1,11,Stop
1,11,Stop
2,11,East
3,11,East
4,11,East
5,11,East
5,10,South
5,9,South
6,9,East
7,9,East
8,9,East
9,9,East
9,8,South
9,7,South
9,6,South
9,5,South
10,5,East
1,11,Stop
1,11,Stop
1,11,Stop
2,11,East
3,11,East
4,11,East
5,11,East
6,11,East
7,11,East
8,11,East
9,11,East
10,11,East
10,10,South
10,9,South
11,9,East
12,9,East
13,9,East
14,9,East
15,9,East
15,8,South
15,7,South
14,7,West
13,7,West
12,7,West
12,7,West
12,8,North
12,9,North
12,9,North
11,9,West
10,9,West
9,9,West
8,9,West
8,8,South
8,7,South
8,6,South
8,5,South
8,4,South
7,4,West
6,4,West
5,4,West
1,11,Stop
1,11,Stop
1,11,Stop
1,11,Stop
2,11,East
3,11,East
4,11,East
5,11,East
5,10,South
5,9,South
5,8,South
4,8,West
3,8,West
2,8,West
1,8,West
2,8,East
3,8,East
4,8,East
5,8,East
6,8,East
7,8,East
8,8,East
8,7,South
8,6,South
8,5,South
7,5,West
6,5,West
5,5,West
4,5,West
3,5,West
2,5,West
1,5,West
2,5,East
3,5,East
4,5,East
5,5,East
6,5,East
7,5,East
8,5,East
9,5,East
10,5,East
11,5,East
12,5,East
13,5,East
14,5,East
14,4,South
15,4,East
1,11,Stop
1,11,Stop
1,11,Stop
2,11,East
3,11,East
4,11,East
5,11,East
6,11,East
7,11,East
8,11,East
9,11,East
10,11,East
10,10,South
10,9,South
11,9,East
12,9,East
13,9,East
13,8,South
13,7,South
14,7,East
15,7,East
16,7,East
17,7,East
18,7,East
18,6,South
18,5,South
17,5,West
16,5,West
15,5,West
14,5,West
13,5,West
12,5,West
11,5,West
10,5,West
9,5,West
9,6,North
9,7,North
8,7,West
7,7,West
6,7,West
5,7,West
4,7,West
3,7,West
3,8,North
1,11,Stop
1,11,Stop
1,11,Stop
2,11,East
3,11,East
4,11,East
5,11,East
6,11,East
7,11,East
8,11,East
9,11,East
10,11,East
10,10,South
10,9,South
11,9,East
12,9,East
12,8,South
12,7,South
13,7,East
14,7,East
14,6,South
14,5,South
13,5,West
12,5,West
11,5,West
10,5,West
9,5,West
8,5,West
7,5,West
6,5,West
5,5,West
4,5,West
3,5,West
3,4,South
3,3,South
1,11,Stop
1,11,Stop
1,11,Stop
2,11,East
3,11,East
4,11,East
5,11,East
6,11,East
6,10,South
6,9,South
6,8,South
7,8,East
8,8,East
9,8,East
8,8,West
7,8,West
7,9,North
7,9,North
6,9,West
6,10,North
6,11,North
7,11,East
8,11,East
9,11,East
10,11,East
11,11,East
11,10,South
11,9,South
12,9,East
13,9,East
13,8,South
13,7,South
14,7,East
14,6,South
14,5,South
15,5,East
16,5,East
17,5,East
18,5,East
18,6,North
18,7,North
18,8,North
17,8,West
16,8,West
15,8,West
14,8,West
14,9,North
14,10,North
14,11,North
13,11,West
12,11,West
11,11,West
11,10,South
11,9,South
10,9,West
9,9,West
9,8,South
9,7,South
9,6,South
9,5,South
8,5,West
7,5,West
6,5,West
5,5,West
4,5,West
3,5,West
2,5,West
2,4,South
1,11,Stop
1,11,Stop
1,11,Stop
2,11,East
3,11,East
4,11,East
5,11,East
5,10,South
5,9,South
5,8,South
6,8,East
7,8,East
8,8,East
8,7,South
8,6,South
9,6,East
9,5,South
9,4,South
10,4,East
10,5,North
9,5,West
8,5,West
8,6,North
8,7,North
8,8,North
7,8,West
6,8,West
5,8,West
5,9,North
5,10,North
5,11,North
4,11,West
3,11,West
4,11,East
5,11,East
6,11,East
7,11,East
8,11,East
9,11,East
10,11,East
11,11,East
11,10,South
11,9,South
12,9,East
13,9,East
14,9,East
14,8,South
14,7,South
14,6,South
14,5,South
14,4,South
