@relation pacman_info-weka.filters.unsupervised.attribute.Remove-R4

@attribute pacmanX numeric
@attribute pacmanY numeric
@attribute livingGhosts numeric
@attribute class {Stop,North,South,East,West}

@data
1,11,4,Stop
1,11,4,Stop
1,11,4,Stop
1,11,4,Stop
1,11,4,Stop
1,11,4,Stop
1,11,4,Stop
1,11,4,Stop
2,11,4,East
3,11,4,East
4,11,4,East
5,11,3,East
5,10,3,South
5,9,3,South
6,9,2,East
7,9,2,East
7,8,2,South
7,7,2,South
8,7,2,East
9,7,2,East
9,6,2,South
9,5,2,South
10,5,2,East
11,5,2,East
12,5,2,East
13,5,2,East
14,5,2,East
15,5,1,East
16,5,1,East
17,5,1,East
17,4,1,South
18,4,1,East
18,5,1,North
18,6,1,North
18,7,1,North
17,7,1,West
16,7,1,West
15,7,1,West
14,7,1,West
14,8,1,North
14,9,1,North
14,10,1,North
14,11,1,North
13,11,1,West
12,11,1,West
11,11,1,West
10,11,1,West
10,10,1,South
10,9,1,South
10,8,1,South
10,7,1,South
10,6,1,South
10,5,1,South
10,4,1,South
10,3,1,South
9,3,1,West
8,3,1,West
7,3,1,West
6,3,1,West
1,11,4,Stop
1,11,4,Stop
1,11,4,Stop
1,10,4,South
1,9,4,South
1,8,4,South
2,8,4,East
3,8,4,East
4,8,4,East
5,8,4,East
6,8,4,East
7,8,4,East
8,8,4,East
9,8,3,East
10,8,3,East
10,9,3,North
10,10,3,North
11,10,3,East
11,10,3,East
11,9,3,South
12,9,3,East
13,9,3,East
14,9,3,East
14,8,3,South
14,7,3,South
14,6,3,South
14,5,3,South
14,4,3,South
14,3,2,South
15,3,2,East
16,3,2,East
15,3,2,West
15,4,2,North
15,5,2,North
14,5,2,West
13,5,2,West
12,5,2,West
11,5,2,West
10,5,2,West
9,5,2,West
9,4,2,South
9,3,1,South
8,3,1,West
7,3,1,West
7,4,1,North
7,5,1,North
6,5,1,West
5,5,1,West
4,5,1,West
3,5,1,West
2,5,1,West
1,5,1,West
1,6,1,North
1,7,1,North
