 #468 solutions have been found: 

        SAT1 00:00 - 12:00 ANT3
        SAT2 00:00 - 12:00 ANT3
        SAT3 06:00 - 12:00 ANT6
        SAT3 13:00 - 16:00 ANT10
        SAT4 16:00 - 00:00 ANT12
        SAT5 13:00 - 06:00 ANT1
        SAT6 09-00 - 13:00 ANT9
        SAT6 13-00 - 19:00 ANT5

        SAT1 00:00 - 12:00 ANT3
        SAT2 00:00 - 12:00 ANT3
        SAT3 06:00 - 12:00 ANT6
        SAT3 13:00 - 16:00 ANT10
        SAT4 16:00 - 00:00 ANT12
        SAT5 13:00 - 06:00 ANT1
        SAT6 09-00 - 13:00 ANT9
        SAT6 13-00 - 19:00 ANT4

        SAT1 00:00 - 12:00 ANT3
        SAT2 00:00 - 12:00 ANT3
        SAT3 06:00 - 12:00 ANT6
        SAT3 13:00 - 16:00 ANT10
        SAT4 16:00 - 00:00 ANT12
        SAT5 13:00 - 06:00 ANT1
        SAT6 09-00 - 13:00 ANT9
        SAT6 13-00 - 19:00 ANT3

        SAT1 00:00 - 12:00 ANT3
        SAT2 00:00 - 12:00 ANT3
        SAT3 06:00 - 12:00 ANT4
        SAT3 13:00 - 16:00 ANT10
        SAT4 16:00 - 00:00 ANT12
        SAT5 13:00 - 06:00 ANT1
        SAT6 09-00 - 13:00 ANT9
        SAT6 13-00 - 19:00 ANT5

        SAT1 00:00 - 12:00 ANT3
        SAT2 00:00 - 12:00 ANT3
        SAT3 06:00 - 12:00 ANT4
        SAT3 13:00 - 16:00 ANT10
        SAT4 16:00 - 00:00 ANT12
        SAT5 13:00 - 06:00 ANT1
        SAT6 09-00 - 13:00 ANT9
        SAT6 13-00 - 19:00 ANT4

        SAT1 00:00 - 12:00 ANT3
        SAT2 00:00 - 12:00 ANT3
        SAT3 06:00 - 12:00 ANT4
        SAT3 13:00 - 16:00 ANT10
        SAT4 16:00 - 00:00 ANT12
        SAT5 13:00 - 06:00 ANT1
        SAT6 09-00 - 13:00 ANT9
        SAT6 13-00 - 19:00 ANT3

        SAT1 00:00 - 12:00 ANT3
        SAT2 00:00 - 12:00 ANT3
        SAT3 06:00 - 12:00 ANT6
        SAT3 13:00 - 16:00 ANT9
        SAT4 16:00 - 00:00 ANT12
        SAT5 13:00 - 06:00 ANT1
        SAT6 09-00 - 13:00 ANT9
        SAT6 13-00 - 19:00 ANT5

        SAT1 00:00 - 12:00 ANT3
        SAT2 00:00 - 12:00 ANT3
        SAT3 06:00 - 12:00 ANT6
        SAT3 13:00 - 16:00 ANT9
        SAT4 16:00 - 00:00 ANT12
        SAT5 13:00 - 06:00 ANT1
        SAT6 09-00 - 13:00 ANT9
        SAT6 13-00 - 19:00 ANT4

        SAT1 00:00 - 12:00 ANT3
        SAT2 00:00 - 12:00 ANT3
        SAT3 06:00 - 12:00 ANT6
        SAT3 13:00 - 16:00 ANT9
        SAT4 16:00 - 00:00 ANT12
        SAT5 13:00 - 06:00 ANT1
        SAT6 09-00 - 13:00 ANT9
        SAT6 13-00 - 19:00 ANT3

        SAT1 00:00 - 12:00 ANT3
        SAT2 00:00 - 12:00 ANT3
        SAT3 06:00 - 12:00 ANT4
        SAT3 13:00 - 16:00 ANT9
